Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2014-01-02 00:00:00+00:00,84.6,85.07,83.5,84.04,,,12678.0,111938.0,,40.0,
2014-01-03 00:00:00+00:00,84.12,84.19,82.9,82.94,-1.1,,13526.0,111724.0,160.0,,
2014-01-06 00:00:00+00:00,82.93,83.8,82.66,83.63,0.69,,9466.0,111430.0,127.0,,
2014-01-07 00:00:00+00:00,83.6,85.03,83.45,84.67,1.04,,9582.0,111126.0,,,
2014-01-08 00:00:00+00:00,84.48,84.67,83.02,83.14,-1.53,,15746.0,111230.0,149.0,,
2014-01-09 00:00:00+00:00,83.23,84.63,82.73,82.81,-0.33,,17542.0,110121.0,30.0,22.0,
2014-01-10 00:00:00+00:00,82.77,84.08,82.39,82.59,-0.22,,19762.0,109033.0,543.0,,
2014-01-13 00:00:00+00:00,82.73,84.47,82.62,83.68,1.09,,17770.0,109210.0,168.0,,
2014-01-14 00:00:00+00:00,83.52,84.31,83.34,83.73,0.05,,12301.0,109736.0,250.0,,
2014-01-15 00:00:00+00:00,83.7,84.89,83.63,84.79,1.06,,12926.0,108279.0,356.0,,
2014-01-16 00:00:00+00:00,84.45,86.67,84.31,86.19,1.4,,21339.0,107178.0,128.0,,
2014-01-17 00:00:00+00:00,86.01,87.14,85.89,86.8,0.61,,15086.0,109102.0,26.0,,
2014-01-21 00:00:00+00:00,86.96,88.43,86.35,88.13,,,18124.0,108920.0,6.0,,
2014-01-22 00:00:00+00:00,88.0,88.2,86.64,87.84,-0.29,,14464.0,109697.0,132.0,,
2014-01-23 00:00:00+00:00,87.91,88.15,86.95,87.33,-0.51,,12546.0,108480.0,22.0,,
2014-01-24 00:00:00+00:00,87.29,88.19,86.49,87.21,-0.12,,15195.0,108907.0,68.0,,
2014-01-27 00:00:00+00:00,87.0,87.16,83.66,84.25,-2.96,,27238.0,107288.0,,,248.0
2014-01-28 00:00:00+00:00,84.02,84.99,84.02,84.35,0.1,,12428.0,104151.0,643.0,,434.0
2014-01-29 00:00:00+00:00,84.37,86.61,84.0,85.55,1.2,,18603.0,101810.0,56.0,,
2014-01-30 00:00:00+00:00,85.5,86.81,85.25,86.03,0.48,,16547.0,99819.0,93.0,,
2014-01-31 00:00:00+00:00,86.03,86.55,85.7,85.83,-0.2,,11957.0,95955.0,425.0,,
2014-02-03 00:00:00+00:00,85.83,85.89,84.76,85.01,-0.82,,12213.0,89819.0,53.0,428.0,500.0
2014-02-04 00:00:00+00:00,85.1,86.3,85.1,85.4,0.39,,11271.0,84444.0,44.0,400.0,
2014-02-05 00:00:00+00:00,85.2,85.72,85.1,85.52,0.12,,9463.0,80754.0,31.0,88.0,500.0
2014-02-06 00:00:00+00:00,86.13,86.69,85.78,86.31,0.79,,12683.0,77681.0,57.0,,
2014-02-07 00:00:00+00:00,86.05,88.05,85.84,87.47,1.16,,22846.0,76616.0,98.0,946.0,1500.0
2014-02-10 00:00:00+00:00,87.54,88.84,87.04,87.37,-0.1,,21054.0,67581.0,60.0,1407.0,
2014-02-11 00:00:00+00:00,87.34,88.84,86.66,88.67,1.3,,19578.0,60082.0,48.0,,
2014-02-12 00:00:00+00:00,88.67,89.31,87.98,88.37,-0.3,,17994.0,53278.0,371.0,,
2014-02-13 00:00:00+00:00,88.14,89.0,86.8,87.6,-0.77,,20569.0,44497.0,38.0,43.0,
2014-02-14 00:00:00+00:00,87.78,88.52,87.07,87.55,-0.05,,13035.0,33657.0,3933.0,570.0,
2014-02-18 00:00:00+00:00,88.0,88.24,87.3,87.91,,,6782.0,19847.0,262.0,2540.0,
2014-02-19 00:00:00+00:00,87.91,88.05,86.81,86.97,-0.94,,7622.0,12792.0,915.0,51.0,
2014-02-20 00:00:00+00:00,87.1,87.3,86.24,86.37,-0.6,,3286.0,6393.0,149.0,,
2014-02-21 00:00:00+00:00,86.29,88.05,86.29,87.09,0.72,,2918.0,4356.0,2347.0,,
2014-02-24 00:00:00+00:00,87.07,89.0,87.07,87.92,0.83,,228.0,625.0,,231.0,
2014-02-25 00:00:00+00:00,88.0,88.58,85.91,86.22,-1.7,,154.0,315.0,,,
2014-02-26 00:00:00+00:00,86.22,86.72,85.28,85.37,-0.85,,53.0,204.0,,,
2014-02-27 00:00:00+00:00,85.22,86.5,84.65,86.91,1.54,,12.0,163.0,,,
2014-02-28 00:00:00+00:00,86.16,86.17,86.01,86.59,-0.32,,8.0,98.0,,,
2014-03-03 00:00:00+00:00,87.8,88.35,86.65,87.86,1.27,,39.0,90.0,,,
