Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-01-02 00:00:00+00:00,605.0,605.25,595.0,597.0,,597.0,39410.0,259444.0
2014-01-03 00:00:00+00:00,596.75,609.0,596.0,605.75,,605.75,49227.0,262483.0
2014-01-06 00:00:00+00:00,608.0,612.75,605.0,605.75,,605.75,39412.0,256401.0
2014-01-07 00:00:00+00:00,606.5,610.0,601.75,602.5,,602.5,45885.0,258621.0
2014-01-08 00:00:00+00:00,603.0,607.25,586.75,588.75,,588.75,55311.0,257666.0
2014-01-09 00:00:00+00:00,588.0,591.0,578.5,584.25,,584.25,67915.0,261957.0
2014-01-10 00:00:00+00:00,584.5,593.25,560.5,569.0,,569.0,110229.0,258024.0
2014-01-13 00:00:00+00:00,571.5,576.0,570.0,573.5,,573.5,58090.0,253824.0
2014-01-14 00:00:00+00:00,571.25,580.0,570.75,579.25,,579.25,37729.0,249551.0
2014-01-15 00:00:00+00:00,579.0,579.75,566.5,567.75,,567.75,39042.0,252352.0
2014-01-16 00:00:00+00:00,568.25,573.75,564.0,572.75,,572.75,48845.0,254788.0
2014-01-17 00:00:00+00:00,572.75,574.25,562.75,563.5,,563.5,32154.0,255540.0
2014-01-21 00:00:00+00:00,566.0,567.75,560.75,562.25,,562.25,39573.0,255601.0
2014-01-22 00:00:00+00:00,562.5,566.75,560.75,561.25,,561.25,28989.0,254886.0
2014-01-23 00:00:00+00:00,561.75,578.0,561.5,570.0,,570.0,47181.0,256294.0
2014-01-24 00:00:00+00:00,571.0,573.5,562.5,565.25,,565.25,39735.0,257362.0
2014-01-27 00:00:00+00:00,567.0,572.25,562.75,563.5,,563.5,44316.0,258080.0
2014-01-28 00:00:00+00:00,564.0,569.0,564.0,566.0,,566.0,44214.0,257872.0
2014-01-29 00:00:00+00:00,567.0,567.0,550.0,551.5,,551.5,84563.0,255251.0
2014-01-30 00:00:00+00:00,551.75,556.75,550.25,553.5,,553.5,62188.0,252399.0
