Date,Open,High,Low,Close,Adj Close,Volume,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,ADX,ADXR,APO,AROON_down,AROON_up,AROONOSC,BOP,CCI,CMO,DX,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,TRIX,ULTOSC,WILLR,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,HT_TRENDMODE,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,CORREL,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,DEMA_Trend,EMA_Trend,HT_TRENDLINE_Trend,KAMA_Trend,MA_Trend,MAMA_Trend,MAVP_Trend,MIDPOINT_Trend,MIDPRICE_Trend,SAR_Trend,SAREXT_Trend,SMA_Trend,T3_Trend,TEMA_Trend,TRIMA_Trend,WMA_Trend,ADX_Trend,ADXR_Trend,AROONOSC_Trend,DX_Trend,TRIX_Trend,DMI_Trend,AROON_Up_Trend,AROON_Down_Trend,PM_Uptrend,PM_Downtrend,ROC_Trend,ROCP_Trend,ROCR_Trend,ROCR100_Trend,ROC_Buy_Sell_Signal,ROCP_Buy_Sell_Signal,ROCR_Buy_Sell_Signal,ROCR100_Buy_Sell_Signal,APO_Buy_Sell_Signal,MACD_Buy_Sell_Signal,MACDEXT_Buy_Sell_Signal,MACDFIX_Buy_Sell_Signal,PPO_Buy_Sell_Signal,MOM_Buy_Sell_Signal,STOCH_Buy_Sell_Signal,STOCHF_Buy_Sell_Signal,STOCHRSI_Buy_Sell_Signal,ULTOSC_Buy_Sell_Signal,WILLR_Buy_Sell_Signal,BOP_Buy_Sell_Pressure,MFI_Buy_Sell_Pressure,AD_Buy_Sell_Pressure,ADOSC_Buy_Sell_Pressure,OBV_Buy_Sell_Pressure,BB_Overbought_Oversold_Signal,CCI_Overbought_Oversold_Signal,RSI_Overbought_Oversold_Signal,STOCH_Overbought_Oversold_Signal,STOCHF_Overbought_Oversold_Signal,STOCHRSI_Overbought_Oversold_Signal,ULTOSC_Overbought_Oversold_Signal,WILLR_Overbought_Oversold_Signal,BB_RSI_Reversal,BB_Volatility,ATR_Volatility,NATR_Volatility,TRANGE_Volatility,PATTERN_SUM,SENTIMENT_NEGATIVE,SENTIMENT_POSITIVE,SENTIMENT_UNCERTAINTY,SENTIMENT_LITIGIOUS,SENTIMENT_STRONG_MODAL,SENTIMENT_WEAK_MODAL,SENTIMENT_CONSTRAINING,NEXT_DAY_CLOSEPRICE,DAILY_CLOSEPRICE_CHANGE,DAILY_CLOSEPRICE_CHANGE_PERCENT,DAILY_CLOSEPRICE_DIRECTION,DAILY_MIDPRICE,NEXT_DAY_MIDPRICE,DAILY_MIDPRICE_CHANGE,DAILY_MIDPRICE_CHANGE_PERCENT,DAILY_MIDPRICE_DIRECTION
2014-09-18,1.2105000019073486,1.211300015449524,1.2065000534057617,1.2107000350952148,1.2107000350952148,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04167391034397119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0,1.2097500264644623,1.2089000344276428,1.2095000346501668,1.2098000347614288,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2069799900054932,-0.0037200450897216797,-0.0030726397801988325,-1.0,1.2089000344276428,1.206915020942688,-0.001985013484954834,-0.001641999692633514,-1.0
2014-09-19,1.2070000171661377,1.2074300050735474,1.2064000368118286,1.2069799900054932,1.2069799900054932,0,,,,,,,,,,,,,,1.211300015449524,-1.211300015449524,,,,,,,,,,,,-0.019444444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0042999982833862305,,,,,,,0,1.2069525122642517,1.206915020942688,1.2069366772969563,1.2069475054740906,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.207200050354004,0.0002200603485107422,0.0001823231125063976,1.0,1.206915020942688,1.2069500088691711,3.49879264831543e-05,2.8989552599839378e-05,1.0
2014-09-22,1.2072199583053589,1.2075999975204468,1.2063000202178955,1.207200050354004,1.207200050354004,0,,,,,,,,,,,,,,1.21120201587677,-1.21120201587677,,,,,,,,,,,,-0.015314076111875286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0012999773025512695,,,,,,,0,1.2070800065994263,1.2069500088691711,1.207033356030782,1.2070750296115875,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2075999975204468,0.0003999471664428711,0.0003313014825716658,1.0,1.2069500088691711,1.207295000553131,0.00034499168395996094,0.0002858375918014983,1.0
2014-09-23,1.2075999975204468,1.2079999446868896,1.2065900564193726,1.2075999975204468,1.2075999975204468,0,,,,,,,,,,,,,,1.211005936050415,-1.211005936050415,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0014098882675170898,,,,,,,0,1.207447499036789,1.207295000553131,1.207396666208903,1.207447499036789,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.207200050354004,-0.0003999471664428711,-0.00033119175825114166,-1.0,1.207295000553131,1.2075650095939636,0.00027000904083251953,0.00022364794081712665,1.0
2014-09-24,1.207200050354004,1.2081300020217896,1.2070000171661377,1.207200050354004,1.207200050354004,0,,,,,,,,,,,,,,1.2108176994171143,-1.2108176994171143,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0011299848556518555,,,,,,,0,1.2073825299739838,1.2075650095939636,1.207443356513977,1.2073825299739838,,,,,,,0.0013964230406702115,,1.9499973085146394e-06,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2085000276565552,0.0012999773025512695,0.0010768532540816737,1.0,1.2075650095939636,1.207699954509735,0.00013494491577148438,0.0001117496074326125,1.0
2014-09-25,1.2085299491882324,1.208799958229065,1.2065999507904053,1.2085000276565552,1.2085000276565552,0,,,,,,,,,,,,,,1.2106369922491456,-1.2106369922491456,,,,,,,,,,,,-0.013600650230289894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.002200007438659668,,,,,,,0,1.2081074714660645,1.207699954509735,1.207966645558675,1.2080999910831451,0.022410100498842647,,,,,,0.0005404305165157448,,2.920651431814747e-07,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2072999477386475,-0.0012000799179077148,-0.0009930325944922252,-1.0,1.207699954509735,1.2070499658584595,-0.0006499886512756348,-0.0005382037556998147,-1.0
2014-09-26,1.2072999477386475,1.2074999809265137,1.2065999507904053,1.2072999477386475,1.2072999477386475,0,,,,,,,,,,,,,,1.2104635133678956,-1.2104635133678956,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0019000768661499023,,,,,,,0,1.2071749567985535,1.2070499658584595,1.2071332931518555,1.2071749567985535,-0.05061826289249778,,,,,,0.0004923426592813271,,2.42401294148209e-07,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2065500020980835,-0.0007499456405639648,-0.0006211759074194136,-1.0,1.2070499658584595,1.2067700028419495,-0.00027996301651000977,-0.00023193987359992904,-1.0
2014-09-29,1.2065000534057617,1.2073999643325806,1.2061400413513184,1.2065500020980835,1.2065500020980835,0,,,,,,,,,,,,,,1.2102969736418956,-1.2102969736418956,,,,,,,,,,,,0.03964424259627212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.001259922981262207,,,,,,,0,1.206647515296936,1.2067700028419495,1.2066966692606609,1.2066600024700165,-0.02545381023119546,,,,,,0.0006353023028342188,,4.0360901598646137e-07,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066999673843384,0.0001499652862548828,0.00012429264099631716,1.0,1.2067700028419495,1.2064500451087952,-0.0003199577331542969,-0.00026513563678314407,-1.0
2014-09-30,1.2066999673843384,1.207200050354004,1.2057000398635864,1.2066999673843384,1.2066999673843384,0,,,,,,,,,,,,,,1.210047557704461,-1.210047557704461,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0015000104904174805,,,,,,,0,1.2065750062465668,1.2064500451087952,1.2065333525339763,1.2065750062465668,-0.10746911200271392,,,,,,0.0006870359272140562,,4.72018365282878e-07,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2059199810028076,-0.0007799863815307617,-0.0006463797154328862,-1.0,1.2064500451087952,1.2065649628639221,0.00011491775512695312,9.525280851275535e-05,1.0
2014-10-01,1.2059999704360962,1.2079299688339233,1.205199956893921,1.2059199810028076,1.2059199810028076,0,,,,,,,,,,,,,,1.209699756277191,-1.209699756277191,,,,,,,,,,,,-0.029300030566350815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0027300119400024414,,,,,,,0,1.206262469291687,1.2065649628639221,1.2063499689102173,1.2062424719333649,-0.21079034966192314,,,,,,0.0008716455060418969,,7.597658882030345e-07,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2069000005722046,0.0009800195693969727,0.0008126737966328555,1.0,1.2065649628639221,1.207794964313507,0.001230001449584961,0.0010194241399695625,1.0
