Date,Open,High,Low,Close,Adj Close,Volume,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,ADX,ADXR,APO,AROON_down,AROON_up,AROONOSC,BOP,CCI,CMO,DX,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,TRIX,ULTOSC,WILLR,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,HT_TRENDMODE,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,CORREL,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,DEMA_Trend,EMA_Trend,HT_TRENDLINE_Trend,KAMA_Trend,MA_Trend,MAMA_Trend,MAVP_Trend,MIDPOINT_Trend,MIDPRICE_Trend,SAR_Trend,SAREXT_Trend,SMA_Trend,T3_Trend,TEMA_Trend,TRIMA_Trend,WMA_Trend,ADX_Trend,ADXR_Trend,AROONOSC_Trend,DX_Trend,TRIX_Trend,DMI_Trend,AROON_Up_Trend,AROON_Down_Trend,PM_Uptrend,PM_Downtrend,ROC_Trend,ROCP_Trend,ROCR_Trend,ROCR100_Trend,ROC_Buy_Sell_Signal,ROCP_Buy_Sell_Signal,ROCR_Buy_Sell_Signal,ROCR100_Buy_Sell_Signal,APO_Buy_Sell_Signal,MACD_Buy_Sell_Signal,MACDEXT_Buy_Sell_Signal,MACDFIX_Buy_Sell_Signal,PPO_Buy_Sell_Signal,MOM_Buy_Sell_Signal,STOCH_Buy_Sell_Signal,STOCHF_Buy_Sell_Signal,STOCHRSI_Buy_Sell_Signal,ULTOSC_Buy_Sell_Signal,WILLR_Buy_Sell_Signal,BOP_Buy_Sell_Pressure,MFI_Buy_Sell_Pressure,AD_Buy_Sell_Pressure,ADOSC_Buy_Sell_Pressure,OBV_Buy_Sell_Pressure,BB_Overbought_Oversold_Signal,CCI_Overbought_Oversold_Signal,RSI_Overbought_Oversold_Signal,STOCH_Overbought_Oversold_Signal,STOCHF_Overbought_Oversold_Signal,STOCHRSI_Overbought_Oversold_Signal,ULTOSC_Overbought_Oversold_Signal,WILLR_Overbought_Oversold_Signal,BB_RSI_Reversal,BB_Volatility,ATR_Volatility,NATR_Volatility,TRANGE_Volatility,PATTERN_SUM,SENTIMENT_NEGATIVE,SENTIMENT_POSITIVE,SENTIMENT_UNCERTAINTY,SENTIMENT_LITIGIOUS,SENTIMENT_STRONG_MODAL,SENTIMENT_WEAK_MODAL,SENTIMENT_CONSTRAINING,NEXT_DAY_CLOSEPRICE,DAILY_CLOSEPRICE_CHANGE,DAILY_CLOSEPRICE_CHANGE_PERCENT,DAILY_CLOSEPRICE_DIRECTION,DAILY_MIDPRICE,NEXT_DAY_MIDPRICE,DAILY_MIDPRICE_CHANGE,DAILY_MIDPRICE_CHANGE_PERCENT,DAILY_MIDPRICE_DIRECTION
2014-09-18,0.7897999882698059,0.791100025177002,0.7857000231742859,0.7897999882698059,0.7897999882698059,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0,0.7891000062227249,0.7884000241756439,0.7888666788736979,0.7891000062227249,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7859100103378296,-0.0038899779319763184,-0.004925269675551643,-1.0,0.7884000241756439,0.7842200100421906,-0.004180014133453369,-0.005301894983861801,-1.0
2014-09-19,0.7865899801254272,0.7875400185585022,0.7809000015258789,0.7859100103378296,0.7859100103378296,0,,,,,,,,,,,,,,0.791100025177002,-0.791100025177002,,,,,,,,,,,,-0.10240482580946311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.008899986743927002,,,,,,,0,0.7852350026369095,0.7842200100421906,0.7847833434740702,0.7850650101900101,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7867799997329712,0.0008699893951416016,0.0011069834760949664,1.0,0.7842200100421906,0.7858999967575073,0.0016799867153167725,0.0021422390321644436,1.0
2014-09-22,0.7870699763298035,0.7871999740600586,0.784600019454956,0.7867799997329712,0.7867799997329712,0,,,,,,,,,,,,,,0.7908960247039795,-0.7908960247039795,,,,,,,,,,,,-0.11153140761118753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.002599954605102539,,,,,,,0,0.7864124923944473,0.7858999967575073,0.786193331082662,0.7863399982452393,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7849000096321106,-0.0018799901008605957,-0.0023894736794258294,-1.0,0.7858999967575073,0.7864300012588501,0.0005300045013427734,0.0006743917846157067,1.0
2014-09-23,0.7849000096321106,0.7888000011444092,0.784060001373291,0.7849000096321106,0.7849000096321106,0,,,,,,,,,,,,,,0.7906961042404175,-0.7906961042404175,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.004739999771118164,,,,,,,0,0.7856650054454803,0.7864300012588501,0.7859200040499369,0.7856650054454803,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7838000059127808,-0.001100003719329834,-0.001401457135725371,-1.0,0.7864300012588501,0.7831500172615051,-0.0032799839973449707,-0.004170725928683611,-1.0
2014-09-24,0.7835999727249146,0.7850000262260437,0.7813000082969666,0.7838000059127808,0.7838000059127808,0,,,,,,,,,,,,,,0.7905001821861267,-0.7905001821861267,,,,,,,,,,,,0.05406276177588762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0037000179290771484,,,,,,,0,0.7834250032901764,0.7831500172615051,0.7833666801452637,0.7834750115871429,,,,,,,0.0020407417649711047,,4.164626951297379e-06,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782800018787384,-0.0009999871253967285,-0.0012758192368628337,-1.0,0.7831500172615051,0.7807149887084961,-0.002435028553009033,-0.003109274723026587,-1.0
2014-09-25,0.7825999855995178,0.7828999757766724,0.7785300016403198,0.782800018787384,0.782800018787384,0,,,,,,,,,,,,,,0.7903081785729218,-0.7903081785729218,,,,,,,,,,,,0.0457744557804572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0052700042724609375,,,,,,,0,0.7817074954509735,0.7807149887084961,0.7814099987347921,0.7817575037479401,0.9457193367766256,,,,,,0.0014251465516943807,,2.031042693806384e-06,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781000018119812,-0.0018000006675720215,-0.0022994387127894525,-1.0,0.7807149887084961,0.7810699939727783,0.00035500526428222656,0.0004547181358327663,1.0
2014-09-26,0.7809000015258789,0.7821300029754639,0.7800099849700928,0.781000018119812,0.781000018119812,0,,,,,,,,,,,,,,0.7898370514956177,-0.7898370514956177,,,,,,,,,,,,0.04717723796671165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0027900338172912598,,,,,,,0,0.7810100018978119,0.7810699939727783,0.7810466686884562,0.7810350060462952,0.7480580551025081,,,,,,0.0019449727354808207,,3.7829189417637465e-06,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7802000045776367,-0.000800013542175293,-0.0010243451006585818,-1.0,0.7810699939727783,0.781484991312027,0.0004149973392486572,0.000531319014238205,1.0
2014-09-29,0.7803999781608582,0.7827699780464172,0.7802000045776367,0.7802000045776367,0.7802000045776367,0,,,,,,,,,,,,,,0.7893847695014058,-0.7893847695014058,,,,,,,,,,,,-0.07781153605306491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0025699734687805176,,,,,,,0,0.7808924913406372,0.781484991312027,0.7810566624005636,0.7808424979448318,0.5725067886127614,,,,,,0.0017362023442217887,,3.0143985800812345e-06,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7811999917030334,0.0009999871253967285,0.0012817061260312016,1.0,0.781484991312027,0.7791149914264679,-0.002369999885559082,-0.003032687654794386,-1.0
2014-09-30,0.7813599705696106,0.7815499901771545,0.7766799926757812,0.7811999917030334,0.7811999917030334,0,,,,,,,,,,,,,,0.7889505787869624,-0.7889505787869624,,,,,,,,,,,,-0.03284988678783428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.004869997501373291,,,,,,,0,0.780197486281395,0.7791149914264679,0.7798099915186564,0.7801574915647507,0.8265899117127141,,,,,,0.0013084362837297958,,1.7120055085806385e-06,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7787600159645081,-0.0024399757385253906,-0.0031233688740909854,-1.0,0.7791149914264679,0.7780649960041046,-0.0010499954223632812,-0.001347677087358906,-1.0
2014-10-01,0.7788000106811523,0.7794299721717834,0.7767000198364258,0.7787600159645081,0.7787600159645081,0,,,,,,,,,,,,,,0.7882143436202915,-0.7882143436202915,,,,,,,,,,,,-0.01465033514552084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.004499971866607666,,,,,,,0,0.7784225046634674,0.7780649960041046,0.7782966693242391,0.7784125059843063,0.7563875056062479,,,,,,0.0013207032913565417,,1.744257183800002e-06,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7795000076293945,0.0007399916648864746,0.0009502178459560251,1.0,0.7780649960041046,0.7820749878883362,0.004009991884231567,0.005153800652677624,1.0
