Date,Open,High,Low,Close,Volume,Change,Wave,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume,Last,Previous Day Open Interest,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,ADX,ADXR,APO,AROON_down,AROON_up,AROONOSC,BOP,CCI,CMO,DX,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,TRIX,ULTOSC,WILLR,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,HT_TRENDMODE,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,CORREL,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,DEMA_Trend,EMA_Trend,HT_TRENDLINE_Trend,KAMA_Trend,MA_Trend,MAMA_Trend,MAVP_Trend,MIDPOINT_Trend,MIDPRICE_Trend,SAR_Trend,SAREXT_Trend,SMA_Trend,T3_Trend,TEMA_Trend,TRIMA_Trend,WMA_Trend,ADX_Trend,ADXR_Trend,AROONOSC_Trend,DX_Trend,TRIX_Trend,DMI_Trend,AROON_Up_Trend,AROON_Down_Trend,PM_Uptrend,PM_Downtrend,ROC_Trend,ROCP_Trend,ROCR_Trend,ROCR100_Trend,ROC_Buy_Sell_Signal,ROCP_Buy_Sell_Signal,ROCR_Buy_Sell_Signal,ROCR100_Buy_Sell_Signal,APO_Buy_Sell_Signal,MACD_Buy_Sell_Signal,MACDEXT_Buy_Sell_Signal,MACDFIX_Buy_Sell_Signal,PPO_Buy_Sell_Signal,MOM_Buy_Sell_Signal,STOCH_Buy_Sell_Signal,STOCHF_Buy_Sell_Signal,STOCHRSI_Buy_Sell_Signal,ULTOSC_Buy_Sell_Signal,WILLR_Buy_Sell_Signal,BOP_Buy_Sell_Pressure,MFI_Buy_Sell_Pressure,AD_Buy_Sell_Pressure,ADOSC_Buy_Sell_Pressure,OBV_Buy_Sell_Pressure,BB_Overbought_Oversold_Signal,CCI_Overbought_Oversold_Signal,RSI_Overbought_Oversold_Signal,STOCH_Overbought_Oversold_Signal,STOCHF_Overbought_Oversold_Signal,STOCHRSI_Overbought_Oversold_Signal,ULTOSC_Overbought_Oversold_Signal,WILLR_Overbought_Oversold_Signal,BB_RSI_Reversal,BB_Volatility,ATR_Volatility,NATR_Volatility,TRANGE_Volatility,PATTERN_SUM,SENTIMENT_NEGATIVE,SENTIMENT_POSITIVE,SENTIMENT_UNCERTAINTY,SENTIMENT_LITIGIOUS,SENTIMENT_STRONG_MODAL,SENTIMENT_WEAK_MODAL,SENTIMENT_CONSTRAINING,NEXT_DAY_CLOSEPRICE,DAILY_CLOSEPRICE_CHANGE,DAILY_CLOSEPRICE_CHANGE_PERCENT,DAILY_CLOSEPRICE_DIRECTION,DAILY_MIDPRICE,NEXT_DAY_MIDPRICE,DAILY_MIDPRICE_CHANGE,DAILY_MIDPRICE_CHANGE_PERCENT,DAILY_MIDPRICE_DIRECTION
2014-09-22,7.750760078430176,7.751399993896484,7.750699996948242,7.750760078430176,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0,7.7509050369262695,7.751049995422363,7.750953356424968,7.7509050369262695,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.751410007476807,0.0006499290466308594,8.38535885583101e-05,1.0,7.751049995422363,7.7511351108551025,8.511543273925781e-05,1.0981148720434719e-05,1.0
2014-09-23,7.750999927520752,7.751500129699707,7.750770092010498,7.751410007476807,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,7.750699996948242,7.750699996948242,,,,,,,,,,,,0.5617243631613325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.00074005126953125,,,,,,,0,7.751170039176941,7.7511351108551025,7.751226743062337,7.751272559165955,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.751309871673584,-0.00010013580322265625,-1.2918398475382916e-05,-1.0,7.7511351108551025,7.7514050006866455,0.00026988983154296875,3.481939453809812e-05,1.0
2014-09-24,7.751299858093262,7.751920223236084,7.750889778137207,7.751309871673584,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,7.750715999603272,7.750715999603272,,,,,,,,,,,,0.00971772327626099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0010304450988769531,,,,,,,0,7.751354932785034,7.7514050006866455,7.751373291015625,7.751357436180115,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.751659870147705,0.00034999847412109375,4.5153461791036054e-05,1.0,7.7514050006866455,7.752355098724365,0.0009500980377197266,0.00012257107422919633,1.0
2014-09-25,7.7513298988342285,7.753910064697266,7.750800132751465,7.751659870147705,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,7.750764168548584,7.750764168548584,,,,,,,,,,,,0.10610242256976388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0031099319458007812,,,,,,,0,7.751924991607666,7.752355098724365,7.7521233558654785,7.752007484436035,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.753620147705078,0.001960277557373047,0.00025288487758889434,1.0,7.752355098724365,7.7558300495147705,0.0034749507904052734,0.00044824453293903805,1.0
2014-09-26,7.753620147705078,7.758150100708008,7.753509998321533,7.753620147705078,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,7.750800132751465,7.750800132751465,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.006490230560302734,,,,,,,0,7.754725098609924,7.7558300495147705,7.755093415578206,7.754725098609924,,,,,,,0.000979265901830331,,9.58961706487571e-07,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.76216983795166,0.008549690246582031,0.0011026707632966228,1.0,7.7558300495147705,7.761899948120117,0.00606989860534668,0.0007826239830676062,1.0
2014-09-29,7.762119770050049,7.766900062561035,7.756899833679199,7.76216983795166,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,7.750800132751465,7.750800132751465,,,,,,,,,,,,0.005006675567423231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.013279914855957031,,,,,,,0,7.762022376060486,7.761899948120117,7.761989911397298,7.762034893035889,0.43102866089219977,,,,,,0.004154656117797223,,1.7261167457149895e-05,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.76540994644165,0.0032401084899902344,0.00041742303474839437,1.0,7.761899948120117,7.764554977416992,0.002655029296875,0.00034205920130650887,1.0
2014-09-30,7.76540994644165,7.767899990081787,7.761209964752197,7.76540994644165,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,7.752410125732422,7.752410125732422,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.006690025329589844,,,,,,,0,7.764982461929321,7.764554977416992,7.764839967091878,7.764982461929321,0.24181982522349782,,,,,,0.00582467997445478,,3.392689680481453e-05,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.764249801635742,-0.0011601448059082031,-0.00014939904189344405,-1.0,7.764554977416992,7.764679908752441,0.00012493133544921875,1.6089954390506388e-05,1.0
2014-10-01,7.764249801635742,7.767899990081787,7.761459827423096,7.764249801635742,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,7.754268909454346,7.754268909454346,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.006440162658691406,,,,,,,0,7.764464855194092,7.764679908752441,7.764536539713542,7.764464855194092,0.23762316430889485,,,,,,0.00566790851243371,,3.2125186905318515e-05,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.763360023498535,-0.0008897781372070312,-0.00011459937018249674,-1.0,7.764679908752441,7.7639000415802,-0.0007798671722412109,-0.0001004377748221321,-1.0
2014-10-02,7.76308012008667,7.7667999267578125,7.761000156402588,7.763360023498535,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,7.755904639129639,7.755904639129639,,,,,,,,,,,,0.04826111978952561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.005799770355224609,,,,,,,0,7.763560056686401,7.7639000415802,7.7637200355529785,7.763630032539368,0.30984552297324786,,,,,,0.004207289861690939,,1.770128798028736e-05,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.76246976852417,-0.0008902549743652344,-0.00011467392619568912,-1.0,7.7639000415802,7.759390115737915,-0.004509925842285156,-0.0005808840683331676,-1.0
2014-10-03,7.762040138244629,7.763060092926025,7.755720138549805,7.76246976852417,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,7.767899990081787,-7.767899990081787,,,,,,,,,,,,0.058533099460793866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.007639884948730469,,,,,,,0,7.760822534561157,7.759390115737915,7.760416666666667,7.7609299421310425,0.5919723734135416,,,,,,0.0011878820644909813,,1.411063799139356e-06,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7581400871276855,-0.004329681396484375,-0.0005577711122355263,-1.0,7.759390115737915,7.756700038909912,-0.0026900768280029297,-0.00034668663230977455,-1.0
