Date,Open,High,Low,Close,Volume,Change,Wave,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume,Last,Previous Day Open Interest,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,ADX,ADXR,APO,AROON_down,AROON_up,AROONOSC,BOP,CCI,CMO,DX,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,TRIX,ULTOSC,WILLR,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,HT_TRENDMODE,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,CORREL,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,DEMA_Trend,EMA_Trend,HT_TRENDLINE_Trend,KAMA_Trend,MA_Trend,MAMA_Trend,MAVP_Trend,MIDPOINT_Trend,MIDPRICE_Trend,SAR_Trend,SAREXT_Trend,SMA_Trend,T3_Trend,TEMA_Trend,TRIMA_Trend,WMA_Trend,ADX_Trend,ADXR_Trend,AROONOSC_Trend,DX_Trend,TRIX_Trend,DMI_Trend,AROON_Up_Trend,AROON_Down_Trend,PM_Uptrend,PM_Downtrend,ROC_Trend,ROCP_Trend,ROCR_Trend,ROCR100_Trend,ROC_Buy_Sell_Signal,ROCP_Buy_Sell_Signal,ROCR_Buy_Sell_Signal,ROCR100_Buy_Sell_Signal,APO_Buy_Sell_Signal,MACD_Buy_Sell_Signal,MACDEXT_Buy_Sell_Signal,MACDFIX_Buy_Sell_Signal,PPO_Buy_Sell_Signal,MOM_Buy_Sell_Signal,STOCH_Buy_Sell_Signal,STOCHF_Buy_Sell_Signal,STOCHRSI_Buy_Sell_Signal,ULTOSC_Buy_Sell_Signal,WILLR_Buy_Sell_Signal,BOP_Buy_Sell_Pressure,MFI_Buy_Sell_Pressure,AD_Buy_Sell_Pressure,ADOSC_Buy_Sell_Pressure,OBV_Buy_Sell_Pressure,BB_Overbought_Oversold_Signal,CCI_Overbought_Oversold_Signal,RSI_Overbought_Oversold_Signal,STOCH_Overbought_Oversold_Signal,STOCHF_Overbought_Oversold_Signal,STOCHRSI_Overbought_Oversold_Signal,ULTOSC_Overbought_Oversold_Signal,WILLR_Overbought_Oversold_Signal,BB_RSI_Reversal,BB_Volatility,ATR_Volatility,NATR_Volatility,TRANGE_Volatility,PATTERN_SUM,SENTIMENT_NEGATIVE,SENTIMENT_POSITIVE,SENTIMENT_UNCERTAINTY,SENTIMENT_LITIGIOUS,SENTIMENT_STRONG_MODAL,SENTIMENT_WEAK_MODAL,SENTIMENT_CONSTRAINING,NEXT_DAY_CLOSEPRICE,DAILY_CLOSEPRICE_CHANGE,DAILY_CLOSEPRICE_CHANGE_PERCENT,DAILY_CLOSEPRICE_DIRECTION,DAILY_MIDPRICE,NEXT_DAY_MIDPRICE,DAILY_MIDPRICE_CHANGE,DAILY_MIDPRICE_CHANGE_PERCENT,DAILY_MIDPRICE_DIRECTION
2014-09-22,1137.5999755859375,1163.800048828125,1137.0999755859375,1137.0999755859375,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01872654039053249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0,1143.8999938964844,1150.4500122070312,1146.0,1143.7749938964844,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.199951171875,4.0999755859375,0.0036056421369852014,1.0,1150.4500122070312,1150.300048828125,-0.14996337890625,-0.0001303519295189186,-1.0
2014-09-23,1136.800048828125,1163.800048828125,1136.800048828125,1141.199951171875,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1136.800048828125,1136.800048828125,,,,,,,,,,,,0.16295934606481483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,27.0,,,,,,,0,1144.6500244140625,1150.300048828125,1147.2666829427083,1145.75,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1143.5,2.300048828125,0.0020154652353105403,1.0,1150.300048828125,1150.800048828125,0.5,0.0004346691982751613,1.0
2014-09-24,1141.300048828125,1163.800048828125,1137.800048828125,1143.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1136.800048828125,1136.800048828125,,,,,,,,,,,,0.08461350661057693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,26.0,,,,,,,0,1146.6000366210938,1150.800048828125,1148.36669921875,1147.1500244140625,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.300048828125,-8.199951171875,-0.007170923630848273,-1.0,1150.800048828125,1149.550048828125,-1.25,-0.0010862008576319505,-1.0
2014-09-25,1143.699951171875,1163.800048828125,1135.300048828125,1135.300048828125,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1163.800048828125,-1163.800048828125,,,,,,,,,,,,-0.29473341557017546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,28.5,,,,,,,0,1144.5250244140625,1149.550048828125,1144.800048828125,1142.425048828125,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142.800048828125,7.5,0.006606183103525469,1.0,1149.550048828125,1149.25,-0.300048828125,-0.0002610141493455426,-1.0
2014-09-26,1134.699951171875,1163.800048828125,1134.699951171875,1142.800048828125,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1134.699951171875,1134.699951171875,,,,,,,,,,,,0.278352937228384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,29.10009765625,,,,,,,0,1144.0,1149.25,1147.1000162760417,1146.0250244140625,,,,,,,3.2257662609979243,,10.405567970592529,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.800048828125,21.0,0.018375918010796622,1.0,1149.25,1150.5,1.25,0.0010876658690450293,1.0
2014-09-29,1143.199951171875,1163.800048828125,1137.199951171875,1163.800048828125,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1134.699951171875,1134.699951171875,,,,,,,,,,,,0.7744369183325073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,26.60009765625,,,,,,,0,1152.0,1150.5,1154.933349609375,1157.1500244140625,0.0,,,,,,9.680382042367418,,93.70979648618959,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.9000244140625,-29.9000244140625,-0.025691719504712156,-1.0,1150.5,1148.8500366210938,-1.64996337890625,-0.0014341272306877444,-1.0
2014-09-30,1137.0999755859375,1163.800048828125,1133.9000244140625,1133.9000244140625,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1163.800048828125,-1163.800048828125,,,,,,,,,,,,-0.10702169093781767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,29.9000244140625,,,,,,,0,1142.1750183105469,1148.8500366210938,1143.86669921875,1141.3750305175781,0.0,,,,,,10.689551173788026,,114.26650429703295,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.0999755859375,4.199951171875,0.0037039871959128894,1.0,1148.8500366210938,1148.8500366210938,0.0,0.0,0.0
2014-10-01,1133.9000244140625,1163.800048828125,1133.9000244140625,1138.0999755859375,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1133.9000244140625,1133.9000244140625,,,,,,,,,,,,0.1404664796828624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,29.9000244140625,,,,,,,0,1142.4250183105469,1148.8500366210938,1145.2666829427083,1143.4750061035156,0.0,,,,,,10.941198464011567,,119.70982382888906,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.75,25.6500244140625,0.022537584539404708,1.0,1148.8500366210938,1150.550048828125,1.70001220703125,0.0014797511884416094,1.0
2014-10-02,1137.699951171875,1163.800048828125,1137.300048828125,1163.75,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1133.9000244140625,1133.9000244140625,,,,,,,,,,,,0.9830207104952831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,26.5,,,,,,,0,1150.6375122070312,1150.550048828125,1154.9500325520833,1157.1500244140625,0.0,,,,,,12.809830118191663,,164.09174765693024,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.9000244140625,-13.8499755859375,-0.011901160546455423,-1.0,1150.550048828125,1151.1500244140625,0.5999755859375,0.0005214684807050296,1.0
2014-10-03,1138.5,1163.800048828125,1138.5,1149.9000244140625,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1133.9000244140625,1133.9000244140625,,,,,,,,,,,,0.4505929807293325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,25.300048828125,,,,,,,0,1147.6750183105469,1151.1500244140625,1150.7333577473958,1150.5250244140625,0.0,,,,,,12.492182786143973,,156.05463076243177,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.75,13.8499755859375,0.012044504123734432,1.0,1151.1500244140625,1150.550048828125,-0.5999755859375,-0.0005211966930573525,-1.0
2014-10-06,1149.699951171875,1163.800048828125,1137.300048828125,1163.75,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1134.4980249023438,1134.4980249023438,,,,,,,,,,,,0.5301905218160378,,,,,,,,,,,,,,,,26.6500244140625,,,,2.3436834918873384,0.02343683491887332,1.0234368349188734,102.34368349188733,,,,,,,,,,,0.0,0.0,0.0,,,26.5,,,,,,,0,1153.6375122070312,1150.550048828125,1154.9500325520833,1157.1500244140625,0.0,,,,,,12.481048000072526,,155.77655918011442,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.800048828125,-32.949951171875,-0.02831359928839957,-1.0,1150.550048828125,1147.2000122070312,-3.35003662109375,-0.002911682655183821,-1.0
2014-10-07,1129.4000244140625,1165.0,1129.4000244140625,1130.800048828125,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1165.0,-1165.0,,,,,,,,,,,,0.03932655545459221,,,,,,,,,,,,,,,,-10.39990234375,,,,-0.9113128977152996,-0.009113128977152997,0.990886871022847,99.0886871022847,,,,,,,,,,,0.0,0.0,0.0,,,35.5999755859375,,,,,,,0,1138.6500244140625,1147.2000122070312,1141.7333577473958,1139.0000305175781,-7.46434115695586,,,,,,13.308987740929549,,177.12915468821302,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.800048828125,33.0,0.02918287811731056,1.0,1147.2000122070312,663.7750244140625,-483.42498779296875,-0.42139555670238843,-1.0
2014-10-08,1131.4000244140625,1163.800048828125,163.75,1163.800048828125,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1165.0,-1165.0,,,,,,,,,,,,0.032398402911963636,,,,,,,,,,,,,,,,20.300048828125,,,,1.7752556911346806,0.017752556911346744,1.0177525569113468,101.77525569113467,,,,,,,,,,,0.0,0.0,0.0,,,1000.050048828125,,,,,,,0,905.6875305175781,663.7750244140625,830.4500325520834,913.7875366210938,411.3399570774906,,,,,,12.964670405047228,,168.08267871150747,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144.4000244140625,-19.4000244140625,-0.016669551125725705,-1.0,663.7750244140625,1147.300048828125,483.5250244140625,0.7284471494553248,1.0
2014-10-09,1130.800048828125,1163.800048828125,1130.800048828125,1144.4000244140625,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1147.300048828125,664.375,1165.0,-1165.0,,,,,,,,,,,,0.41212047230113635,32.981364179153964,,,,,,,,,,,,,,981.449951171875,9.0999755859375,,0.0,,0.8015480661108576,0.008015480661108612,1.0080154806611086,100.80154806611085,,,,,,,,,,-2.0574257763732837,0.0,0.0,0.0,,,33.0,,,,,,,0,1142.4500427246094,1147.300048828125,1146.3333740234375,1145.8500366210938,410.7496922651408,,1153.2628941127232,45.80090101339126,1139.8942801339285,1.0283549214457417,12.474830973320918,1154.291249034169,155.62140781292692,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144.4000244140625,0.0,0.0,0.0,1147.300048828125,1142.75,-4.550048828125,-0.003965875215269545,-1.0
2014-10-10,1144.5,1144.5,1141.0,1144.4000244140625,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1147.300048828125,664.375,1163.800048828125,-1163.800048828125,,,,,,,,,85.71428571428572,78.57142857142857,-7.142857142857143,-0.028564453125,28.507027022501166,3.3812191431666596,100.0,,,,,,,,,,0.0,72.82301073080173,911.3463832310268,1.5999755859375,0.0,0.0,,0.14000485803078444,0.001400048580307799,1.0014000485803078,100.14000485803078,51.69060957158334,,,,,,,,,-2.0574257763732837,0.0,0.0,0.0,96.24645124162946,8.410210519779396,3.5,,,,,,,0,1143.6000061035156,1142.75,1143.3000081380208,1143.5750122070312,78.67757130413682,,1151.3486049107144,33.16977782789358,1142.851433454241,0.6536285735748626,12.721926684068954,1152.002233484289,161.8474185548257,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,-1,1,0,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.5,-8.9000244140625,-0.007777022216177729,-1.0,1142.75,1149.6500244140625,6.9000244140625,0.0060380874330015315,1.0
2014-10-13,1143.5,1163.800048828125,1135.5,1135.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1147.300048828125,664.375,163.75,163.75,,,,,,,,,78.57142857142857,71.42857142857143,-7.142857142857143,-0.2826850246296919,31.37378467479953,-1.013192659604493,95.54039789963068,,,,,,,,,,0.0,71.09169648729126,846.2502130002392,-28.300048828125,1.6213564172876327,19.300048828125,,-2.431693387246492,-0.024316933872464953,0.9756830661275351,97.5683066127535,49.49340367019776,,,97.05368289637953,97.64627711454432,,,,,-2.9463171036204745,0.0,0.0,0.0,91.393136783522,8.04871305887468,28.300048828125,,,,,,,0,1144.5750122070312,1149.6500244140625,1144.933349609375,1142.5750122070312,0.6397575667791984,,1147.5228759765625,7.276817076323768,1145.8628836495536,0.12769171746222527,11.301404762674503,1147.6505676940249,127.72174960980192,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,0,-1,1,0,-1,1,1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.300048828125,4.800048828125,0.004227255683069133,1.0,1149.6500244140625,1150.75,1.0999755859375,0.0009567916866684016,1.0
2014-10-14,1137.699951171875,1163.800048828125,1137.699951171875,1140.300048828125,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1147.300048828125,664.375,183.7510009765625,183.7510009765625,,,,,,,,,71.42857142857143,64.28571428571429,-7.142857142857143,0.0996202271154098,35.20285472381289,1.420604579226519,95.54039789963068,,,,,,,,,,0.0,69.31696962271045,785.8037692145078,6.4000244140625,1.5808810181482231,17.921473911830358,,0.5644258114704259,0.005644258114704321,1.0056442581147043,100.56442581147043,50.71030228961325,,,97.5330885221598,97.50978188072202,,,,,-2.4669114778402,0.0,0.0,0.0,86.88648764385077,7.61961623461677,28.300048828125,,,,,,,0,1144.875,1150.75,1147.2666829427083,1145.5250244140625,2.5139455321866326,,1145.4228794642856,-9.10258762913513,1147.505744280134,-0.16022037044986265,9.635238649261192,1145.262659093836,92.83782382821664,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,0,-1,1,0,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.199951171875,-16.10009765625,-0.014119176503408826,-1.0,1150.75,1144.0,-6.75,-0.005865739734955464,-1.0
2014-10-15,1141.5,1163.800048828125,1124.199951171875,1124.199951171875,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1144.0,664.375,203.35198193359375,203.35198193359375,,,,,,,,,64.28571428571429,57.142857142857146,-7.142857142857143,-0.4368688425543458,20.44701313554968,-6.69943435137813,95.61963366829967,,,,,,,,,,0.0,68.03984396693289,743.1749285563287,-13.9000244140625,1.5235660968073588,16.641368632413904,,-1.2213359733099227,-0.012213359733099225,0.9877866402669008,98.77866402669008,46.650282824310935,96.83728672492718,97.3311152400645,95.9250887562422,96.83728672492718,,,,,-4.0749112437578034,0.0,0.0,0.0,83.50888835902215,7.428294964073946,39.60009765625,,,,,,,0,1138.4249877929688,1144.0,1137.3999837239583,1134.0999755859375,-1.0026619937658499,,1138.102863420759,-49.34358112981324,1153.2400320870536,-1.1643975897149725,7.531456973372967,1136.938465831044,56.72284414176829,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,0,-1,1,0,-1,1,1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,1,0,0,0,0,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.0999755859375,10.9000244140625,0.009695805806342748,1.0,1144.0,1143.4500122070312,-0.54998779296875,-0.0004807585602873689,-1.0
2014-10-16,1124.699951171875,1163.800048828125,1123.0999755859375,1135.0999755859375,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1144.0,664.375,222.56094327148438,222.56094327148438,,,,,,,,,57.142857142857146,50.0,-7.142857142857143,0.2555283955430919,26.401568899905257,-0.814539201471123,95.6264522335227,,,,,,,,,,0.0,65.51911746787304,691.190980673957,-28.6500244140625,1.4647865183442512,15.45269944438434,,-2.461871055988185,-0.024618710559881848,0.9753812894401181,97.53812894401182,49.59273039926444,96.8239692246671,97.05701261010545,97.01373039559925,96.8239692246671,,,,,-2.986269604400749,0.0,0.0,0.0,80.45111585067683,7.087579735797989,40.7000732421875,,,,,,,0,1136.6749877929688,1143.4500122070312,1140.6666666666667,1139.2749938964844,-0.41206529859674185,,1134.974285016741,-57.357452832448494,1155.2686000279018,-1.5611011547046703,6.772031104065753,1133.4131838620365,45.860405274434015,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,0,-1,1,0,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.800048828125,28.7000732421875,0.025284181005618075,1.0,1143.4500122070312,1149.1500244140625,5.70001220703125,0.004984924698220402,1.0
2014-10-17,1135.0,1163.800048828125,1134.5,1163.800048828125,0,0,0,0,0,0,0,0,0,1169.1855939886389,1144.7700134277343,1120.3544328668297,,,,,,,,,1144.0,664.375,241.38572538261718,241.38572538261718,,,,,,,,,50.0,42.85714285714286,-7.142857142857143,0.9829351820219476,47.759660780808844,12.819816201302494,95.62645223352271,,,,,,,,,,0.0,63.61632433020786,641.8201963401029,13.9000244140625,1.4222464805206863,14.348935198356887,,1.2088028627658565,0.01208802862765859,1.0120880286276586,101.20880286276585,56.40990810065124,97.60632461376406,97.08919352111945,99.88015468945069,97.60632461376406,,,,,-0.11984531054931337,0.0,0.0,0.0,76.79746820620883,6.598854183202619,29.300048828125,,,,,,,0,1149.2750244140625,1149.1500244140625,1154.0333658854167,1156.4750366210938,-0.27463130164295774,,1142.4457275390625,-22.374439930363273,1147.7971575055803,-0.4116484589629121,13.116342070036344,1142.0340790800997,172.0384292982053,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,-1,1,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,0,1,0,1,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1164.0,0.199951171875,0.00017180887049827719,1.0,1149.1500244140625,1152.0,2.8499755859375,0.002480072684496237,1.0
