Date,Open,High,Low,Close,Volume,Change,Wave,EFP Volume,EFS Volume,Block Volume,Last,Previous Day Open Interest,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,APO,CCI,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MINUS_DM,MOM,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,TRIX,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ADX,ADXR,AROON_down,AROON_up,AROONOSC,CMO,DX,MFI,MINUS_DI,PLUS_DI,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,ULTOSC,WILLR,BOP,HT_TRENDMODE,CORREL,DEMA_Trend,EMA_Trend,HT_TRENDLINE_Trend,KAMA_Trend,MA_Trend,MAMA_Trend,MAVP_Trend,MIDPOINT_Trend,MIDPRICE_Trend,SAR_Trend,SAREXT_Trend,SMA_Trend,T3_Trend,TEMA_Trend,TRIMA_Trend,WMA_Trend,ADX_Trend,ADXR_Trend,AROONOSC_Trend,DX_Trend,TRIX_Trend,DMI_Trend,AROON_Up_Trend,AROON_Down_Trend,PM_Uptrend,PM_Downtrend,ROC_Trend,ROCP_Trend,ROCR_Trend,ROCR100_Trend,ROC_Buy_Sell_Signal,ROCP_Buy_Sell_Signal,ROCR_Buy_Sell_Signal,ROCR100_Buy_Sell_Signal,APO_Buy_Sell_Signal,MACD_Buy_Sell_Signal,MACDEXT_Buy_Sell_Signal,MACDFIX_Buy_Sell_Signal,PPO_Buy_Sell_Signal,MOM_Buy_Sell_Signal,STOCH_Buy_Sell_Signal,STOCHF_Buy_Sell_Signal,STOCHRSI_Buy_Sell_Signal,ULTOSC_Buy_Sell_Signal,WILLR_Buy_Sell_Signal,BOP_Buy_Sell_Pressure,MFI_Buy_Sell_Pressure,AD_Buy_Sell_Pressure,ADOSC_Buy_Sell_Pressure,OBV_Buy_Sell_Pressure,BB_Overbought_Oversold_Signal,CCI_Overbought_Oversold_Signal,RSI_Overbought_Oversold_Signal,STOCH_Overbought_Oversold_Signal,STOCHF_Overbought_Oversold_Signal,STOCHRSI_Overbought_Oversold_Signal,ULTOSC_Overbought_Oversold_Signal,WILLR_Overbought_Oversold_Signal,BB_RSI_Reversal,BB_Volatility,ATR_Volatility,NATR_Volatility,TRANGE_Volatility,PATTERN_SUM,NEXT_DAY_CLOSEPRICE,DAILY_CLOSEPRICE_CHANGE,DAILY_CLOSEPRICE_CHANGE_PERCENT,DAILY_CLOSEPRICE_DIRECTION,DAILY_MIDPRICE,NEXT_DAY_MIDPRICE,DAILY_MIDPRICE_CHANGE,DAILY_MIDPRICE_CHANGE_PERCENT,DAILY_MIDPRICE_DIRECTION
2014-09-25,1042.030029296875,1045.0,1039.0,1038.699951171875,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,1041.1824951171875,1042.0,1040.8999837239585,1040.3499755859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5550130208333334,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1042.5999755859375,3.9000244140625,0.003754717047654,1.0,1042.0,1044.3250122070312,2.32501220703125,0.0022312977034848,1.0
2014-09-26,1043.22998046875,1048.25,1040.4000244140625,1042.5999755859375,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1039.0,1039.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,9.550048828125,,,,,,,1043.6199951171875,1044.3250122070312,1043.75,1043.4624938964844,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0802556486852131,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1026.0,-16.5999755859375,-0.0159217110825351,-1.0,1044.3250122070312,1041.0700073242188,-3.2550048828125,-0.0031168504486295,-1.0
2014-09-29,1025.699951171875,1056.739990234375,1025.4000244140625,1026.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1056.739990234375,-1056.739990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,31.3399658203125,,,,,,,1033.459991455078,1041.0700073242188,1036.0466715494792,1033.5350036621094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0095739998519886,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1052.199951171875,26.199951171875,0.0255360147874025,1.0,1041.0700073242188,1054.25,13.17999267578125,0.0126600445532541,1.0
2014-09-30,1055.97998046875,1058.449951171875,1050.050048828125,1052.199951171875,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1025.4000244140625,1025.4000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,32.449951171875,,,,,,,1054.1699829101562,1054.25,1053.566650390625,1053.2249755859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4500087194094053,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1053.9000244140625,1.7000732421875,0.0016157321051897,1.0,1054.25,1059.3599853515625,5.1099853515625,0.0048470337695636,1.0
2014-10-01,1058.0799560546875,1064.719970703125,1054.0,1053.9000244140625,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1025.4000244140625,1025.4000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,12.52001953125,,,,,,,1057.6749877929688,1059.3599853515625,1057.5399983723958,1056.6300048828125,,,,,,10.105325435098932,,102.11760214925744,,,,,,,,,,,,,,,,,,,,-0.389920061946298,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1061.800048828125,7.9000244140625,0.007495990351129,1.0,1059.3599853515625,1058.8900146484375,-0.469970703125,-0.0004436364499542,-1.0
2014-10-02,1060.3299560546875,1063.780029296875,1054.0,1061.800048828125,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1026.972822265625,1026.972822265625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,9.8800048828125,,,,,,,1059.977508544922,1058.8900146484375,1059.8600260416667,1060.3450317382812,-2.0848813106310504,,,,,12.276819533291052,,150.72029785299674,,,,,,,,,,,,,,,,,,,,0.150315784218278,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1060.199951171875,-1.60009765625,-0.0015069670207832,-1.0,1058.8900146484375,1067.0349731445312,8.14495849609375,0.0076919778101769,1.0
2014-10-03,1060.300048828125,1074.719970703125,1059.3499755859375,1060.199951171875,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1028.482708203125,1028.482708203125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,15.3699951171875,,,,,,,1063.6424865722656,1067.0349731445312,1064.7566324869792,1063.6174621582031,-1.135242695573585,,,,,12.93033775182982,,167.1936343763955,,,,,,,,,,,,,,,,,,,,-0.0065125366330185,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1060.0999755859375,-0.0999755859375,-9.429880262397067e-05,-1.0,1067.0349731445312,1065.239990234375,-1.79498291015625,-0.0016822156305397,-1.0
2014-10-06,1060.0999755859375,1071.1300048828125,1059.3499755859375,1060.0999755859375,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1031.2569439531248,1031.2569439531248,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,11.780029296875,,,,,,,1062.6699829101562,1065.239990234375,1063.5266520182292,1062.6699829101562,0.2021902012905335,,,,,3.833859276837912,,14.698476954596115,,,,,,,,,,,,,,,,,,,,0.0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1067.9000244140625,7.800048828125,0.007357842663673,1.0,1065.239990234375,1066.1749877929688,0.93499755859375,0.0008777341886949,1.0
2014-10-07,1064.3299560546875,1070.5999755859375,1061.75,1067.9000244140625,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1033.8647255581247,1033.8647255581247,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,10.5,,,,,,,1066.144989013672,1066.1749877929688,1066.75,1067.0375061035156,0.3778539197945011,,,,,4.469187872041919,,19.97364023560658,,,,,,,,,,,,,,,,,,,,0.4033986675678285,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1068.699951171875,0.7999267578125,0.0007490652116535,1.0,1066.1749877929688,1071.7899780273438,5.614990234375,0.0052664809235473,1.0
2014-10-08,1066.47998046875,1077.0999755859375,1066.47998046875,1068.699951171875,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1036.3160402668248,1036.3160402668248,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,10.6199951171875,,,,,,,1069.689971923828,1071.7899780273438,1070.7599690755208,1070.2449645996094,0.3967372621925321,,,,,3.7802659362072086,,14.290410548448564,,,,,,,,,,,,,,,,,,,,0.2090368854814423,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1074.0699462890625,5.3699951171875,0.0050247921423586,1.0,1071.7899780273438,1066.9299926757812,-4.8599853515625,-0.0045344567976903,-1.0
