Date,Open,High,Low,Close,Volume,Change,Wave,EFP Volume,EFS Volume,Block Volume,Last,Previous Day Open Interest,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,APO,CCI,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MINUS_DM,MOM,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,TRIX,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ADX,ADXR,AROON_down,AROON_up,AROONOSC,CMO,DX,MFI,MINUS_DI,PLUS_DI,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,ULTOSC,WILLR,BOP,HT_TRENDMODE,CORREL,DEMA_Trend,EMA_Trend,HT_TRENDLINE_Trend,KAMA_Trend,MA_Trend,MAMA_Trend,MAVP_Trend,MIDPOINT_Trend,MIDPRICE_Trend,SAR_Trend,SAREXT_Trend,SMA_Trend,T3_Trend,TEMA_Trend,TRIMA_Trend,WMA_Trend,ADX_Trend,ADXR_Trend,AROONOSC_Trend,DX_Trend,TRIX_Trend,DMI_Trend,AROON_Up_Trend,AROON_Down_Trend,PM_Uptrend,PM_Downtrend,ROC_Trend,ROCP_Trend,ROCR_Trend,ROCR100_Trend,ROC_Buy_Sell_Signal,ROCP_Buy_Sell_Signal,ROCR_Buy_Sell_Signal,ROCR100_Buy_Sell_Signal,APO_Buy_Sell_Signal,MACD_Buy_Sell_Signal,MACDEXT_Buy_Sell_Signal,MACDFIX_Buy_Sell_Signal,PPO_Buy_Sell_Signal,MOM_Buy_Sell_Signal,STOCH_Buy_Sell_Signal,STOCHF_Buy_Sell_Signal,STOCHRSI_Buy_Sell_Signal,ULTOSC_Buy_Sell_Signal,WILLR_Buy_Sell_Signal,BOP_Buy_Sell_Pressure,MFI_Buy_Sell_Pressure,AD_Buy_Sell_Pressure,ADOSC_Buy_Sell_Pressure,OBV_Buy_Sell_Pressure,BB_Overbought_Oversold_Signal,CCI_Overbought_Oversold_Signal,RSI_Overbought_Oversold_Signal,STOCH_Overbought_Oversold_Signal,STOCHF_Overbought_Oversold_Signal,STOCHRSI_Overbought_Oversold_Signal,ULTOSC_Overbought_Oversold_Signal,WILLR_Overbought_Oversold_Signal,BB_RSI_Reversal,BB_Volatility,ATR_Volatility,NATR_Volatility,TRANGE_Volatility,PATTERN_SUM,NEXT_DAY_CLOSEPRICE,DAILY_CLOSEPRICE_CHANGE,DAILY_CLOSEPRICE_CHANGE_PERCENT,DAILY_CLOSEPRICE_DIRECTION,DAILY_MIDPRICE,NEXT_DAY_MIDPRICE,DAILY_MIDPRICE_CHANGE,DAILY_MIDPRICE_CHANGE_PERCENT,DAILY_MIDPRICE_DIRECTION,scaled_NET_SENTIMENT,scaled_UNCERTAINTY_MODAL,scaled_REGULATORY_PRESSURE
02/01/2014,605.0,605.25,595.0,597.0,39410,0.0,0,0,0,0,597.0,259444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24030.4878,,39410,,,,,,,,,,600.5625,600.125,599.0833333333334,598.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.780487805,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.75,8.75,0.014656616,1.0,600.125,602.5,2.375,0.003957509,1.0,5.0,5.0,5.0
03/01/2014,596.75,609.0,596.0,605.75,49227,0.0,0,0,0,0,605.75,262483,,,,,,,,,,,,,,595.0,595.0,,,,,,,,,,,,,,,,,,,,,,,,,,583.0121951219517,,88637,,,13.0,,,,,,,601.875,602.5,603.5833333333334,604.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6923076923076923,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.75,0.0,0.0,0.0,602.5,608.875,6.375,0.010580913,1.0,5.0,5.0,5.0
06/01/2014,608.0,612.75,605.0,605.75,39412,0.0,0,0,0,0,605.75,256401,,,,,,,,,,,,,,595.28,595.28,,,,,,,,,,,,,,,,,,,,,,,,,,-31200.85877,,88637,,,7.75,,,,,,,607.875,608.875,607.8333333333334,607.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.290322581,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.5,-3.25,-0.00536525,-1.0,608.875,605.875,-3.0,-0.00492712,-1.0,3.4000000000000004,5.0,5.0
07/01/2014,606.5,610.0,601.75,602.5,45885,0.0,0,0,0,0,602.5,258621,,,,,,,,,,,,,,595.9788,595.9788,,,,,,,,,,,,,,,,,,,,,,,,,,-68743.1315,,42752,,,8.25,,,,,,,605.1875,605.875,604.75,604.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.484848485,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.75,-13.75,-0.022821577,-1.0,605.875,597.0,-8.875,-0.014648236,-1.0,2.8,5.0,5.0
08/01/2014,603.0,607.25,586.75,588.75,55311,0.0,0,0,0,0,588.75,257666,,,,,,,,,,,,,,612.75,-612.75,,,,,,,,,,,,,,,,,,,,,,,,,,-113261.7413,,-12559,,,20.5,,,,,,,596.4375,597.0,594.25,592.875,,,,,,6.448643268158253,,41.58499999996275,,,,,,,,,,,,,,,,,,,,-0.695121951,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584.25,-4.5,-0.007643312,-1.0,597.0,584.75,-12.25,-0.020519263,-1.0,5.0,5.0,5.0
09/01/2014,588.0,591.0,578.5,584.25,67915,0.0,0,0,0,0,584.25,261957,,,,,,,,,,,,,,612.23,-612.23,,,,,,,,,,,,,,,,,,,,,,,,,,-118694.9413,,-80474,,,12.5,,,,,,,585.4375,584.75,584.5833333333334,584.5,0.6733596605059381,,,,,9.090654542,,82.64000000007218,,,,,,,,,,,,,,,,,,,,-0.3,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.0,-15.25,-0.02610184,-1.0,584.75,576.875,-7.875,-0.013467294,-1.0,3.4000000000000004,5.0,5.0
10/01/2014,584.5,593.25,560.5,569.0,110229,0.0,0,0,0,0,569.0,258024,,,,,,,,,,,,,,610.8808,-610.8808,,,,,,,,,,,,,,,,,,,,,,,,,,-171705.8344,,-190703,,,32.75,,,,,,,576.8125,576.875,574.25,572.9375,0.2601519285285573,,,,,13.265933815606209,,175.98500000004424,,,,,,,,,,,,,,,,,,,,-0.473282443,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573.5,4.5,0.007908612,1.0,576.875,573.0,-3.875,-0.006717226,-1.0,5.0,7.333333333333333,5.0
13/01/2014,571.5,576.0,570.0,573.5,58090,0.0,0,0,0,0,573.5,253824,,,,,,,,,,,,,,607.8579520000001,-607.857952,,,,,,,,,,,,,,,,,,,,,,,,,,-162024.1677,,-132613,,,7.0,,,,,,,572.75,573.0,573.1666666666666,573.25,-0.932506273,,,,,11.82645339905378,,139.8649999999907,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.25,5.75,0.010026155,1.0,573.0,575.375,2.375,0.004144852,1.0,5.0,5.0,5.0
14/01/2014,571.25,580.0,570.75,579.25,37729,0.0,0,0,0,0,579.25,249551,,,,,,,,,,,,,,605.0164749,-605.0164749,,,,,,,,,,,,,,,,,,,,,,,,,,-130413.3839,,-94884,,,9.25,,,,,,,575.3125,575.375,576.6666666666666,577.3125,-0.544527995,,,,,7.112313266438898,,50.58499999996275,,,,,,,,,,,,,,,,,,,,0.8648648648648649,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,567.75,-11.5,-0.019853259,-1.0,575.375,573.125,-2.25,-0.003910493,-1.0,5.0,5.0,5.0
15/01/2014,579.0,579.75,566.5,567.75,39042,0.0,0,0,0,0,567.75,252352,,,,,,,,,,,,,,602.3454864,-602.3454864,,,,,,,,,,,,,,,,,,,,,,,,,,-162088.9688,-38835.42159,-133926,,,13.25,,,,,,,573.25,573.125,571.3333333333334,570.4375,-0.442470198,,,,,6.230971031870686,,38.82500000001164,,,,,,,,,,,,,,,,,,,,-0.849056604,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,572.75,5.0,0.008806693,1.0,573.125,568.875,-4.25,-0.007415485,-1.0,5.0,5.0,5.0
