,importance
ATR,0.03625234
ADOSC,0.034611233
HT_DCPERIOD,0.034443688
TRIX,0.033660203
Close,0.032385312
lowerband,0.031155366
Volume,0.030450266
STOCHRSI_fastd,0.029897658
AROON_down,0.029692499
Open,0.029345442
upperband,0.02921012
MINUS_DM,0.029040683
STOCHRSI_fastk,0.028272854
MACD,0.027972499
SAR,0.026848273
ULTOSC,0.026410969
PLUS_DI,0.026364207
STOCH_slowk,0.026182624
STDDEV,0.025839092
ADX,0.025711436
TRIMA,0.025458066
TRANGE,0.02538061
WCLPRICE,0.025270866
BETA,0.025199423
NATR,0.025185466
MACDEXT_signal,0.024925468
BOP,0.024750225
DX,0.024386246
HT_SINE_leadsine,0.023786876
AROONOSC,0.023130897
MACDFIX,0.023063371
AROON_up,0.022922976
AD,0.022771131
HT_DCPHASE,0.02258437
MACDEXT_hist,0.022540096
AVGPRICE,0.02252785
MINUS_DI,0.022369258
SENTIMENT_POSITIVE,0.0
SENTIMENT_WEAK_MODAL,0.0
LINEARREG_SLOPE,0.0
SENTIMENT_STRONG_MODAL,0.0
LINEARREG_INTERCEPT,0.0
WILLR,0.0
SENTIMENT_LITIGIOUS,0.0
OBV,0.0
SENTIMENT_UNCERTAINTY,0.0
LINEARREG_ANGLE,0.0
STOCHF_fastd,0.0
TYPPRICE,0.0
HT_PHASOR_inphase,0.0
HT_PHASOR_quadrature,0.0
HT_SINE_sine,0.0
LINEARREG,0.0
CORREL,0.0
PATTERN_SUM,0.0
HT_TRENDMODE,0.0
VAR,0.0
SENTIMENT_NEGATIVE,0.0
MEDPRICE,0.0
TSF,0.0
PLUS_DM,0.0
STOCHF_fastk,0.0
MAMA,0.0
T3,0.0
SMA,0.0
SAREXT,0.0
MIDPRICE,0.0
MIDPOINT,0.0
MAVP,0.0
FAMA,0.0
MA,0.0
WMA,0.0
KAMA,0.0
HT_TRENDLINE,0.0
EMA,0.0
DEMA,0.0
middleband,0.0
Adj Close,0.0
Low,0.0
TEMA,0.0
ADXR,0.0
STOCH_slowd,0.0
MOM,0.0
RSI,0.0
ROCR100,0.0
ROCR,0.0
ROCP,0.0
ROC,0.0
PPO,0.0
High,0.0
MFI,0.0
APO,0.0
MACDFIX_hist,0.0
MACDFIX_signal,0.0
MACDEXT,0.0
MACD_hist,0.0
MACD_signal,0.0
CMO,0.0
CCI,0.0
SENTIMENT_CONSTRAINING,0.0
