,importance
MAMA,0.05475098
MACDEXT,0.03416135
MINUS_DI,0.0341019
Volume,0.028576797
TRIX,0.025683451
CCI,0.025072737
STOCHRSI_fastd,0.024917077
STOCH_slowd,0.024888374
High,0.024786722
Close,0.024537755
MACDFIX,0.024186375
ADOSC,0.023971127
DEMA,0.023213554
PLUS_DM,0.022398828
AROON_down,0.021758141
AD,0.021584604
HT_SINE_leadsine,0.021345753
ADXR,0.020714108
DX,0.018520484
HT_PHASOR_inphase,0.017931946
BETA,0.017014235
HT_DCPHASE,0.016213994
MACDEXT_hist,0.01595738
STOCH_slowk,0.015823102
CMO,0.01577115
HT_TRENDLINE,0.015669199
TEMA,0.015216006
ATR,0.015138469
HT_DCPERIOD,0.014659751
STOCHRSI_fastk,0.014600788
MACDEXT_signal,0.014241341
MACD,0.0141159855
BOP,0.013911367
MACDFIX_hist,0.013487066
MACD_signal,0.013281883
APO,0.01321371
MINUS_DM,0.013083141
MACD_hist,0.012899356
lowerband,0.012700405
SAR,0.012670591
OBV,0.012325359
PLUS_DI,0.012292405
LINEARREG_INTERCEPT,0.01209623
Open,0.01174688
ADX,0.011587942
MA,0.011386872
Adj Close,0.011277125
MFI,0.011272458
TYPPRICE,0.010802202
STDDEV,0.009977588
MOM,0.009887567
TRANGE,0.009463308
VAR,0.009200707
STOCHF_fastk,0.009088383
MEDPRICE,0.008919042
LINEARREG_ANGLE,0.008641523
HT_PHASOR_quadrature,0.008319257
CORREL,0.007929578
HT_SINE_sine,0.007014661
LINEARREG_SLOPE,0.0
upperband,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
WCLPRICE,0.0
NATR,0.0
Low,0.0
SENTIMENT_POSITIVE,0.0
PATTERN_SUM,0.0
SENTIMENT_NEGATIVE,0.0
LINEARREG,0.0
TSF,0.0
HT_TRENDMODE,0.0
AVGPRICE,0.0
MACDFIX_signal,0.0
middleband,0.0
EMA,0.0
AROONOSC,0.0
AROON_up,0.0
WMA,0.0
PPO,0.0
ROC,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
RSI,0.0
TRIMA,0.0
T3,0.0
STOCHF_fastd,0.0
SMA,0.0
SAREXT,0.0
MIDPRICE,0.0
ULTOSC,0.0
WILLR,0.0
MIDPOINT,0.0
MAVP,0.0
FAMA,0.0
KAMA,0.0
SENTIMENT_CONSTRAINING,0.0
