,importance
ROCP,0.038057
MACD_hist,0.030591784
STOCHF_fastk,0.030134274
PATTERN_SUM,0.028310318
HT_TRENDLINE,0.02815092
AROON_down,0.02531201
Open,0.023596661
CORREL,0.023462407
ULTOSC,0.02339727
PLUS_DM,0.022587422
OBV,0.022295365
MACDFIX,0.022189142
CMO,0.021981457
TRANGE,0.021350792
BETA,0.020865379
STOCH_slowk,0.020633385
HT_SINE_sine,0.020592079
DX,0.020272123
ADX,0.020065196
Close,0.020042185
STOCHRSI_fastd,0.019631598
STDDEV,0.019291088
ATR,0.018911114
HT_PHASOR_quadrature,0.018863752
CCI,0.0186443
HT_DCPHASE,0.018593017
MACDFIX_signal,0.018063534
BOP,0.017901957
STOCH_slowd,0.017798927
Volume,0.017589267
ADOSC,0.017506598
TRIX,0.01738217
MINUS_DI,0.017305328
SAREXT,0.01686209
EMA,0.016344406
TRIMA,0.016243216
PPO,0.016044952
HT_PHASOR_inphase,0.016016006
MFI,0.015967993
MACD,0.015687242
HT_SINE_leadsine,0.015600662
ADXR,0.015399243
MACDEXT_signal,0.0152249755
AROONOSC,0.015194697
T3,0.01517875
SAR,0.015125122
HT_DCPERIOD,0.015000151
NATR,0.0148303285
FAMA,0.014725753
VAR,0.014654986
MOM,0.014529641
WCLPRICE,0.0
Low,0.0
TSF,0.0
SENTIMENT_WEAK_MODAL,0.0
LINEARREG_INTERCEPT,0.0
LINEARREG_SLOPE,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
LINEARREG_ANGLE,0.0
HT_TRENDMODE,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TYPPRICE,0.0
LINEARREG,0.0
ROCR100,0.0
AD,0.0
middleband,0.0
KAMA,0.0
MA,0.0
MAMA,0.0
MAVP,0.0
MIDPOINT,0.0
MIDPRICE,0.0
SMA,0.0
TEMA,0.0
WMA,0.0
APO,0.0
lowerband,0.0
AROON_up,0.0
MACD_signal,0.0
MACDEXT,0.0
WILLR,0.0
MACDEXT_hist,0.0
MACDFIX_hist,0.0
MINUS_DM,0.0
PLUS_DI,0.0
High,0.0
ROC,0.0
upperband,0.0
ROCR,0.0
DEMA,0.0
RSI,0.0
STOCHF_fastd,0.0
STOCHRSI_fastk,0.0
Adj Close,0.0
SENTIMENT_CONSTRAINING,0.0
