,importance
T3,0.03115979
AVGPRICE,0.028183404
TSF,0.024047974
AROON_down,0.023188641
STOCHF_fastk,0.022906058
ULTOSC,0.022773022
MACDFIX_hist,0.0225364
ATR,0.022213746
SAR,0.022208858
LINEARREG_SLOPE,0.021325512
CCI,0.019067107
MACD_hist,0.018480042
LINEARREG,0.017446298
STOCH_slowd,0.016913917
DEMA,0.016716393
STOCHRSI_fastd,0.016516743
MINUS_DI,0.015175689
TEMA,0.014938745
ADX,0.014827366
MA,0.014634798
PLUS_DI,0.014401793
MACD_signal,0.014211152
CORREL,0.01412737
MAVP,0.014048056
NATR,0.0138403345
STOCH_slowk,0.013552504
BETA,0.013496338
MAMA,0.013465015
ADXR,0.0134448195
HT_PHASOR_quadrature,0.01320091
TRIX,0.01291945
STDDEV,0.01291598
middleband,0.012852136
AROON_up,0.012652864
TRANGE,0.012552094
MINUS_DM,0.0125436215
LINEARREG_INTERCEPT,0.012203107
HT_SINE_leadsine,0.012132805
RSI,0.0121017685
MACD,0.011956823
High,0.011859147
APO,0.011738181
MACDEXT_signal,0.0116268
HT_PHASOR_inphase,0.0116184065
STOCHRSI_fastk,0.011604496
HT_DCPHASE,0.011524577
MACDFIX,0.011153802
WILLR,0.011084676
PLUS_DM,0.011046614
DX,0.011006918
HT_TRENDLINE,0.010825121
Low,0.0107774045
EMA,0.01067398
CMO,0.010533277
FAMA,0.010517013
TRIMA,0.010151877
HT_SINE_sine,0.009970073
MIDPOINT,0.009879686
LINEARREG_ANGLE,0.009765731
Open,0.009478095
upperband,0.009324716
MACDEXT_hist,0.009314815
SAREXT,0.009302192
HT_DCPERIOD,0.009146667
PPO,0.009129142
lowerband,0.009124352
ROC,0.009064266
VAR,0.0088519035
MACDFIX_signal,0.008582492
Close,0.008556131
MOM,0.008434118
MIDPRICE,0.008355602
KAMA,0.008098343
Volume,0.0
Adj Close,0.0
STOCHF_fastd,0.0
PATTERN_SUM,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_NEGATIVE,0.0
AROONOSC,0.0
SMA,0.0
WMA,0.0
ROCR100,0.0
WCLPRICE,0.0
TYPPRICE,0.0
MEDPRICE,0.0
BOP,0.0
HT_TRENDMODE,0.0
MACDEXT,0.0
MFI,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
ROCP,0.0
ROCR,0.0
SENTIMENT_CONSTRAINING,0.0
