,importance
WMA,0.0348066
ULTOSC,0.027585544
DEMA,0.0274432
STOCHF_fastd,0.024841724
MIDPOINT,0.024812847
PLUS_DI,0.022159096
LINEARREG_INTERCEPT,0.021971645
CORREL,0.021545505
TSF,0.021071784
MACDEXT_hist,0.020438474
SAREXT,0.020214733
upperband,0.020209199
MACDFIX,0.019806243
CCI,0.0197936
CMO,0.01962957
BETA,0.019558424
AROON_up,0.019521823
ATR,0.019021535
HT_SINE_sine,0.018721653
DX,0.018692486
STOCHF_fastk,0.018580202
Low,0.018571112
MAMA,0.018452816
TRANGE,0.018447213
ADXR,0.018446328
STOCHRSI_fastd,0.01828545
SAR,0.01805853
MOM,0.018050643
VAR,0.017973296
NATR,0.017610934
HT_PHASOR_quadrature,0.017403495
HT_DCPHASE,0.017063404
STOCH_slowd,0.016965013
MACD_hist,0.016959108
ADX,0.016724003
PLUS_DM,0.016697582
MINUS_DI,0.016518699
lowerband,0.016474083
TEMA,0.016312286
MINUS_DM,0.016309228
STOCH_slowk,0.016277432
MACD,0.016214473
MIDPRICE,0.016023232
HT_PHASOR_inphase,0.015879836
STOCHRSI_fastk,0.015827008
MA,0.015608721
RSI,0.015421827
MACDEXT_signal,0.015161073
LINEARREG,0.013872452
High,0.013830477
STDDEV,0.0136368675
APO,0.013571352
TRIX,0.013510731
middleband,0.01341543
WCLPRICE,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
HT_SINE_leadsine,0.0
SENTIMENT_LITIGIOUS,0.0
LINEARREG_ANGLE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
PATTERN_SUM,0.0
LINEARREG_SLOPE,0.0
HT_TRENDMODE,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TYPPRICE,0.0
Open,0.0
HT_DCPERIOD,0.0
OBV,0.0
Close,0.0
Adj Close,0.0
Volume,0.0
EMA,0.0
HT_TRENDLINE,0.0
KAMA,0.0
FAMA,0.0
MAVP,0.0
SMA,0.0
T3,0.0
TRIMA,0.0
AROON_down,0.0
AROONOSC,0.0
BOP,0.0
MACD_signal,0.0
MACDEXT,0.0
MACDFIX_signal,0.0
MACDFIX_hist,0.0
MFI,0.0
PPO,0.0
ROC,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
WILLR,0.0
AD,0.0
ADOSC,0.0
SENTIMENT_CONSTRAINING,0.0
