,importance
BOP,0.079621546
MFI,0.042414103
High,0.042384107
TRANGE,0.03754661
TRIX,0.036479395
STOCHRSI_fastd,0.035975777
HT_DCPERIOD,0.034840528
Open,0.034231752
KAMA,0.031070817
ADX,0.0305157
OBV,0.028736942
MACD_hist,0.02834068
MINUS_DM,0.027014803
LINEARREG_INTERCEPT,0.026000183
PLUS_DM,0.025761914
MOM,0.025621545
TRIMA,0.024718449
HT_SINE_sine,0.024391249
EMA,0.023726536
ADXR,0.023228902
Low,0.023219138
LINEARREG_ANGLE,0.023217445
BETA,0.022713779
DX,0.021918789
STOCHF_fastk,0.021817347
STOCHRSI_fastk,0.02174037
SAREXT,0.021669997
MIDPRICE,0.021480145
STOCH_slowd,0.020863008
STDDEV,0.020370215
AROON_up,0.02028885
HT_DCPHASE,0.020053474
HT_PHASOR_inphase,0.019742027
HT_TRENDLINE,0.01970815
BB_UPPER,0.0193476
MINUS_DI,0.019228095
TRIMA_Trend,0.0
SENTIMENT_LITIGIOUS,0.0
WMA_Trend,0.0
ADX_Trend,0.0
ADXR_Trend,0.0
TEMA_Trend,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_STRONG_MODAL,0.0
T3_Trend,0.0
SENTIMENT_WEAK_MODAL,0.0
SMA_Trend,0.0
AROON_up_Trend,0.0
SAR_Trend,0.0
MIDPRICE_Trend,0.0
MIDPOINT_Trend,0.0
MAVP_Trend,0.0
MAMA_Trend,0.0
MA_Trend,0.0
KAMA_Trend,0.0
HT_TRENDLINE_Trend,0.0
SAREXT_Trend,0.0
ROCP_Trend,0.0
AROON_down_Trend,0.0
ROC_Buy_Sell_Signal,0.0
PATTERN_SUM,0.0
BB-RSI-Bearish_Reversal,0.0
BB-RSI_Bullish_Reversal,0.0
BB_Low_Volatility,0.0
BB_High_Volatility,0.0
RSI_Overbought_Oversold_Signal,0.0
CCI_Overbought_Oversold_Signal,0.0
BB_Overbought_Oversold_Signal,0.0
MFI_Buy_Sell_Pressure,0.0
BOP_Buy_Sell_Pressure,0.0
ROCR100_Buy_Sell_Signal,0.0
ROCR_Buy_Sell_Signal,0.0
ROCP_Buy_Sell_Signal,0.0
SENTIMENT_UNCERTAINTY,0.0
MOM_Buy_Sell_Signal,0.0
AROONOSC_Trend,0.0
PPO_Buy_Sell_Signal,0.0
MACDFIX_Buy_Sell_Signal,0.0
MACDEXT_Buy_Sell_Signal,0.0
MACD_Buy_Sell_Signal,0.0
APO_Buy_Sell_Signal,0.0
DMI_Trend,0.0
ROCR100_Trend,0.0
ROCR_Trend,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
ROC_Trend,0.0
DX_Trend,0.0
PM_Downtrend,0.0
PM_Uptrend,0.0
EMA_Trend,0.0
HT_SINE_leadsine,0.0
VAR,0.0
TSF,0.0
MACDEXT_signal,0.0
MACDEXT,0.0
MACD_signal,0.0
MACD,0.0
CMO,0.0
CCI,0.0
AROONOSC,0.0
AROON_down,0.0
APO,0.0
WMA,0.0
TEMA,0.0
T3,0.0
SMA,0.0
SAR,0.0
MIDPOINT,0.0
MAVP,0.0
FAMA,0.0
MAMA,0.0
MA,0.0
DEMA,0.0
BB_LOWER,0.0
BB_MIDDLE,0.0
Volume,0.0
Adj Close,0.0
Close,0.0
MACDEXT_hist,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
ADOSC,0.0
LINEARREG_SLOPE,0.0
LINEARREG,0.0
CORREL,0.0
NATR,0.0
ATR,0.0
WCLPRICE,0.0
TYPPRICE,0.0
MEDPRICE,0.0
AVGPRICE,0.0
HT_TRENDMODE,0.0
HT_PHASOR_quadrature,0.0
AD,0.0
MACDFIX_hist,0.0
WILLR,0.0
ULTOSC,0.0
STOCHF_fastd,0.0
STOCH_slowk,0.0
RSI,0.0
ROCR100,0.0
ROCR,0.0
ROCP,0.0
ROC,0.0
PPO,0.0
PLUS_DI,0.0
SENTIMENT_CONSTRAINING,0.0
