,importance
MA,0.026714489
SMA,0.02543173
BB_Overbought_Oversold_Signal,0.024999965
MIDPRICE,0.022732671
RSI,0.017093282
AVGPRICE,0.016373646
EMA,0.014559947
ATR,0.014487512
MEDPRICE,0.014065581
ATR_Volatility,0.013944845
STOCHF_fastk,0.013833334
ULTOSC,0.01377473
CMO,0.013597799
TRIMA,0.013465857
MACDFIX,0.013434868
TEMA,0.013044674
CCI,0.012981298
ULTOSC_Buy_Sell_Signal,0.01296625
STOCHRSI_fastk,0.012924036
MAMA,0.012529137
PLUS_DM,0.012418308
STOCHRSI_Buy_Sell_Signal,0.012322859
MACD,0.012300648
DEMA,0.012241685
HT_TRENDLINE,0.012087213
STOCHRSI_fastd,0.011744559
WILLR,0.011517566
TSF,0.011395282
MINUS_DI,0.011267591
ROCP,0.011174902
HT_DCPHASE,0.011100788
MAVP_Trend,0.011088065
AROON_down,0.010903633
PPO,0.010865747
TRANGE,0.01085762
BB_UPPER,0.010833585
Close,0.010763229
STOCH_slowk,0.010674051
TRIX,0.010613957
CORREL,0.010519661
PLUS_DI,0.010517289
AROONOSC,0.010239441
MACDEXT_signal,0.010219526
STDDEV,0.010196663
LINEARREG_INTERCEPT,0.010129622
HT_PHASOR_quadrature,0.010125203
HT_SINE_leadsine,0.010110094
MINUS_DM,0.009999578
MACD_hist,0.009905405
BB_LOWER,0.009880539
APO,0.009793548
HT_PHASOR_inphase,0.00969525
BB_MIDDLE,0.009660686
High,0.0096574025
STOCH_slowd,0.00963642
AROON_up,0.009544114
NATR,0.009468291
ROC,0.009446888
STOCHF_Buy_Sell_Signal,0.009418003
ADX,0.009406093
MACD_signal,0.0091648875
KAMA,0.0090972325
DX,0.009064458
WCLPRICE,0.0090091275
HT_SINE_sine,0.008822285
BB_Volatility,0.00881998
T3,0.0086211
BOP,0.008575814
SAREXT,0.008475013
ADXR,0.008432659
LINEARREG_SLOPE,0.008384316
SAR,0.008383354
BETA,0.008364482
MAVP,0.0083575435
Open,0.008341363
HT_DCPERIOD,0.00796257
MACDEXT_hist,0.007938196
MACDFIX_signal,0.007921691
VAR,0.0078709945
FAMA,0.007868043
PATTERN_SUM,0.007807204
LINEARREG_ANGLE,0.007805597
MOM,0.007672761
Low,0.0075351144
STOCH_Buy_Sell_Signal,0.00750913
ADXR_Trend,0.0072262785
MACDEXT,0.0067101666
TRANGE_Volatility,0.006277854
LINEARREG,0.0059877047
STOCHF_fastd,0.0055362093
MACDFIX_hist,0.004637322
MIDPOINT,0.004129428
NATR_Volatility,0.0027456589
BOP_Buy_Sell_Pressure,0.002247813
WILLR_Buy_Sell_Signal,0.0
ROCR100_Buy_Sell_Signal,0.0
APO_Buy_Sell_Signal,0.0
MACD_Buy_Sell_Signal,0.0
MACDEXT_Buy_Sell_Signal,0.0
MACDFIX_Buy_Sell_Signal,0.0
PPO_Buy_Sell_Signal,0.0
MOM_Buy_Sell_Signal,0.0
ROCP_Buy_Sell_Signal,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_LITIGIOUS,0.0
BB_RSI_Reversal,0.0
MFI_Buy_Sell_Pressure,0.0
AD_Buy_Sell_Pressure,0.0
ADOSC_Buy_Sell_Pressure,0.0
OBV_Buy_Sell_Pressure,0.0
SENTIMENT_UNCERTAINTY,0.0
CCI_Overbought_Oversold_Signal,0.0
RSI_Overbought_Oversold_Signal,0.0
STOCH_Overbought_Oversold_Signal,0.0
STOCHF_Overbought_Oversold_Signal,0.0
STOCHRSI_Overbought_Oversold_Signal,0.0
ULTOSC_Overbought_Oversold_Signal,0.0
WILLR_Overbought_Oversold_Signal,0.0
ROCR_Buy_Sell_Signal,0.0
TYPPRICE,0.0
ROC_Buy_Sell_Signal,0.0
ROCR100_Trend,0.0
MIDPOINT_Trend,0.0
MAMA_Trend,0.0
MA_Trend,0.0
KAMA_Trend,0.0
HT_TRENDLINE_Trend,0.0
EMA_Trend,0.0
DEMA_Trend,0.0
HT_TRENDMODE,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
ROCR100,0.0
ROCR,0.0
MFI,0.0
WMA,0.0
Volume,0.0
Adj Close,0.0
MIDPRICE_Trend,0.0
SAR_Trend,0.0
SAREXT_Trend,0.0
DMI_Trend,0.0
ROCR_Trend,0.0
ROCP_Trend,0.0
ROC_Trend,0.0
PM_Downtrend,0.0
PM_Uptrend,0.0
AROON_Down_Trend,0.0
AROON_Up_Trend,0.0
TRIX_Trend,0.0
SMA_Trend,0.0
DX_Trend,0.0
AROONOSC_Trend,0.0
ADX_Trend,0.0
WMA_Trend,0.0
TRIMA_Trend,0.0
TEMA_Trend,0.0
T3_Trend,0.0
SENTIMENT_CONSTRAINING,0.0
