,importance
ULTOSC,0.054769807
AROON_up,0.054647382
AROON_down,0.04413135
DEMA_Trend,0.039652623
STOCHF_fastk,0.03343868
WILLR,0.030317701
HT_DCPHASE,0.029213026
SAREXT,0.028085459
TRANGE,0.027240334
ROC,0.026958732
CCI,0.026670465
MOM,0.02360353
KAMA,0.02341418
MINUS_DM,0.022080056
MACDEXT_hist,0.018308638
CMO,0.016415363
MACDEXT_signal,0.016376859
BB_MIDDLE,0.016245022
NATR,0.015201443
Open,0.015050373
MACD,0.014261256
ADXR,0.0141422795
MAVP,0.013810335
DX,0.013644258
BB_UPPER,0.012969175
PLUS_DM,0.012848197
LINEARREG_ANGLE,0.012585034
BB_LOWER,0.012582715
TRIX,0.0122811105
HT_PHASOR_inphase,0.011942009
LINEARREG_SLOPE,0.0118374
MINUS_DI,0.01145769
STOCH_slowk,0.011412199
RSI,0.011285087
MACDFIX,0.011047823
HT_DCPERIOD,0.011006099
High,0.010852004
PPO,0.010813214
BOP,0.010780207
MACD_hist,0.010708133
STOCHRSI_fastk,0.010623963
ATR,0.010511231
PLUS_DI,0.0104880445
STOCH_slowd,0.010315579
HT_SINE_leadsine,0.010203789
HT_PHASOR_quadrature,0.0101837935
LINEARREG_INTERCEPT,0.010144991
STOCHRSI_fastd,0.009881315
ROCP,0.009261297
STOCHF_fastd,0.009006569
FAMA,0.0088831615
STDDEV,0.008765863
HT_SINE_sine,0.008543699
SAR,0.008486696
BETA,0.0080669215
LINEARREG,0.007273529
DEMA,0.0070249676
MACD_signal,0.0069731744
ADX,0.006506026
CORREL,0.006395797
AROONOSC,0.006367585
Low,0.006106716
APO,0.0058979965
Close,0.0
HT_TRENDMODE,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
T3,0.0
TYPPRICE,0.0
EMA,0.0
ROCR,0.0
TRIMA,0.0
WMA,0.0
SMA,0.0
MACDEXT,0.0
MIDPRICE,0.0
MACDFIX_signal,0.0
MACDFIX_hist,0.0
MIDPOINT,0.0
ROCR100,0.0
HT_TRENDLINE,0.0
MAMA,0.0
MA,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TEMA,0.0
WCLPRICE,0.0
TSF,0.0
VAR,0.0
SENTIMENT_CONSTRAINING,0.0
