,importance
CCI,0.039446533
EMA,0.038085718
MACDEXT_hist,0.030571377
MACD_signal,0.030405195
ADXR,0.03037309
MACDFIX_signal,0.025897045
ROC,0.022811191
MAVP,0.022544185
MINUS_DM,0.022395663
AROONOSC,0.021621566
MACDEXT_signal,0.02072525
ULTOSC,0.019832635
TRANGE,0.019668106
Low,0.018953467
MIDPRICE,0.01726133
High,0.017249722
KAMA,0.016605219
MAMA,0.016537957
Open,0.016352361
FAMA,0.015973084
WILLR,0.015231857
MACD_hist,0.014980624
PLUS_DI,0.014752026
AROON_up,0.014698297
PLUS_DM,0.0144180395
WMA,0.014249824
DX,0.014131791
STOCHF_fastk,0.014013733
BB_MIDDLE,0.0138864685
MOM,0.01300623
CMO,0.012939993
STOCHRSI_fastd,0.012303547
BB_UPPER,0.011919228
HT_TRENDLINE,0.011497808
TRIX,0.011469342
STOCH_slowk,0.010891394
TSF,0.010750604
AROON_down,0.010689289
SAR,0.010556701
CORREL,0.010410516
SAREXT,0.010344124
HT_SINE_leadsine,0.010168275
HT_PHASOR_inphase,0.009996569
MINUS_DI,0.009706569
MA,0.009673834
RSI,0.009606999
STOCHRSI_fastk,0.009605119
HT_SINE_sine,0.009595545
MACD,0.009533562
PPO,0.009278367
ATR,0.009167426
HT_DCPHASE,0.008856469
ADX,0.008794207
BETA,0.008749283
AVGPRICE,0.00871854
HT_PHASOR_quadrature,0.008627525
HT_DCPERIOD,0.008578566
LINEARREG_INTERCEPT,0.008321387
MEDPRICE,0.008212122
LINEARREG_ANGLE,0.008099904
STOCH_slowd,0.008071404
NATR,0.008062776
TEMA,0.0077383607
DEMA,0.0076712635
HT_TRENDMODE,0.007651449
T3,0.0076164757
STDDEV,0.0076155467
BOP,0.0075065233
APO,0.007168276
MACDFIX_hist,0.007156775
BB_LOWER,0.0071430528
MACDEXT,0.0069257673
LINEARREG_SLOPE,0.0059298933
SENTIMENT_WEAK_MODAL,0.0
TYPPRICE,0.0
SENTIMENT_STRONG_MODAL,0.0
WCLPRICE,0.0
DEMA_Trend,0.0
SENTIMENT_LITIGIOUS,0.0
VAR,0.0
LINEARREG,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
Close,0.0
SENTIMENT_NEGATIVE,0.0
Volume,0.0
OBV,0.0
Change,0.0
Wave,0.0
MACDFIX,0.0
TRIMA,0.0
MFI,0.0
SMA,0.0
MIDPOINT,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
Previous Day Open Interest,0.0
STOCHF_fastd,0.0
Last,0.0
Block Volume,0.0
EFS Volume,0.0
EFP Volume,0.0
AD,0.0
ADOSC,0.0
Prev. Day Open Interest,0.0
SENTIMENT_CONSTRAINING,0.0
