,importance
TEMA,0.03512955
TRANGE,0.029492104
STOCHF_fastk,0.02840373
TYPPRICE,0.02817925
RSI,0.027218938
MEDPRICE,0.025709324
MACD_signal,0.023794262
CCI,0.021067629
AVGPRICE,0.020521294
PLUS_DM,0.019568775
BB_MIDDLE,0.019381572
High,0.019368974
VAR,0.018786358
ATR,0.018005025
MACDFIX_signal,0.017796002
HT_DCPHASE,0.017034458
MINUS_DM,0.017027741
CMO,0.016282393
CORREL,0.015526664
Close,0.015188643
WILLR,0.014916022
STOCHRSI_fastk,0.014746797
BETA,0.014258582
DEMA_Trend,0.014237786
STDDEV,0.013835037
MINUS_DI,0.013678481
MACDFIX_hist,0.01351167
LINEARREG_INTERCEPT,0.013275039
ROC,0.012916634
Open,0.012049346
DX,0.011416491
AROONOSC,0.010991457
AROON_down,0.010895831
MACDFIX,0.01064252
FAMA,0.01058712
Low,0.010332079
STOCHRSI_fastd,0.010126543
T3,0.009944084
TRIX,0.009757645
HT_SINE_sine,0.009705731
STOCH_slowk,0.009337741
ULTOSC,0.009212029
MAVP,0.009161208
HT_SINE_leadsine,0.009063315
ROCR100,0.009015171
MOM,0.0089303
ADXR,0.008774103
LINEARREG_SLOPE,0.00872959
APO,0.008700823
SAR,0.008639881
MACDEXT_hist,0.008618924
LINEARREG_ANGLE,0.008618456
MACD,0.0086064795
AROON_up,0.008473503
NATR,0.008465097
MACDEXT_signal,0.008450522
MACD_hist,0.008382749
MAMA,0.008342167
HT_DCPERIOD,0.008278025
SAREXT,0.008269819
STOCH_slowd,0.008143474
PLUS_DI,0.008130117
MACDEXT,0.00808577
ADX,0.0079116365
BOP,0.0078001344
ROCR,0.007450643
DEMA,0.0073990063
HT_PHASOR_inphase,0.007246978
HT_PHASOR_quadrature,0.0072420966
TSF,0.0070930086
BB_LOWER,0.0068146754
EMA,0.0066702855
MA,0.0065341312
BB_UPPER,0.0062483577
HT_TRENDMODE,0.006137681
WMA,0.0060318583
ROCP,0.006004153
PPO,0.005696126
KAMA,0.0054491656
STOCHF_fastd,0.005270576
HT_TRENDLINE,0.004928343
MIDPRICE,0.0041705347
MIDPOINT,0.0041638426
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
WCLPRICE,0.0
SENTIMENT_NEGATIVE,0.0
TRIMA,0.0
SMA,0.0
LINEARREG,0.0
SENTIMENT_WEAK_MODAL,0.0
