,importance
LINEARREG,0.036487643
ULTOSC,0.033792496
RSI,0.031795375
CCI,0.021704102
WILLR,0.021373043
MACD_signal,0.020344852
AROON_up,0.019986592
ATR,0.019339643
AROON_down,0.018709728
MA,0.018357053
TSF,0.017764227
STOCHRSI_fastd,0.01738428
TRANGE,0.016729457
SAREXT,0.016427822
PLUS_DI,0.015968755
STOCHF_fastd,0.015896872
BB_LOWER,0.015512285
LINEARREG_ANGLE,0.015373867
MEDPRICE,0.015223754
AROONOSC,0.015182751
HT_PHASOR_inphase,0.014920787
STOCHF_fastk,0.014323784
ROC,0.013995142
HT_SINE_sine,0.013865428
MOM,0.013794027
MACD_hist,0.013760141
NATR,0.01339493
MAVP,0.013164736
HT_DCPHASE,0.01310198
MACDFIX_hist,0.012816342
MINUS_DI,0.012497415
CMO,0.012306036
STOCHRSI_fastk,0.012251127
ADXR,0.01213975
PLUS_DM,0.01182102
MAMA,0.011259564
BB_UPPER,0.011192314
BOP,0.01102535
BB_MIDDLE,0.010947429
MINUS_DM,0.010938818
DEMA,0.010930429
MACDEXT,0.01088663
High,0.010734685
KAMA,0.010694581
STDDEV,0.010693199
AVGPRICE,0.0105026765
SAR,0.010421271
VAR,0.010348403
MACDEXT_hist,0.01016085
DX,0.010025911
MACD,0.009981268
TEMA,0.009974487
ROCP,0.009887869
TRIMA,0.009797596
CORREL,0.009771828
FAMA,0.009584138
Open,0.009439251
LINEARREG_SLOPE,0.009435932
STOCH_slowd,0.00921198
T3,0.009132726
Close,0.00908767
EMA,0.009050194
ADX,0.008915178
BETA,0.008632175
HT_SINE_leadsine,0.008581596
APO,0.008440968
MACDFIX,0.008350595
HT_DCPERIOD,0.008312525
HT_PHASOR_quadrature,0.00816301
TRIX,0.0076367217
DEMA_Trend,0.00762773
Low,0.007402551
MIDPRICE,0.007364161
MACDEXT_signal,0.0070366473
HT_TRENDLINE,0.0068174317
ROCR100,0.0067891493
LINEARREG_INTERCEPT,0.0066684666
ROCR,0.006636799
SENTIMENT_NEGATIVE,0.0
HT_TRENDMODE,0.0
TYPPRICE,0.0
MACDFIX_signal,0.0
MIDPOINT,0.0
PPO,0.0
SMA,0.0
STOCH_slowk,0.0
WMA,0.0
WCLPRICE,0.0
SENTIMENT_UNCERTAINTY,0.0
