,importance
MACDEXT,0.034170095
DEMA,0.03375787
BB_MIDDLE,0.029893868
MAVP,0.020293623
EMA,0.020212729
TRANGE,0.019246392
Low,0.0189243
MIDPRICE,0.018782016
MACD_signal,0.018398756
MINUS_DI,0.017727986
ROCP,0.0169777
BB_LOWER,0.016769454
High,0.016692216
STDDEV,0.01596588
LINEARREG_INTERCEPT,0.01577586
ULTOSC,0.015638135
STOCH_slowk,0.014895654
PLUS_DM,0.0144506255
ADXR,0.014395682
CORREL,0.014349742
TRIMA,0.014298787
STOCHRSI_fastk,0.014266899
BB_UPPER,0.014218218
CMO,0.014048952
KAMA,0.013662369
VAR,0.013484253
MACDEXT_signal,0.013287838
HT_PHASOR_inphase,0.013263031
STOCHF_fastk,0.0132129835
PLUS_DI,0.013155838
Open,0.013025335
CCI,0.01277957
ROC,0.012502319
APO,0.012498659
HT_TRENDMODE,0.012361799
T3,0.01234377
LINEARREG_ANGLE,0.012157957
MACD,0.012139189
MACDEXT_hist,0.0119596515
MINUS_DM,0.011775095
TEMA,0.011734909
TRIX,0.011619386
MACDFIX,0.0116058355
HT_SINE_sine,0.011603401
MEDPRICE,0.011521871
NATR,0.011256265
MACD_hist,0.011113209
PPO,0.011088905
MOM,0.011087023
AROON_up,0.011002905
RSI,0.010989099
SAREXT,0.01062201
MA,0.010608729
WMA,0.0105896145
SAR,0.010552988
AROONOSC,0.010296178
MIDPOINT,0.010067846
STOCHRSI_fastd,0.00995843
ADX,0.009822492
BETA,0.009795897
HT_PHASOR_quadrature,0.009525194
ATR,0.00928133
STOCH_slowd,0.009099259
DX,0.0089412145
MACDFIX_signal,0.008806194
STOCHF_fastd,0.0087656565
LINEARREG,0.008553449
HT_DCPHASE,0.008545839
MAMA,0.008434679
HT_SINE_leadsine,0.008418349
HT_DCPERIOD,0.008347143
BOP,0.008049179
AROON_down,0.00694791
FAMA,0.006422417
Close,0.005979223
MACDFIX_hist,0.0057613035
AVGPRICE,0.005423568
Volume,0.0
HT_TRENDLINE,0.0
Change,0.0
LINEARREG_SLOPE,0.0
TSF,0.0
Wave,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
ROCR,0.0
TYPPRICE,0.0
ROCR100,0.0
WCLPRICE,0.0
Block Volume,0.0
SMA,0.0
Prev. Day Open Interest,0.0
MFI,0.0
EFP Volume,0.0
Previous Day Open Interest,0.0
Last,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
WILLR,0.0
EFS Volume,0.0
SENTIMENT_CONSTRAINING,0.0
