,importance
HT_TRENDMODE,0.05892229
AVGPRICE,0.020043034
TSF,0.01727716
LINEARREG,0.01718813
ROCP,0.016273484
VAR,0.016252331
LINEARREG_ANGLE,0.015738858
MOM,0.014989602
MINUS_DI,0.014531322
MINUS_DM,0.014406684
Close,0.014309729
MAVP,0.014247075
BB_LOWER,0.014217963
HT_TRENDLINE,0.014020818
MACD_hist,0.014013457
ULTOSC,0.013639774
HT_SINE_sine,0.013440357
LINEARREG_SLOPE,0.013429238
MACDEXT,0.013128377
MAMA,0.012931368
TEMA,0.012833775
TRANGE,0.01281308
SAR,0.012796419
PLUS_DI,0.01278335
BB_UPPER,0.012372923
SAREXT,0.012339256
ROC,0.012198642
TRIX,0.012047874
MACD_signal,0.011989927
STOCHF_fastk,0.011892179
WILLR,0.0118817305
CMO,0.0118811885
ADXR,0.011862759
AROONOSC,0.011852784
MACDFIX_hist,0.01182511
STDDEV,0.011800261
PLUS_DM,0.011779073
RSI,0.011663608
CORREL,0.011647022
MACDEXT_signal,0.011626618
AROON_up,0.011558058
BETA,0.011241464
MACDEXT_hist,0.0111356545
AROON_down,0.011073635
STOCH_slowd,0.010968317
HT_SINE_leadsine,0.010922024
CCI,0.010916555
EMA,0.0108655505
STOCH_slowk,0.01082509
BOP,0.010768108
APO,0.010752622
FAMA,0.010701775
PPO,0.010656911
MA,0.010373153
LINEARREG_INTERCEPT,0.010363656
Low,0.010328939
High,0.010221801
HT_DCPERIOD,0.01021724
NATR,0.010166817
HT_PHASOR_quadrature,0.010125287
MIDPOINT,0.010064023
T3,0.010026819
HT_PHASOR_inphase,0.009967951
STOCHRSI_fastd,0.0098603135
WMA,0.009699066
MACDFIX,0.009698962
MACDFIX_signal,0.009691536
ADX,0.009514419
MACD,0.009463611
STOCHF_fastd,0.009371067
BB_MIDDLE,0.0093153985
ATR,0.009213175
HT_DCPHASE,0.008899117
Open,0.008395628
MEDPRICE,0.007954113
ROCR100,0.007866012
DX,0.0077421316
KAMA,0.007180986
SMA,0.0068265395
STOCHRSI_fastk,0.0066694
DEMA,0.0062520034
TRIMA,0.006140273
ROCR,0.006080906
MIDPRICE,0.005035215
SENTIMENT_UNCERTAINTY,0.0
Volume,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
ADOSC,0.0
SENTIMENT_LITIGIOUS,0.0
Wave,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Change,0.0
Previous Day Open Interest,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
OBV,0.0
WCLPRICE,0.0
TYPPRICE,0.0
MFI,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
