,importance
MIDPRICE,0.03936558
AROON_down,0.031588517
AVGPRICE,0.028635558
ULTOSC,0.02728277
SMA,0.027252162
AROON_up,0.026507119
MEDPRICE,0.025442889
ROCP,0.024609176
MAMA,0.023556728
TRANGE,0.021164019
TSF,0.020863187
HT_DCPHASE,0.020839164
TEMA,0.020705005
STOCHF_fastk,0.01849185
LINEARREG_SLOPE,0.017339867
EMA,0.016469458
High,0.01635892
PLUS_DI,0.016283927
MACDEXT_signal,0.01622103
WILLR,0.015519278
T3,0.015500365
DEMA,0.015252402
STOCH_slowk,0.014503896
ROCR,0.0143982
Low,0.014183482
KAMA,0.013560398
NATR,0.013309319
MAVP,0.0126067735
MIDPOINT,0.012340869
ROC,0.011814182
HT_SINE_sine,0.011718287
CCI,0.01146314
BETA,0.011395686
HT_TRENDLINE,0.01120476
MA,0.011143267
STDDEV,0.01091944
MINUS_DM,0.010887425
DX,0.0106475465
PLUS_DM,0.010643944
STOCHRSI_fastk,0.010340319
STOCH_slowd,0.010300187
MACDFIX,0.01003094
CMO,0.009923087
ADX,0.009838611
HT_DCPERIOD,0.009745935
MOM,0.009566074
LINEARREG_INTERCEPT,0.009469285
MACD,0.009404944
SAREXT,0.0092145745
BB_UPPER,0.009165937
Open,0.008937575
MACD_signal,0.008422486
ADXR,0.00829945
HT_PHASOR_inphase,0.008025463
STOCHRSI_fastd,0.0077640116
TRIMA,0.0076074554
BOP,0.0075503425
ATR,0.007490488
Close,0.0074003544
BB_LOWER,0.0073163146
MACD_hist,0.007231285
TRIX,0.0070972103
RSI,0.0068406267
APO,0.0068271286
BB_MIDDLE,0.006797439
HT_PHASOR_quadrature,0.006601253
MACDEXT_hist,0.0064516305
MINUS_DI,0.0064016306
MACDFIX_hist,0.006323416
VAR,0.006315572
LINEARREG_ANGLE,0.0058687236
SAR,0.005844449
LINEARREG,0.005646129
AROONOSC,0.0055036503
PPO,0.00522788
HT_SINE_leadsine,0.00516988
FAMA,0.00510292
CORREL,0.0049871597
TYPPRICE,0.004142289
STOCHF_fastd,0.003973956
HT_TRENDMODE,0.0038422497
ROCR100,0.0
MACDFIX_signal,0.0
MACDEXT,0.0
WMA,0.0
WCLPRICE,0.0
DEMA_Trend,0.0
