,importance
BOP,0.03012479
TRIX,0.02348494
STOCHF_fastk,0.022886932
PPO,0.021041438
Change,0.020384133
WILLR,0.020026658
MINUS_DM,0.019775478
VAR,0.018042892
TRANGE,0.017942185
STOCH_slowk,0.017373016
ULTOSC,0.017242653
ROCR,0.016513335
ADOSC,0.016418971
TRIMA,0.016335562
WCLPRICE,0.016139494
MACD,0.01604662
MINUS_DI,0.015335858
PATTERN_SUM,0.015158007
MACDFIX,0.0151238
LINEARREG,0.014845997
PLUS_DM,0.014677897
PLUS_DI,0.014671052
CORREL,0.014324997
AD,0.01386789
HT_DCPERIOD,0.013651628
MACDFIX_hist,0.012465367
MACDEXT_signal,0.01245679
MEDPRICE,0.01242396
APO,0.012125514
STOCHRSI_fastd,0.012113036
LINEARREG_ANGLE,0.012097543
BETA,0.011961381
DX,0.011942117
DEMA,0.011791145
HT_PHASOR_quadrature,0.011768086
FAMA,0.011638451
STOCH_slowd,0.011565673
CCI,0.011468832
TSF,0.011421146
MACD_signal,0.011386467
HT_SINE_sine,0.0110158855
ATR,0.010602623
STOCHRSI_fastk,0.010505431
ADXR,0.010382953
AVGPRICE,0.0103264
NATR,0.010143144
HT_SINE_leadsine,0.010062358
HT_TRENDLINE,0.010007577
OBV,0.009989912
BB_MIDDLE,0.009969887
LINEARREG_SLOPE,0.009941671
TEMA,0.009829917
ROC,0.009279695
HT_DCPHASE,0.009054815
HT_PHASOR_inphase,0.00902449
AROONOSC,0.008822492
MACD_hist,0.00871091
MFI,0.008684615
MACDFIX_signal,0.00851553
MACDEXT_hist,0.008459784
STDDEV,0.008296197
ADX,0.008016355
SAR,0.007964925
BB_LOWER,0.007874646
LINEARREG_INTERCEPT,0.007679964
EFS Volume,0.007671782
Wave,0.0072515965
MACDEXT,0.0069440156
MOM,0.0066421
CMO,0.0066336845
MAMA,0.006604513
SAREXT,0.00644042
MAVP,0.006265531
MIDPRICE,0.005953244
EMA,0.005919051
AROON_down,0.005780772
HT_TRENDMODE,0.0056052217
Low,0.005450254
RSI,0.0054453346
BB_UPPER,0.0053002387
EFP Volume,0.005257541
Volume,0.0051840125
Prev. Day Open Interest,0.0051237075
STOCHF_fastd,0.0047708303
MA,0.0046438673
AROON_up,0.0041165287
T3,0.003548506
KAMA,0.0033722492
ROCP,0.0030941567
TYPPRICE,0.00302352
Open,0.0028415401
High,0.0024444528
MIDPOINT,0.0020473779
Close,0.0018806724
WMA,0.0015193399
ROCR100,0.0
SMA,0.0
Previous Day Open Interest,0.0
Last,0.0
Block Volume,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_CONSTRAINING,0.0
