,importance
Change,0.060507327
BOP,0.023722157
KAMA,0.021164684
NATR,0.020050013
MACDFIX_hist,0.017823737
MAVP,0.016944228
ROC,0.015598757
ATR,0.015432424
MA,0.0152253965
High,0.015167303
MEDPRICE,0.014684294
SAREXT,0.014292756
LINEARREG_INTERCEPT,0.014272102
TRANGE,0.014261537
PPO,0.013906427
MACD,0.0136454785
ADOSC,0.0136418985
PLUS_DM,0.0136253275
BB_UPPER,0.013570746
MINUS_DI,0.013343311
MOM,0.0131890755
MACD_hist,0.013094041
MAMA,0.013052956
PLUS_DI,0.0130452495
STOCHRSI_fastd,0.012939232
Low,0.012818196
SAR,0.012743176
LINEARREG_ANGLE,0.012470547
BB_LOWER,0.012456428
CCI,0.012411776
Close,0.012305546
TRIMA,0.012300253
LINEARREG,0.01218381
HT_TRENDLINE,0.012123381
STOCH_slowk,0.012042049
APO,0.01201431
MINUS_DM,0.011989178
ULTOSC,0.011920249
BB_MIDDLE,0.011836231
Volume,0.01179587
STOCHRSI_fastk,0.011771732
VAR,0.011714285
AROON_down,0.011701088
MACDFIX_signal,0.011690405
AD,0.011600556
STOCHF_fastk,0.011453058
Prev. Day Open Interest,0.011402714
STDDEV,0.0114016505
OBV,0.011370552
MACD_signal,0.011232375
HT_PHASOR_inphase,0.0107146315
CMO,0.0106329415
STOCH_slowd,0.010612818
AROON_up,0.010486235
Open,0.010440366
ADXR,0.010407691
MACDEXT_signal,0.010248033
EFP Volume,0.010226228
DX,0.010079969
HT_SINE_leadsine,0.009978261
ADX,0.00995426
HT_DCPHASE,0.00976537
MFI,0.009729634
MIDPOINT,0.009729449
HT_DCPERIOD,0.009623739
TRIX,0.009620293
TSF,0.009581408
CORREL,0.00939537
BETA,0.009270132
TEMA,0.0091773635
MACDEXT_hist,0.009072636
EMA,0.008853238
EFS Volume,0.008701567
HT_SINE_sine,0.008511479
Wave,0.008271149
AROONOSC,0.008246828
HT_PHASOR_quadrature,0.008193924
RSI,0.00797746
AVGPRICE,0.0075476873
Last,0.0
Block Volume,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_NEGATIVE,0.0
LINEARREG_SLOPE,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
DEMA_Trend,0.0
DEMA,0.0
WCLPRICE,0.0
WILLR,0.0
MACDEXT,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
STOCHF_fastd,0.0
WMA,0.0
T3,0.0
TYPPRICE,0.0
SMA,0.0
MIDPRICE,0.0
FAMA,0.0
MACDFIX,0.0
HT_TRENDMODE,0.0
Previous Day Open Interest,0.0
SENTIMENT_CONSTRAINING,0.0
