,importance
EMA,0.09876646
T3,0.036448505
MACDEXT_hist,0.035973527
BB_UPPER,0.03504575
MOM,0.03180551
Low,0.028892443
MACDEXT_signal,0.021768145
TRIX,0.019769847
BB_LOWER,0.018924873
TSF,0.017253915
STOCH_slowd,0.016441317
HT_PHASOR_quadrature,0.016339991
Change,0.01624843
LINEARREG_INTERCEPT,0.01547417
TRANGE,0.014928614
Volume,0.014764014
TRIMA,0.014544762
DEMA,0.014449093
Close,0.013767959
PLUS_DM,0.0134857735
ADX,0.0128227165
MIDPOINT,0.01227168
AD,0.012247211
Previous Day Open Interest,0.011744845
HT_PHASOR_inphase,0.011396377
SAR,0.011164813
HT_DCPERIOD,0.011143612
MACD_hist,0.010892452
BOP,0.010834606
STDDEV,0.010820872
SMA,0.010778532
DX,0.010718903
SAREXT,0.010629966
LINEARREG,0.010571462
AROONOSC,0.01044709
HT_DCPHASE,0.010235945
BETA,0.010172901
CORREL,0.010170901
TEMA,0.01011859
MACD_signal,0.010050959
CCI,0.009864672
ADXR,0.009844057
APO,0.009661861
OBV,0.009515507
MACD,0.009502838
STOCH_slowk,0.009286146
VAR,0.00918325
HT_SINE_sine,0.009135108
ATR,0.009133791
MACDFIX,0.009092121
MFI,0.009034332
MIDPRICE,0.008957091
STOCHRSI_fastd,0.008892545
ADOSC,0.0087400405
LINEARREG_ANGLE,0.008532085
MINUS_DI,0.008522622
ULTOSC,0.008361574
ROC,0.008281955
Open,0.008237668
PPO,0.008225783
NATR,0.008058617
KAMA,0.007908763
MAMA,0.007850634
CMO,0.007247917
PLUS_DI,0.0071968446
WCLPRICE,0.007087346
STOCHF_fastk,0.0070807203
High,0.006689051
HT_SINE_leadsine,0.0064987764
AVGPRICE,0.00630241
MINUS_DM,0.0062543834
STOCHRSI_fastk,0.0058777984
MACDEXT,0.0057902113
AROON_up,0.005301388
STOCHF_fastd,0.005289101
MACDFIX_hist,0.005233411
ROCP,0.0
TYPPRICE,0.0
Last,0.0
HT_TRENDMODE,0.0
BB_MIDDLE,0.0
WILLR,0.0
HT_TRENDLINE,0.0
MEDPRICE,0.0
RSI,0.0
MA,0.0
ROCR100,0.0
LINEARREG_SLOPE,0.0
ROCR,0.0
FAMA,0.0
MAVP,0.0
WMA,0.0
AROON_down,0.0
MACDFIX_signal,0.0
DEMA_Trend,0.0
