,importance
Change,0.047639478
MAMA,0.037544686
BOP,0.033718094
Close,0.02847648
WILLR,0.02171102
EFP Volume,0.021482844
AD,0.020913169
ADX,0.020228276
BB_UPPER,0.020197034
ROC,0.018349556
STOCH_slowd,0.017144524
PLUS_DI,0.016824583
STOCHRSI_fastk,0.016045079
MIDPOINT,0.01601144
ULTOSC,0.014829224
Low,0.014775961
CCI,0.0146676125
PPO,0.014264315
HT_SINE_leadsine,0.014130562
TRANGE,0.013577815
MACDEXT_signal,0.013545664
SAR,0.01328433
STOCH_slowk,0.013195813
MACDEXT_hist,0.013185893
APO,0.013125281
OBV,0.01272277
HT_PHASOR_inphase,0.012530781
TEMA,0.012300236
STOCHRSI_fastd,0.012059884
RSI,0.012042148
Open,0.012018537
AROONOSC,0.011832685
Prev. Day Open Interest,0.011773747
STOCHF_fastk,0.011732431
BB_MIDDLE,0.011553881
High,0.011514593
WCLPRICE,0.011513129
MFI,0.011334862
MACDFIX_hist,0.01130308
BETA,0.011266151
HT_SINE_sine,0.011236838
Wave,0.011064225
VAR,0.0110177295
LINEARREG_ANGLE,0.010970332
MOM,0.010866668
HT_PHASOR_quadrature,0.010064413
STDDEV,0.010052623
CORREL,0.009828735
TRIMA,0.00974444
ATR,0.009734323
MACD,0.009721627
BB_LOWER,0.009506245
ADOSC,0.009384941
MINUS_DI,0.009297914
HT_DCPERIOD,0.0092970105
Volume,0.009263974
PLUS_DM,0.009244326
SAREXT,0.00893616
MACD_hist,0.008906471
AVGPRICE,0.008859005
MAVP,0.008843834
AROON_up,0.008775589
AROON_down,0.008522146
DX,0.008493969
EFS Volume,0.008396979
TRIX,0.008377689
HT_DCPHASE,0.008219104
LINEARREG_INTERCEPT,0.008212846
ADXR,0.008168581
EMA,0.008134201
TSF,0.008061067
MACD_signal,0.0072604315
MINUS_DM,0.0070690024
NATR,0.006209149
MACDFIX,0.0061901477
MACDFIX_signal,0.0060470826
LINEARREG_SLOPE,0.005926907
CMO,0.005725618
SMA,0.0
DEMA_Trend,0.0
ROCR,0.0
ROCP,0.0
MACDEXT,0.0
SENTIMENT_NEGATIVE,0.0
LINEARREG,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Block Volume,0.0
Previous Day Open Interest,0.0
Last,0.0
T3,0.0
DEMA,0.0
TYPPRICE,0.0
MEDPRICE,0.0
ROCR100,0.0
HT_TRENDMODE,0.0
HT_TRENDLINE,0.0
KAMA,0.0
MA,0.0
STOCHF_fastd,0.0
FAMA,0.0
WMA,0.0
MIDPRICE,0.0
SENTIMENT_CONSTRAINING,0.0
