,importance
ROCP,0.112465665
BB_MIDDLE,0.06722272
HT_TRENDLINE,0.06564811
Close,0.05853347
BB_LOWER,0.05149309
ADX,0.032687448
CORREL,0.028510068
STOCH_slowd,0.026322976
SAR,0.025092231
VAR,0.022817971
ADXR,0.0226918
CCI,0.022515291
High,0.02097822
BB_UPPER,0.020972416
ULTOSC,0.019725893
AROONOSC,0.018716987
BOP,0.016407376
CMO,0.01617637
AROON_up,0.014349369
HT_SINE_leadsine,0.014336042
STOCH_slowk,0.013127183
Open,0.012614291
STDDEV,0.012424835
MACD,0.01241103
APO,0.011571381
MAVP,0.011083561
MINUS_DM,0.010671052
MACDEXT_hist,0.010290951
MACD_hist,0.009603726
PPO,0.009235572
HT_SINE_sine,0.009113215
TEMA,0.008859483
MACDFIX_hist,0.008494091
HT_DCPHASE,0.008328553
PLUS_DI,0.008117049
LINEARREG_ANGLE,0.008097903
AROON_down,0.008013577
TRANGE,0.0075337593
MOM,0.0075304545
DEMA,0.007346306
STOCHF_fastk,0.0068691615
MINUS_DI,0.006819058
SAREXT,0.0064904164
T3,0.00588053
PLUS_DM,0.005814018
STOCHRSI_fastd,0.0057444726
ROC,0.005701857
MACD_signal,0.0056923097
HT_DCPERIOD,0.005667073
EMA,0.0054557
MACDFIX_signal,0.0054164277
STOCHRSI_fastk,0.0050920243
HT_PHASOR_inphase,0.0048915953
KAMA,0.004804891
Low,0.0047739404
MIDPOINT,0.0044934824
DX,0.004327631
HT_PHASOR_quadrature,0.0040388526
MACDEXT_signal,0.0036593133
TRIX,0.0036375034
BETA,0.0033153603
SMA,0.00321112
LINEARREG_SLOPE,0.0031007538
ROCR,0.0028338712
MACDEXT,0.0028251498
ATR,0.002682568
LINEARREG_INTERCEPT,0.0023255106
MEDPRICE,0.0023039791
LINEARREG,0.0
WCLPRICE,0.0
TYPPRICE,0.0
Wave,0.0
TSF,0.0
Change,0.0
Volume,0.0
HT_TRENDMODE,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
AVGPRICE,0.0
ADOSC,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
TRIMA,0.0
MACDFIX,0.0
MFI,0.0
MIDPRICE,0.0
FAMA,0.0
MAMA,0.0
MA,0.0
ROCR100,0.0
RSI,0.0
Previous Day Open Interest,0.0
STOCHF_fastd,0.0
Last,0.0
WILLR,0.0
AD,0.0
WMA,0.0
OBV,0.0
NATR,0.0
Block Volume,0.0
EFS Volume,0.0
SENTIMENT_CONSTRAINING,0.0
