,importance
ULTOSC,0.038469266
AROON_up,0.03321601
AROON_down,0.027655194
STOCHF_fastk,0.023935426
T3,0.02264909
RSI,0.022429667
DEMA,0.022114502
HT_TRENDLINE,0.021136843
EMA,0.020788707
TRANGE,0.019374741
SAR,0.018711124
MIDPOINT,0.018666819
BB_MIDDLE,0.018350339
FAMA,0.018035362
PPO,0.017435856
MAVP,0.017046094
PLUS_DI,0.017001519
DX,0.01661216
WILLR,0.016406301
Close,0.016369537
CCI,0.015601031
MACD_hist,0.015446393
MACD_signal,0.014253503
STOCHRSI_fastk,0.014069988
LINEARREG,0.013985957
MOM,0.013866229
LINEARREG_SLOPE,0.01366748
MACD,0.0136622945
KAMA,0.01358859
TEMA,0.01350498
MINUS_DI,0.013439101
PLUS_DM,0.013019701
MINUS_DM,0.012849977
LINEARREG_ANGLE,0.012674937
MACDFIX_hist,0.012553675
VAR,0.012326158
BB_UPPER,0.011971291
ROCP,0.011821859
MACDFIX_signal,0.011769708
ATR,0.011607751
ROC,0.011519709
TRIMA,0.011489422
HT_DCPHASE,0.011395203
TRIX,0.011329899
HT_DCPERIOD,0.01112023
BB_LOWER,0.011048966
MACDEXT_hist,0.010677144
HT_PHASOR_quadrature,0.010499568
SAREXT,0.010494037
STDDEV,0.010492201
MACDEXT,0.010353269
TSF,0.010286522
NATR,0.010264681
CMO,0.009762994
MACDEXT_signal,0.00939964
APO,0.009260671
HT_PHASOR_inphase,0.009186715
STOCHRSI_fastd,0.009152866
CORREL,0.009035447
ROCR,0.009002134
LINEARREG_INTERCEPT,0.008833407
STOCH_slowk,0.008809753
BOP,0.00873432
Low,0.0083791865
BETA,0.0077491477
Open,0.007439135
HT_SINE_sine,0.007297036
High,0.0070650335
STOCHF_fastd,0.006981254
ADX,0.0069608823
STOCH_slowd,0.0063880254
HT_SINE_leadsine,0.005036068
AROONOSC,0.0044308715
MIDPRICE,0.0041742423
ADXR,0.003865089
AVGPRICE,0.0
MEDPRICE,0.0
ROCR100,0.0
TYPPRICE,0.0
MACDFIX,0.0
WMA,0.0
SMA,0.0
WCLPRICE,0.0
MAMA,0.0
HT_TRENDMODE,0.0
MA,0.0
DEMA_Trend,0.0
