,importance
Open,0.07642702
BB_LOWER,0.06018578
MIDPRICE,0.048150986
Close,0.047890425
KAMA,0.04337983
ADX,0.04272959
DX,0.037390444
VAR,0.029410018
BB_MIDDLE,0.02879696
HT_DCPERIOD,0.027905757
ROCR,0.026248256
High,0.02576402
HT_SINE_sine,0.021682035
MACDFIX_signal,0.020201435
Low,0.019007323
MEDPRICE,0.01838541
STOCHRSI_fastd,0.01767178
MINUS_DI,0.016748294
SAREXT,0.015136077
TRANGE,0.013963228
HT_PHASOR_quadrature,0.013891653
PLUS_DI,0.012303729
MACDFIX,0.012210914
CMO,0.011789293
BETA,0.011030552
LINEARREG_ANGLE,0.010511362
ROC,0.009842914
STOCHRSI_fastk,0.009218548
LINEARREG_SLOPE,0.007734174
HT_PHASOR_inphase,0.0077293953
PLUS_DM,0.0077263713
MAMA,0.0077059655
ULTOSC,0.0075330017
TRIMA,0.007459112
CORREL,0.007383673
MACDEXT_hist,0.007260781
STOCHF_fastk,0.0072267693
WMA,0.007130057
MACD,0.0068713883
AROON_down,0.0068606297
ROCP,0.0068394653
T3,0.006833322
BB_UPPER,0.0066598337
STDDEV,0.0066140485
ATR,0.0066030477
RSI,0.0065840445
DEMA,0.006524144
MACDEXT_signal,0.006513436
TRIX,0.0064036823
AROONOSC,0.0062813507
CCI,0.006106968
STOCH_slowd,0.0060290233
APO,0.006025614
SAR,0.005978075
MOM,0.005871381
HT_DCPHASE,0.0058189468
AROON_up,0.0057148095
MACDEXT,0.0056988
HT_TRENDLINE,0.0056442814
WILLR,0.0055701
ADXR,0.0055015017
MACD_hist,0.0053555747
FAMA,0.0052669244
MACDFIX_hist,0.005264392
MAVP,0.005260544
STOCH_slowk,0.0050916327
MINUS_DM,0.004937887
EMA,0.0048770653
TSF,0.0048253285
NATR,0.004571578
LINEARREG,0.004331506
HT_SINE_leadsine,0.0039068116
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
Volume,0.0
WCLPRICE,0.0
SENTIMENT_UNCERTAINTY,0.0
AVGPRICE,0.0
SENTIMENT_LITIGIOUS,0.0
TYPPRICE,0.0
SENTIMENT_STRONG_MODAL,0.0
LINEARREG_INTERCEPT,0.0
SENTIMENT_WEAK_MODAL,0.0
Change,0.0
SENTIMENT_POSITIVE,0.0
ROCR100,0.0
HT_TRENDMODE,0.0
MFI,0.0
MA,0.0
MIDPOINT,0.0
SMA,0.0
TEMA,0.0
BOP,0.0
Previous Day Open Interest,0.0
MACD_signal,0.0
Last,0.0
Block Volume,0.0
Wave,0.0
PPO,0.0
EFS Volume,0.0
STOCHF_fastd,0.0
EFP Volume,0.0
AD,0.0
ADOSC,0.0
OBV,0.0
Prev. Day Open Interest,0.0
SENTIMENT_CONSTRAINING,0.0
