,importance
HT_PHASOR_quadrature,0.12854728
ULTOSC,0.08463153
ROC,0.03032657
STOCHF_fastk,0.027488206
AROON_up,0.024745697
APO,0.023966165
VAR,0.022426907
TRANGE,0.021812355
MACDFIX_hist,0.021461928
PLUS_DI,0.021149075
MAMA,0.020291056
AROON_down,0.02009504
SMA,0.01687886
STOCH_slowk,0.01675309
MACDEXT_hist,0.01599496
TRIX,0.015267289
CORREL,0.01377696
ATR,0.01355331
NATR,0.013442204
STOCHRSI_fastd,0.013285266
MACD,0.012633813
SAREXT,0.012513416
STOCHRSI_fastk,0.012298707
FAMA,0.01228631
MACDEXT,0.012149655
MINUS_DI,0.0115777105
AVGPRICE,0.01154343
MINUS_DM,0.010972551
WMA,0.01091201
CMO,0.010802224
MIDPOINT,0.0106232995
CCI,0.010306718
TSF,0.009770394
MACD_signal,0.009740751
MA,0.009734503
MOM,0.009550519
BOP,0.009478779
STDDEV,0.009474164
HT_DCPHASE,0.00947248
STOCH_slowd,0.009215016
BETA,0.008852214
Open,0.008664696
MACD_hist,0.008400766
HT_TRENDLINE,0.007918039
MEDPRICE,0.0078479545
DX,0.007645624
HT_DCPERIOD,0.0076434617
PLUS_DM,0.007273643
HT_PHASOR_inphase,0.0071830535
MACDEXT_signal,0.007180651
PPO,0.006771595
High,0.0067204568
SAR,0.006601919
BB_LOWER,0.0065736603
ADX,0.0062580965
Low,0.0061151846
HT_SINE_leadsine,0.006103313
TEMA,0.0058996226
KAMA,0.005883978
MIDPRICE,0.0056958683
LINEARREG,0.0055824807
LINEARREG_ANGLE,0.005419838
ADXR,0.0053798347
T3,0.0050688023
EMA,0.0050490643
AROONOSC,0.0050369264
WILLR,0.0049023414
MACDFIX_signal,0.0048783557
TRIMA,0.004856961
BB_MIDDLE,0.0047775586
HT_SINE_sine,0.0046807006
LINEARREG_INTERCEPT,0.0045855525
MACDFIX,0.004212299
MAVP,0.0037122027
BB_UPPER,0.0036074892
LINEARREG_SLOPE,0.003220583
RSI,0.002844998
Close,0.0
HT_TRENDMODE,0.0
ROCR100,0.0
STOCHF_fastd,0.0
DEMA,0.0
WCLPRICE,0.0
TYPPRICE,0.0
ROCP,0.0
ROCR,0.0
DEMA_Trend,0.0
