,importance
BOP,0.24967466
BB_LOWER,0.051121578
MACD_signal,0.032225486
PLUS_DI,0.031618763
MIDPOINT,0.028693719
ATR,0.023988826
MACDFIX,0.02260593
VAR,0.022371212
ULTOSC,0.021708066
APO,0.020172888
STOCHF_fastk,0.019916125
ROCP,0.019203002
MACDEXT_signal,0.01834718
PPO,0.016856205
TEMA,0.01508203
TRANGE,0.014513262
CMO,0.01372977
LINEARREG_ANGLE,0.012787842
RSI,0.011891139
WILLR,0.011737765
MACD_hist,0.01030053
TRIX,0.010002789
PATTERN_SUM,0.008971552
STOCH_slowd,0.008970572
HT_SINE_leadsine,0.0088910805
ADXR,0.0085571725
High,0.008554558
MINUS_DM,0.008535649
PLUS_DM,0.008111541
STOCH_slowk,0.0080192145
HT_DCPERIOD,0.008010408
MA,0.007825464
LINEARREG_INTERCEPT,0.0074564316
HT_PHASOR_quadrature,0.007421851
MACDEXT,0.007378913
T3,0.007359632
CCI,0.0073541435
LINEARREG,0.007086521
MACD,0.0070149954
HT_TRENDMODE,0.0064631314
MINUS_DI,0.006414893
MAMA,0.006265971
BB_MIDDLE,0.0062523745
FAMA,0.005925454
NATR,0.0058990503
HT_SINE_sine,0.005791478
AROONOSC,0.0055693095
SAREXT,0.005438359
Close,0.00535033
MACDEXT_hist,0.0052426746
AROON_up,0.005092586
TSF,0.005072979
SAR,0.0050544683
AROON_down,0.0050543426
HT_PHASOR_inphase,0.0049192756
BETA,0.004891925
KAMA,0.004841693
CORREL,0.0047865813
MAVP,0.004717912
STDDEV,0.004630164
ADX,0.0044739493
DX,0.004238471
MOM,0.0042376723
Open,0.0042048926
LINEARREG_SLOPE,0.0041523348
ROC,0.004148589
STOCHRSI_fastd,0.0038737957
MACDFIX_hist,0.0038257595
ROCR,0.0038249937
WMA,0.003803783
HT_DCPHASE,0.003725063
STOCHRSI_fastk,0.0035838468
BB_UPPER,0.0034973293
TRIMA,0.0030483939
DEMA,0.0028714843
MACDFIX_signal,0.0026776828
HT_TRENDLINE,0.002412938
Low,0.0021389876
STOCHF_fastd,0.0018062817
EMA,0.0018032598
MEDPRICE,0.0017847049
AVGPRICE,0.0017155673
MIDPRICE,0.000363501
TYPPRICE,4.3348933e-05
Volume,0.0
Change,0.0
SENTIMENT_NEGATIVE,0.0
ROCR100,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Wave,0.0
Previous Day Open Interest,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
WCLPRICE,0.0
SMA,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
MFI,0.0
SENTIMENT_CONSTRAINING,0.0
