,importance
ROCP,0.025186194
STOCH_slowd,0.020481132
WMA,0.019789351
PLUS_DI,0.01978275
LINEARREG,0.01951721
ATR,0.018292
STOCHRSI_fastk,0.017510194
STOCHF_fastd,0.016782489
STOCHF_fastk,0.016441645
CCI,0.016031854
AROON_down,0.015915709
ROC,0.015654804
SAR,0.015639022
ULTOSC,0.015523035
DEMA_Trend,0.015172847
MACD,0.015109998
TRANGE,0.015043306
MACD_hist,0.014944461
BB_UPPER,0.01494159
TRIX,0.014890985
MACDFIX,0.013715494
MAVP,0.013447493
CMO,0.013427149
MACDEXT_hist,0.01328756
MINUS_DM,0.01326504
LINEARREG_ANGLE,0.012701378
ADX,0.012590614
HT_DCPERIOD,0.012453623
MIDPRICE,0.012341134
WILLR,0.0122557795
MIDPOINT,0.012137318
VAR,0.01196292
NATR,0.011953721
MACDFIX_signal,0.011947363
MINUS_DI,0.0119142765
AROON_up,0.011893261
KAMA,0.011850936
TRIMA,0.011783468
Low,0.0115648145
PPO,0.011340878
HT_PHASOR_inphase,0.011336039
SAREXT,0.011315269
STDDEV,0.011147269
MACD_signal,0.011115244
MACDEXT,0.0109630255
MA,0.010914067
WCLPRICE,0.010811159
HT_TRENDMODE,0.010714299
AROONOSC,0.010687333
STOCH_slowk,0.010497513
RSI,0.010457307
High,0.010332336
MACDFIX_hist,0.010323882
Close,0.010317613
LINEARREG_INTERCEPT,0.010250635
HT_SINE_leadsine,0.010175039
ADXR,0.010101378
MACDEXT_signal,0.009954292
PLUS_DM,0.009931115
HT_PHASOR_quadrature,0.00986183
MOM,0.0098514985
STOCHRSI_fastd,0.009797638
CORREL,0.009711641
HT_SINE_sine,0.009678252
BB_LOWER,0.009585901
ROCR,0.009532645
APO,0.009494658
HT_DCPHASE,0.0093774
DX,0.0092537375
BETA,0.0091876825
BOP,0.009182276
LINEARREG_SLOPE,0.009054123
Open,0.0085837655
TYPPRICE,0.008224611
FAMA,0.0077836392
MAMA,0.007634876
BB_MIDDLE,0.0076293615
MEDPRICE,0.0076229754
TSF,0.007016392
HT_TRENDLINE,0.0069649247
TEMA,0.006596483
DEMA,0.0061097653
EMA,0.005415531
ROCR100,0.0050187404
Change,0.0
Volume,0.0
SENTIMENT_NEGATIVE,0.0
AD,0.0
SENTIMENT_POSITIVE,0.0
Prev. Day Open Interest,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Wave,0.0
Previous Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
ADOSC,0.0
AVGPRICE,0.0
SMA,0.0
T3,0.0
MFI,0.0
OBV,0.0
SENTIMENT_CONSTRAINING,0.0
