,importance
Open,0.050002337
PLUS_DM,0.03514431
RSI,0.024296196
AROON_up,0.021521857
PPO,0.021480326
CMO,0.017908368
SAREXT,0.017768482
LINEARREG_INTERCEPT,0.017489653
ULTOSC,0.016890252
T3,0.016692141
KAMA,0.016548593
LINEARREG_ANGLE,0.016244117
HT_TRENDLINE,0.015896678
NATR,0.015652528
TRANGE,0.015589143
PLUS_DI,0.015339978
MACDFIX_hist,0.01530582
BB_MIDDLE,0.014668035
APO,0.01456653
MA,0.014420139
MAVP,0.014317224
DX,0.014239355
AROONOSC,0.014096347
ADXR,0.0139596695
MINUS_DM,0.01327338
DEMA,0.0132319145
BB_LOWER,0.012996368
FAMA,0.012735259
HT_PHASOR_quadrature,0.012653734
ATR,0.012455277
BB_UPPER,0.012392277
CCI,0.012122238
STOCHRSI_fastd,0.012068865
MACDEXT_hist,0.011976395
TRIX,0.011940413
TRIMA,0.01187279
WILLR,0.0117772
High,0.011770589
MACDFIX,0.0117417285
STOCH_slowk,0.011706081
MACD_signal,0.011683324
STDDEV,0.0116473595
MACD_hist,0.011502592
Low,0.011397467
ADX,0.011381059
BOP,0.011349565
HT_DCPHASE,0.011253726
SAR,0.011203025
LINEARREG,0.011076626
MINUS_DI,0.01104049
VAR,0.010915786
LINEARREG_SLOPE,0.01084092
HT_PHASOR_inphase,0.01082713
HT_SINE_leadsine,0.0108196605
AROON_down,0.010736986
Close,0.010708249
EMA,0.010629934
MACD,0.010570206
CORREL,0.010510646
HT_SINE_sine,0.010493438
MOM,0.010379532
HT_DCPERIOD,0.010279584
MACDEXT_signal,0.010138093
STOCHF_fastk,0.010118033
STOCH_slowd,0.010020983
STOCHRSI_fastk,0.009945263
PATTERN_SUM,0.009731748
ROC,0.009413758
MIDPRICE,0.009403098
TSF,0.009312233
BETA,0.009232433
ROCP,0.00917671
MACDFIX_signal,0.008075828
MACDEXT,0.007431893
MEDPRICE,0.0
Volume,0.0
Change,0.0
Wave,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
WCLPRICE,0.0
SENTIMENT_WEAK_MODAL,0.0
TYPPRICE,0.0
EFS Volume,0.0
AVGPRICE,0.0
HT_TRENDMODE,0.0
MFI,0.0
WMA,0.0
TEMA,0.0
ROCR,0.0
ROCR100,0.0
SMA,0.0
STOCHF_fastd,0.0
MIDPOINT,0.0
MAMA,0.0
Previous Day Open Interest,0.0
AD,0.0
ADOSC,0.0
OBV,0.0
Last,0.0
Block Volume,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
SENTIMENT_CONSTRAINING,0.0
