,importance
AROON_down,0.04837911
ULTOSC,0.046761587
AROON_up,0.032202996
WILLR,0.028477527
PLUS_DM,0.026259916
DEMA,0.023354203
CCI,0.02326467
TRANGE,0.021263443
STOCH_slowk,0.020836564
PPO,0.020827983
HT_PHASOR_quadrature,0.020213444
NATR,0.01991222
Low,0.019080605
STOCHF_fastk,0.018273737
PLUS_DI,0.017934369
CMO,0.01676648
ADX,0.016346252
Open,0.016037583
MINUS_DM,0.015909415
VAR,0.0149957165
SAR,0.01497638
MINUS_DI,0.014659974
MACD_hist,0.014562792
MACD,0.014320531
HT_DCPHASE,0.014285838
Close,0.013255882
MACDFIX,0.013218105
BB_UPPER,0.012645799
STOCHRSI_fastd,0.01251053
MACDEXT_hist,0.012479872
High,0.011830822
HT_TRENDLINE,0.011566301
KAMA,0.0109697385
FAMA,0.010881212
HT_PHASOR_inphase,0.010540714
LINEARREG_ANGLE,0.010512198
RSI,0.010157214
MAMA,0.01009033
MEDPRICE,0.009695543
LINEARREG_SLOPE,0.009653903
LINEARREG,0.009566442
MACDFIX_hist,0.009507756
LINEARREG_INTERCEPT,0.009504988
STOCHF_fastd,0.0090595875
HT_SINE_sine,0.009008158
MACDEXT,0.008864513
APO,0.008833834
MIDPOINT,0.008726091
TRIMA,0.008718473
ATR,0.008591539
MOM,0.008483532
MA,0.008175991
ROCP,0.008173665
ROC,0.008095823
BOP,0.008018934
CORREL,0.007973821
BETA,0.007926224
MAVP,0.007895163
ADXR,0.0077930456
STOCH_slowd,0.0077062566
SAREXT,0.0076245302
TRIX,0.007504118
HT_SINE_leadsine,0.0074058655
AVGPRICE,0.007389607
MACDEXT_signal,0.007149152
HT_DCPERIOD,0.006777778
SMA,0.0067285425
DX,0.0064685014
BB_LOWER,0.006467762
MACD_signal,0.0064636907
EMA,0.006149113
STDDEV,0.006106275
STOCHRSI_fastk,0.0059456667
BB_MIDDLE,0.0056811683
AROONOSC,0.005380683
MACDFIX_signal,0.0052983384
TEMA,0.005197719
T3,0.005166536
MIDPRICE,0.0045595984
DEMA_Trend,0.0
HT_TRENDMODE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_NEGATIVE,0.0
WCLPRICE,0.0
WMA,0.0
ROCR,0.0
ROCR100,0.0
TYPPRICE,0.0
TSF,0.0
SENTIMENT_CONSTRAINING,0.0
