,importance
Close,0.02401771
TSF,0.023992002
MINUS_DM,0.021959268
MAMA,0.021162597
ULTOSC,0.019713297
MINUS_DI,0.019489974
MAVP,0.018184386
PLUS_DM,0.017316177
Low,0.017162943
AVGPRICE,0.016257497
LINEARREG_ANGLE,0.015721828
LINEARREG,0.015246655
High,0.01510117
AROON_up,0.014921676
DEMA_Trend,0.014489723
ADX,0.014481186
MIDPOINT,0.013709096
TRIMA,0.013684155
AROON_down,0.013502398
TYPPRICE,0.013362061
MACD_hist,0.0131423995
CORREL,0.012744015
ADXR,0.012673071
TEMA,0.012652411
CCI,0.012587948
LINEARREG_INTERCEPT,0.012554972
APO,0.01247205
MOM,0.012201505
STOCH_slowk,0.012197323
MACDEXT_hist,0.012160044
DX,0.01215737
AROONOSC,0.012031989
TRANGE,0.011787587
STOCH_slowd,0.011689407
Open,0.01150552
HT_SINE_sine,0.011261665
STOCHF_fastk,0.011249886
PLUS_DI,0.011135985
MACD_signal,0.011111977
MACDFIX_hist,0.011076292
WCLPRICE,0.011062028
MACDFIX,0.011027563
ATR,0.01092662
ROCP,0.01089298
MACD,0.01084297
STOCHRSI_fastk,0.010808448
T3,0.01078705
DEMA,0.010633236
WILLR,0.010455396
HT_SINE_leadsine,0.01034926
CMO,0.010215603
STOCHF_fastd,0.010153395
PPO,0.01009265
RSI,0.010082325
SAREXT,0.009986752
WMA,0.009907316
ROC,0.009696721
HT_DCPERIOD,0.009567949
SAR,0.009545564
STDDEV,0.009534144
KAMA,0.009527067
HT_PHASOR_inphase,0.009502728
TRIX,0.009384841
MACDEXT,0.009360056
MIDPRICE,0.009335983
LINEARREG_SLOPE,0.009302713
MACDEXT_signal,0.009263106
STOCHRSI_fastd,0.009225021
BB_MIDDLE,0.009180843
HT_PHASOR_quadrature,0.009093561
HT_TRENDLINE,0.009045023
BB_UPPER,0.008995636
MACDFIX_signal,0.008969577
BETA,0.008867688
MEDPRICE,0.008817285
BOP,0.00871426
VAR,0.008618321
EMA,0.008345354
NATR,0.00817804
BB_LOWER,0.008078564
HT_TRENDMODE,0.008071387
HT_DCPHASE,0.007889239
MA,0.0074149226
ROCR100,0.0063815373
SENTIMENT_POSITIVE,0.0
Wave,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_STRONG_MODAL,0.0
Volume,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_WEAK_MODAL,0.0
Change,0.0
SMA,0.0
FAMA,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
AD,0.0
Block Volume,0.0
Last,0.0
MFI,0.0
ROCR,0.0
Previous Day Open Interest,0.0
OBV,0.0
ADOSC,0.0
SENTIMENT_CONSTRAINING,0.0
