,importance
BB_UPPER,0.2811782
HT_DCPHASE,0.23614699
ROC,0.12249474
BETA,0.08406706
MOM,0.06200436
Open,0.054829944
SAREXT,0.041770995
Close,0.03686318
ADXR,0.026405443
TRIX,0.018357832
MACDFIX_hist,0.007911008
HT_SINE_sine,0.0064078127
HT_DCPERIOD,0.005082924
PPO,0.00417906
BB_LOWER,0.0034872924
STDDEV,0.0018667897
APO,0.001461358
High,0.0013607742
MACDEXT_hist,0.0011657212
AROONOSC,0.0011525259
ATR,0.00096024765
CMO,0.0003476452
ROCP,0.00032114566
MACD_hist,0.00017691219
VAR,0.0
Low,0.0
AROON_up,0.0
AROON_down,0.0
BB_MIDDLE,0.0
ADX,0.0
TEMA,0.0
DX,0.0
DEMA,0.0
LINEARREG_SLOPE,0.0
LINEARREG_INTERCEPT,0.0
LINEARREG_ANGLE,0.0
LINEARREG,0.0
TSF,0.0
MINUS_DI,0.0
WCLPRICE,0.0
PLUS_DI,0.0
RSI,0.0
STOCH_slowk,0.0
STOCH_slowd,0.0
STOCHF_fastk,0.0
STOCHF_fastd,0.0
STOCHRSI_fastk,0.0
STOCHRSI_fastd,0.0
ULTOSC,0.0
WILLR,0.0
BOP,0.0
HT_TRENDMODE,0.0
CORREL,0.0
DEMA_Trend,0.0
EMA,0.0
MEDPRICE,0.0
TYPPRICE,0.0
TRIMA,0.0
WMA,0.0
T3,0.0
CCI,0.0
MACD,0.0
MACD_signal,0.0
MACDEXT,0.0
MACDEXT_signal,0.0
SMA,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
SAR,0.0
MINUS_DM,0.0
MIDPRICE,0.0
PLUS_DM,0.0
MIDPOINT,0.0
MAVP,0.0
ROCR,0.0
ROCR100,0.0
FAMA,0.0
MAMA,0.0
NATR,0.0
TRANGE,0.0
MA,0.0
KAMA,0.0
HT_PHASOR_inphase,0.0
HT_PHASOR_quadrature,0.0
HT_TRENDLINE,0.0
HT_SINE_leadsine,0.0
AVGPRICE,0.0
SENTIMENT_NEGATIVE,0.0
