,importance
TYPPRICE,0.043401327
VAR,0.040740393
MAVP,0.03789948
MOM,0.029580759
LINEARREG_ANGLE,0.028366173
MACD,0.028068503
TEMA,0.024646958
TRANGE,0.020300597
SAREXT,0.020195391
MACD_hist,0.019985158
TRIX,0.018908486
ADXR,0.018160373
CMO,0.017241634
BB_MIDDLE,0.016577806
HT_DCPHASE,0.016090143
MA,0.01579815
Low,0.015395033
WILLR,0.01520037
STOCH_slowd,0.015057907
AROONOSC,0.014941106
High,0.014936248
STDDEV,0.014782225
MACDFIX,0.014111198
ROC,0.013572468
MINUS_DI,0.013517701
BB_LOWER,0.013463404
AVGPRICE,0.013210857
STOCHF_fastd,0.013106046
PATTERN_SUM,0.013036178
KAMA,0.012829744
STOCHF_fastk,0.012691874
PLUS_DI,0.012544474
MINUS_DM,0.012451452
TRIMA,0.011569142
NATR,0.01141897
MACDEXT_hist,0.011333886
ULTOSC,0.011244313
MACDEXT_signal,0.011143554
EMA,0.010773284
TSF,0.010741951
HT_PHASOR_quadrature,0.010576533
BB_UPPER,0.010533414
APO,0.010420938
Close,0.010196465
HT_PHASOR_inphase,0.009816991
ATR,0.009351081
MACDFIX_signal,0.009116582
MACD_signal,0.008950559
HT_DCPERIOD,0.0088102985
CORREL,0.008658191
STOCH_slowk,0.00851222
CCI,0.008427292
MEDPRICE,0.008393173
MACDEXT,0.008043925
ROCP,0.00800748
BETA,0.007976086
MACDFIX_hist,0.007871743
HT_TRENDLINE,0.007798739
AROON_down,0.0076922816
SAR,0.007517918
LINEARREG_SLOPE,0.0074970336
STOCHRSI_fastd,0.007262624
BOP,0.007171611
ADX,0.006952025
MAMA,0.0069183987
WMA,0.006911347
LINEARREG_INTERCEPT,0.0066961534
Open,0.006668106
STOCHRSI_fastk,0.0066267764
HT_SINE_sine,0.006577864
DEMA,0.006115508
MIDPOINT,0.0059346226
DX,0.005818238
MIDPRICE,0.0057715075
PLUS_DM,0.005755064
HT_SINE_leadsine,0.005392601
PPO,0.005190494
AROON_up,0.0050333515
EFS Volume,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
Wave,0.0
Volume,0.0
Change,0.0
LINEARREG,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Block Volume,0.0
FAMA,0.0
Last,0.0
Previous Day Open Interest,0.0
WCLPRICE,0.0
RSI,0.0
HT_TRENDMODE,0.0
SMA,0.0
T3,0.0
MFI,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
ROCR,0.0
ROCR100,0.0
SENTIMENT_CONSTRAINING,0.0
