,importance
CORREL,0.09788829
ROC,0.068393044
ADXR,0.042317882
SAR,0.032716386
PLUS_DI,0.032226052
HT_SINE_leadsine,0.031690788
VAR,0.029772377
AROONOSC,0.027165364
MACD_hist,0.025284449
ADX,0.022582995
AROON_down,0.022251999
HT_PHASOR_quadrature,0.021961704
TEMA,0.021516725
STOCHF_fastd,0.021415543
AROON_up,0.020894196
STOCH_slowd,0.020769073
High,0.019944571
MINUS_DI,0.019188968
MOM,0.018849486
WILLR,0.01844349
Close,0.018020496
BB_UPPER,0.01795774
LINEARREG,0.017335424
RSI,0.016829016
MINUS_DM,0.014265402
MACDFIX,0.0142595945
MACDFIX_hist,0.0141323935
HT_SINE_sine,0.014024562
BETA,0.013919957
Open,0.013753472
SAREXT,0.013129703
BB_MIDDLE,0.012955336
STOCHRSI_fastd,0.012021652
EMA,0.011989911
DEMA,0.011464539
MACDEXT_hist,0.011203326
KAMA,0.011167731
CMO,0.009447795
Low,0.009119339
ATR,0.009016466
PLUS_DM,0.008899491
MACD,0.008196941
LINEARREG_SLOPE,0.0078163715
DX,0.007627542
LINEARREG_ANGLE,0.007407012
BOP,0.0073119793
LINEARREG_INTERCEPT,0.0072406908
BB_LOWER,0.0071746674
CCI,0.0069575333
HT_TRENDLINE,0.006579649
MACDFIX_signal,0.006102158
PPO,0.005682384
ULTOSC,0.0051227235
HT_DCPHASE,0.004322528
MACD_signal,0.0042024376
T3,0.004107946
HT_PHASOR_inphase,0.003603348
STDDEV,0.0032664961
NATR,0.0027027023
MACDEXT_signal,0.0022543636
TRIX,0.0021337394
DEMA_Trend,0.0
EFS Volume,0.0
SENTIMENT_WEAK_MODAL,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
HT_TRENDMODE,0.0
AVGPRICE,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
TSF,0.0
TYPPRICE,0.0
WCLPRICE,0.0
Wave,0.0
Change,0.0
SENTIMENT_UNCERTAINTY,0.0
Volume,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
MEDPRICE,0.0
STOCHRSI_fastk,0.0
HT_DCPERIOD,0.0
TRANGE,0.0
WMA,0.0
SMA,0.0
APO,0.0
MIDPRICE,0.0
MIDPOINT,0.0
MAVP,0.0
FAMA,0.0
MACDEXT,0.0
MAMA,0.0
MA,0.0
MFI,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
STOCH_slowk,0.0
Previous Day Open Interest,0.0
STOCHF_fastk,0.0
Last,0.0
TRIMA,0.0
Block Volume,0.0
AD,0.0
ADOSC,0.0
OBV,0.0
SENTIMENT_CONSTRAINING,0.0
