,importance
MACDFIX,0.05835278
TRIX,0.03036478
ROCP,0.029550964
BB_UPPER,0.029103687
CCI,0.025213875
MACD_hist,0.024252519
TRANGE,0.023572356
DX,0.023170194
BB_MIDDLE,0.02243004
HT_PHASOR_quadrature,0.02132735
MACD,0.021327062
APO,0.021220502
Open,0.020492716
PLUS_DI,0.020340703
ULTOSC,0.01892925
SAR,0.018751046
STOCHF_fastk,0.018501714
T3,0.018498285
MINUS_DM,0.018495606
Close,0.01828858
ADXR,0.018112503
High,0.017674398
CORREL,0.017622264
ROC,0.017064687
MACD_signal,0.01601498
ATR,0.015987037
BETA,0.015308521
BB_LOWER,0.015241963
SAREXT,0.015037471
MINUS_DI,0.015011079
AROON_up,0.014606608
HT_PHASOR_inphase,0.014603961
ADX,0.014601164
MACDEXT_hist,0.014433895
BOP,0.014094332
MACDFIX_hist,0.014032969
PLUS_DM,0.014018048
LINEARREG_ANGLE,0.013733743
STOCH_slowd,0.013566781
LINEARREG_SLOPE,0.013385574
AROON_down,0.013079685
MACDEXT_signal,0.013025812
PPO,0.012279787
HT_DCPHASE,0.011903746
HT_DCPERIOD,0.011485598
HT_SINE_sine,0.011462977
STOCH_slowk,0.0110429535
MOM,0.010989153
STDDEV,0.010965217
STOCHRSI_fastd,0.0108643565
HT_SINE_leadsine,0.010477632
RSI,0.009984237
STOCHRSI_fastk,0.009917936
CMO,0.009585018
EMA,0.008496238
MACDFIX_signal,0.007902095
WILLR,0.0077484236
Low,0.0066782534
MEDPRICE,0.0066021513
FAMA,0.006538882
STOCHF_fastd,0.0064414144
MAMA,0.006192502
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_WEAK_MODAL,0.0
Change,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
HT_TRENDMODE,0.0
AVGPRICE,0.0
LINEARREG_INTERCEPT,0.0
TYPPRICE,0.0
DEMA_Trend,0.0
TSF,0.0
SENTIMENT_POSITIVE,0.0
VAR,0.0
SENTIMENT_NEGATIVE,0.0
Volume,0.0
LINEARREG,0.0
WCLPRICE,0.0
TEMA,0.0
Wave,0.0
DEMA,0.0
WMA,0.0
SMA,0.0
MIDPRICE,0.0
AROONOSC,0.0
MIDPOINT,0.0
MAVP,0.0
MA,0.0
MACDEXT,0.0
KAMA,0.0
MFI,0.0
HT_TRENDLINE,0.0
Previous Day Open Interest,0.0
NATR,0.0
Last,0.0
ROCR,0.0
ROCR100,0.0
Block Volume,0.0
TRIMA,0.0
EFS Volume,0.0
EFP Volume,0.0
AD,0.0
ADOSC,0.0
OBV,0.0
Prev. Day Open Interest,0.0
SENTIMENT_CONSTRAINING,0.0
