,importance
APO,0.11346152
AROON_down,0.10785088
Low,0.10660424
MEDPRICE,0.08441895
VAR,0.066130556
STOCHRSI_fastd,0.06136477
STDDEV,0.056250162
BB_UPPER,0.054455183
TYPPRICE,0.04775069
BB_MIDDLE,0.04565713
Close,0.04294468
Open,0.037597362
KAMA,0.030899946
CCI,0.017844724
STOCHRSI_fastk,0.013304758
High,0.010059418
PLUS_DM,0.010047176
AVGPRICE,0.009861163
MACD_hist,0.008202015
MOM,0.0063554775
LINEARREG,0.0058522294
BETA,0.0052747545
MACDFIX_hist,0.005178883
MIDPRICE,0.0049270294
STOCHF_fastk,0.0048399046
LINEARREG_INTERCEPT,0.004608845
MACDEXT_signal,0.004345299
TRANGE,0.004260062
DX,0.004099617
NATR,0.004075478
ATR,0.004068397
HT_DCPHASE,0.003809215
TSF,0.003679983
BOP,0.0036018805
AROON_up,0.0032688677
BB_LOWER,0.0030486933
AD,0.0
ADOSC,0.0
WILLR,0.0
OBV,0.0
TRIX,0.0
STOCHF_fastd,0.0
STOCH_slowd,0.0
ULTOSC,0.0
HT_SINE_sine,0.0
HT_DCPERIOD,0.0
HT_PHASOR_inphase,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
DEMA_Trend,0.0
LINEARREG_SLOPE,0.0
LINEARREG_ANGLE,0.0
CORREL,0.0
WCLPRICE,0.0
HT_TRENDMODE,0.0
HT_SINE_leadsine,0.0
RSI,0.0
HT_PHASOR_quadrature,0.0
STOCH_slowk,0.0
MINUS_DI,0.0
ROCR100,0.0
DEMA,0.0
SAR,0.0
MIDPOINT,0.0
MAVP,0.0
FAMA,0.0
MAMA,0.0
MA,0.0
HT_TRENDLINE,0.0
EMA,0.0
Previous Day Open Interest,0.0
SMA,0.0
Last,0.0
Block Volume,0.0
EFS Volume,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
Wave,0.0
Change,0.0
Volume,0.0
SAREXT,0.0
T3,0.0
ROCR,0.0
MACDEXT_hist,0.0
ROCP,0.0
ROC,0.0
PPO,0.0
PLUS_DI,0.0
MINUS_DM,0.0
MFI,0.0
MACDFIX_signal,0.0
MACDFIX,0.0
MACDEXT,0.0
TEMA,0.0
MACD_signal,0.0
MACD,0.0
CMO,0.0
AROONOSC,0.0
ADXR,0.0
ADX,0.0
WMA,0.0
TRIMA,0.0
SENTIMENT_CONSTRAINING,0.0
