,importance
DX,0.18495867
LINEARREG_ANGLE,0.1585503
PLUS_DM,0.12617208
LINEARREG_SLOPE,0.120662645
EMA,0.0742109
FAMA,0.062397193
Open,0.05314887
ROC,0.040271286
BB_LOWER,0.032838035
Close,0.030596996
MAMA,0.029152272
MAVP,0.021390513
VAR,0.019594217
SAR,0.009483554
Low,0.008893863
MOM,0.0064461655
High,0.0033765666
APO,0.0031885095
DEMA,0.0029463777
HT_DCPERIOD,0.002205028
MACD_signal,0.0020269924
BB_UPPER,0.0017211357
WCLPRICE,0.0011875808
WMA,0.0008570938
TYPPRICE,0.00072216796
MACDFIX_hist,0.00062043074
AVGPRICE,0.00059615256
TEMA,0.0005279457
ATR,0.0004832593
CCI,0.00046123253
SAREXT,0.00031198573
STDDEV,0.0
TSF,0.0
ADXR,0.0
AROON_down,0.0
ADX,0.0
AROON_up,0.0
AROONOSC,0.0
CMO,0.0
STOCHF_fastd,0.0
MINUS_DI,0.0
PLUS_DI,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_NEGATIVE,0.0
DEMA_Trend,0.0
CORREL,0.0
HT_TRENDMODE,0.0
BOP,0.0
WILLR,0.0
ULTOSC,0.0
STOCHRSI_fastd,0.0
STOCHRSI_fastk,0.0
STOCHF_fastk,0.0
STOCH_slowd,0.0
STOCH_slowk,0.0
RSI,0.0
LINEARREG_INTERCEPT,0.0
NATR,0.0
LINEARREG,0.0
BETA,0.0
BB_MIDDLE,0.0
HT_TRENDLINE,0.0
KAMA,0.0
MA,0.0
MIDPOINT,0.0
MIDPRICE,0.0
SMA,0.0
T3,0.0
TRIMA,0.0
MACD,0.0
MACD_hist,0.0
MACDEXT,0.0
MACDEXT_signal,0.0
MACDEXT_hist,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
MINUS_DM,0.0
PPO,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
TRIX,0.0
TRANGE,0.0
HT_DCPHASE,0.0
HT_PHASOR_inphase,0.0
HT_PHASOR_quadrature,0.0
HT_SINE_sine,0.0
HT_SINE_leadsine,0.0
MEDPRICE,0.0
SENTIMENT_CONSTRAINING,0.0
