,importance
SMA,0.03956853
BB_UPPER,0.027424226
MACD_hist,0.022900948
Close,0.021820763
RSI,0.02046951
BB_MIDDLE,0.01942421
MAMA,0.018595308
ULTOSC,0.01838721
CORREL,0.017901404
TRANGE,0.017502956
Low,0.017476903
AROONOSC,0.01701984
LINEARREG_ANGLE,0.016917536
MACDEXT_hist,0.016912721
HT_DCPHASE,0.016646141
STOCH_slowd,0.01629223
High,0.016220352
CMO,0.0160959
STDDEV,0.01579885
SAR,0.0157668
T3,0.01565737
MINUS_DI,0.015594538
MACDEXT,0.014534448
PLUS_DI,0.014427574
DEMA_Trend,0.014335437
PLUS_DM,0.014309555
PPO,0.01425296
KAMA,0.013479671
Open,0.013260578
BB_LOWER,0.013242633
MINUS_DM,0.013046465
ATR,0.012942609
HT_PHASOR_quadrature,0.012915759
SAREXT,0.012702811
TRIX,0.012645473
HT_SINE_sine,0.0125882495
STOCH_slowk,0.012399846
TEMA,0.012369958
STOCHF_fastk,0.012301687
STOCHRSI_fastk,0.012280156
MACDFIX,0.012250919
MACDFIX_hist,0.012244908
MACDEXT_signal,0.012161927
APO,0.011948916
ROCP,0.011923442
DX,0.011894328
ROC,0.011722948
HT_DCPERIOD,0.011471551
TSF,0.011279423
MACD,0.011207202
BETA,0.011183412
MACDFIX_signal,0.011170933
ADXR,0.011156863
MOM,0.011147796
MEDPRICE,0.011016654
CCI,0.010995599
VAR,0.010834269
TYPPRICE,0.010795496
MACD_signal,0.010432133
HT_PHASOR_inphase,0.010393342
STOCHRSI_fastd,0.010006222
AROON_down,0.009456945
WILLR,0.009325075
ADX,0.009283214
TRIMA,0.00926036
MA,0.009238215
HT_SINE_leadsine,0.008688786
AROON_up,0.008570243
BOP,0.008201397
FAMA,0.008175619
NATR,0.008103119
MIDPRICE,0.008071363
LINEARREG_SLOPE,0.007957279
LINEARREG_INTERCEPT,0.0
Wave,0.0
LINEARREG,0.0
Change,0.0
SENTIMENT_STRONG_MODAL,0.0
Prev. Day Open Interest,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
Volume,0.0
WCLPRICE,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
AD,0.0
AVGPRICE,0.0
HT_TRENDMODE,0.0
MAVP,0.0
MFI,0.0
HT_TRENDLINE,0.0
EMA,0.0
DEMA,0.0
ROCR,0.0
ROCR100,0.0
Previous Day Open Interest,0.0
Last,0.0
STOCHF_fastd,0.0
Block Volume,0.0
MIDPOINT,0.0
ADOSC,0.0
OBV,0.0
EFS Volume,0.0
EFP Volume,0.0
WMA,0.0
SENTIMENT_CONSTRAINING,0.0
