,importance
Close,0.16909485
DX,0.15493804
BB_UPPER,0.11257813
EMA,0.099615395
Low,0.07710616
ADXR,0.06723719
Open,0.0664767
BETA,0.048818666
KAMA,0.039036717
TYPPRICE,0.03387666
High,0.027545594
MACDEXT_signal,0.018883685
DEMA,0.018255893
MEDPRICE,0.009348537
CCI,0.007970884
HT_SINE_sine,0.007115699
BOP,0.0067420206
STOCHF_fastk,0.0050244313
BB_MIDDLE,0.0049635214
ATR,0.0045392187
MAMA,0.004097478
MA,0.0035005675
MAVP,0.0034948792
T3,0.0033181608
MIDPRICE,0.003310719
HT_DCPHASE,0.0031101385
SENTIMENT_WEAK_MODAL,0.0
WILLR,0.0
AD,0.0
ADOSC,0.0
ULTOSC,0.0
OBV,0.0
TRIX,0.0
STOCHRSI_fastd,0.0
STOCHRSI_fastk,0.0
NATR,0.0
TRANGE,0.0
HT_DCPERIOD,0.0
STOCHF_fastd,0.0
STOCH_slowd,0.0
DEMA_Trend,0.0
HT_SINE_leadsine,0.0
HT_PHASOR_inphase,0.0
HT_PHASOR_quadrature,0.0
TSF,0.0
SENTIMENT_NEGATIVE,0.0
STDDEV,0.0
SENTIMENT_POSITIVE,0.0
LINEARREG_SLOPE,0.0
SENTIMENT_UNCERTAINTY,0.0
LINEARREG_INTERCEPT,0.0
LINEARREG_ANGLE,0.0
LINEARREG,0.0
CORREL,0.0
SENTIMENT_LITIGIOUS,0.0
WCLPRICE,0.0
RSI,0.0
AVGPRICE,0.0
SENTIMENT_STRONG_MODAL,0.0
HT_TRENDMODE,0.0
VAR,0.0
STOCH_slowk,0.0
MINUS_DI,0.0
ROCR100,0.0
ROCR,0.0
WMA,0.0
TRIMA,0.0
TEMA,0.0
SMA,0.0
SAREXT,0.0
SAR,0.0
MIDPOINT,0.0
FAMA,0.0
HT_TRENDLINE,0.0
BB_LOWER,0.0
Previous Day Open Interest,0.0
Last,0.0
Block Volume,0.0
EFS Volume,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
Wave,0.0
Change,0.0
Volume,0.0
ADX,0.0
APO,0.0
AROON_down,0.0
MACDFIX_hist,0.0
ROCP,0.0
ROC,0.0
PPO,0.0
PLUS_DM,0.0
PLUS_DI,0.0
MOM,0.0
MINUS_DM,0.0
MFI,0.0
MACDFIX_signal,0.0
AROON_up,0.0
MACDFIX,0.0
MACDEXT_hist,0.0
MACDEXT,0.0
MACD_hist,0.0
MACD_signal,0.0
MACD,0.0
CMO,0.0
AROONOSC,0.0
SENTIMENT_CONSTRAINING,0.0
