,importance
MACDEXT,0.065383285
TSF,0.03813014
T3,0.03104369
MINUS_DI,0.027826598
STOCH_slowk,0.022458255
TRANGE,0.021057244
EMA,0.018980179
SAR,0.018017378
ULTOSC,0.016703025
BB_UPPER,0.015878662
STOCHRSI_fastk,0.015585731
MA,0.015275559
CCI,0.015160208
APO,0.014935735
ATR,0.014927407
BETA,0.014402266
VAR,0.0143972505
CMO,0.013939967
MACD,0.013900252
WMA,0.0138249025
HT_SINE_leadsine,0.0137148015
AROON_down,0.013625463
TRIMA,0.013559043
High,0.0134092085
MACD_signal,0.013102233
MAMA,0.012987351
HT_PHASOR_inphase,0.012661521
MACD_hist,0.012534291
PLUS_DM,0.012320227
MINUS_DM,0.012305483
CORREL,0.012251451
STOCHF_fastk,0.012054268
LINEARREG_ANGLE,0.011864923
TRIX,0.011820689
ROC,0.011714222
PLUS_DI,0.011671772
HT_TRENDLINE,0.011664376
SAREXT,0.011242735
MACDFIX_hist,0.011105965
HT_DCPERIOD,0.011094509
BB_MIDDLE,0.010890774
STDDEV,0.010714838
HT_PHASOR_quadrature,0.010526549
LINEARREG,0.010410622
Open,0.010354855
DX,0.010327352
MACDEXT_hist,0.010124826
Close,0.009843729
HT_DCPHASE,0.009761535
ADX,0.009676695
DEMA,0.009649208
HT_SINE_sine,0.0096430555
ROCP,0.009430294
MACDEXT_signal,0.009360773
MOM,0.009349915
ROCR,0.009256167
STOCHRSI_fastd,0.00924316
BB_LOWER,0.009110881
NATR,0.008891338
ADXR,0.008855244
Low,0.00871298
PPO,0.008684441
MACDFIX,0.008348916
AROONOSC,0.008270102
MACDFIX_signal,0.008146754
RSI,0.008112171
MIDPOINT,0.008041307
LINEARREG_SLOPE,0.008025885
WILLR,0.008017649
MAVP,0.007616289
BOP,0.0075607016
KAMA,0.0075008837
LINEARREG_INTERCEPT,0.0072087306
STOCH_slowd,0.007197723
ROCR100,0.0070855813
FAMA,0.006484476
AROON_up,0.006281399
MIDPRICE,0.0047499225
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
DEMA_Trend,0.0
EFP Volume,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
Volume,0.0
SENTIMENT_WEAK_MODAL,0.0
Change,0.0
Wave,0.0
Prev. Day Open Interest,0.0
Previous Day Open Interest,0.0
WCLPRICE,0.0
TYPPRICE,0.0
MEDPRICE,0.0
AVGPRICE,0.0
HT_TRENDMODE,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
MFI,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
STOCHF_fastd,0.0
SMA,0.0
TEMA,0.0
SENTIMENT_CONSTRAINING,0.0
