,importance
MINUS_DM,0.026508776
STOCHF_fastk,0.02236484
BOP,0.020401476
NATR,0.020334888
TYPPRICE,0.019061673
HT_DCPERIOD,0.017668193
TRANGE,0.017636133
TRIX,0.017613582
PLUS_DM,0.017035883
MACDFIX_hist,0.016448343
ATR,0.01642941
STDDEV,0.015853684
High,0.015700366
RSI,0.015647916
BB_MIDDLE,0.01556243
WILLR,0.015060508
TRIMA,0.014827587
BB_LOWER,0.014655085
KAMA,0.014495857
STOCHRSI_fastk,0.014074824
VAR,0.013894894
MACDEXT,0.013894877
AROON_up,0.013672893
HT_TRENDLINE,0.013612801
Open,0.013292923
MACD,0.013284157
CMO,0.012922081
CCI,0.012756036
ADX,0.012583895
AROON_down,0.012420546
HT_SINE_sine,0.012419389
STOCHRSI_fastd,0.012418853
MEDPRICE,0.012343041
LINEARREG_ANGLE,0.012312296
MAMA,0.0122831585
MACDEXT_signal,0.012220435
DX,0.012209792
SAREXT,0.012185555
Low,0.011909512
ROC,0.011763126
MOM,0.011713727
MACDEXT_hist,0.011711526
PPO,0.011519855
PLUS_DI,0.011511052
MIDPRICE,0.011420675
ULTOSC,0.011176517
APO,0.011129453
MACD_hist,0.010942454
CORREL,0.010929698
HT_PHASOR_quadrature,0.010703581
HT_SINE_leadsine,0.010494864
BETA,0.010454874
DEMA,0.01043538
BB_UPPER,0.010407009
LINEARREG,0.010200077
LINEARREG_INTERCEPT,0.010198968
SAR,0.010045713
MAVP,0.010039658
STOCH_slowd,0.010028733
MINUS_DI,0.009963971
HT_PHASOR_inphase,0.009772635
ADXR,0.009630396
TEMA,0.009624696
MACDFIX_signal,0.009545377
Close,0.009524371
MACD_signal,0.009324325
HT_DCPHASE,0.009280887
AROONOSC,0.009233179
MACDFIX,0.009226908
MIDPOINT,0.009209907
TSF,0.008817382
STOCH_slowk,0.008688957
MA,0.008540962
STOCHF_fastd,0.008505661
WMA,0.008029087
EMA,0.007916718
AVGPRICE,0.007835898
HT_TRENDMODE,0.006790389
T3,0.0066920347
ROCP,0.006413583
LINEARREG_SLOPE,0.005958018
SENTIMENT_POSITIVE,0.004629232
FAMA,0.0
Change,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_NEGATIVE,0.0
DEMA_Trend,0.0
ROCR100,0.0
MFI,0.0
Volume,0.0
Wave,0.0
SMA,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
WCLPRICE,0.0
Block Volume,0.0
Last,0.0
AD,0.0
ADOSC,0.0
Previous Day Open Interest,0.0
ROCR,0.0
OBV,0.0
SENTIMENT_CONSTRAINING,0.0
