,importance
ADXR,0.4764617
KAMA,0.23542073
TRANGE,0.06366179
High,0.04237204
APO,0.0147675825
AROONOSC,0.014633867
DX,0.012532523
BB_LOWER,0.011751228
ULTOSC,0.011061389
MACDEXT,0.011019796
Open,0.010582189
CCI,0.01013361
PLUS_DI,0.008759857
HT_TRENDLINE,0.0067422884
HT_PHASOR_inphase,0.00630719
WCLPRICE,0.0058148038
MACDEXT_signal,0.0049098595
HT_SINE_sine,0.004702564
BB_UPPER,0.0042402195
STOCHF_fastk,0.0042017074
STOCH_slowd,0.003942676
STOCH_slowk,0.0035235442
HT_SINE_leadsine,0.0034898152
STOCHRSI_fastk,0.0032081434
HT_PHASOR_quadrature,0.0031286334
MACDFIX,0.0030774416
CMO,0.002247871
ADX,0.001792207
MINUS_DM,0.0016702368
MACD_hist,0.0015084011
MINUS_DI,0.0014123325
AROON_down,0.0013823282
ROCP,0.0011551941
TRIX,0.0011325198
BETA,0.0010086058
BB_MIDDLE,0.00094238785
HT_DCPERIOD,0.0007923312
FAMA,0.0007516906
CORREL,0.0007373083
MACDFIX_hist,0.00071068044
PLUS_DM,0.00057400006
DEMA,0.0005105182
MACD_signal,0.0004520987
Low,0.000432194
RSI,0.000340008
Change,0.0
Volume,0.0
Wave,0.0
Close,0.0
HT_DCPHASE,0.0
HT_TRENDMODE,0.0
Prev. Day Open Interest,0.0
AVGPRICE,0.0
NATR,0.0
ATR,0.0
MEDPRICE,0.0
TRIMA,0.0
TYPPRICE,0.0
DEMA_Trend,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
VAR,0.0
ADOSC,0.0
TSF,0.0
STDDEV,0.0
LINEARREG_SLOPE,0.0
LINEARREG_INTERCEPT,0.0
LINEARREG_ANGLE,0.0
LINEARREG,0.0
OBV,0.0
STOCHRSI_fastd,0.0
AD,0.0
WILLR,0.0
TEMA,0.0
T3,0.0
SMA,0.0
AROON_up,0.0
SAREXT,0.0
BOP,0.0
SAR,0.0
MIDPRICE,0.0
MIDPOINT,0.0
MACD,0.0
MAVP,0.0
MAMA,0.0
MACDEXT_hist,0.0
MA,0.0
MACDFIX_signal,0.0
MFI,0.0
EMA,0.0
MOM,0.0
PPO,0.0
ROC,0.0
ROCR,0.0
ROCR100,0.0
Previous Day Open Interest,0.0
Last,0.0
Block Volume,0.0
STOCHF_fastd,0.0
EFS Volume,0.0
WMA,0.0
EFP Volume,0.0
SENTIMENT_CONSTRAINING,0.0
