,importance
ROCP,0.034753848
AVGPRICE,0.025722824
DEMA,0.025501456
BB_UPPER,0.021920137
PPO,0.021557564
MACDFIX,0.020416092
VAR,0.020216318
BOP,0.019324021
CCI,0.01784736
Close,0.017740501
TYPPRICE,0.01682164
TRANGE,0.016700946
MINUS_DM,0.01630737
AROON_up,0.016150806
MACD,0.016027762
MA,0.015554178
HT_SINE_leadsine,0.015509175
WILLR,0.015281572
ROC,0.01495809
MEDPRICE,0.014755613
PLUS_DM,0.014613177
LINEARREG,0.0145385135
HT_DCPERIOD,0.014377388
CORREL,0.014351709
Low,0.014291067
ATR,0.01411548
MACDFIX_signal,0.013992733
STOCHF_fastk,0.013771681
ADXR,0.013671661
High,0.013421607
WCLPRICE,0.013341125
BB_LOWER,0.013284284
MACD_hist,0.013117378
RSI,0.012911282
MACD_signal,0.012892417
HT_PHASOR_inphase,0.012709116
APO,0.012695615
STOCHRSI_fastk,0.012608751
MACDEXT_hist,0.01242962
CMO,0.012368766
PLUS_DI,0.012225657
STOCHRSI_fastd,0.012116523
STDDEV,0.0120878015
SAREXT,0.011842198
BB_MIDDLE,0.011673574
Open,0.011604341
ULTOSC,0.011491769
LINEARREG_INTERCEPT,0.011405236
DX,0.011380847
MACDFIX_hist,0.011332484
HT_SINE_sine,0.011252194
AROONOSC,0.011116612
NATR,0.011114383
TRIX,0.010571392
AROON_down,0.010509591
BETA,0.010376403
STOCH_slowk,0.010270628
TRIMA,0.010237099
MINUS_DI,0.009849702
KAMA,0.009842504
HT_DCPHASE,0.009745557
HT_PHASOR_quadrature,0.009624597
STOCH_slowd,0.009596943
EMA,0.009589815
ADX,0.009566118
MACDEXT_signal,0.009452791
LINEARREG_ANGLE,0.009421769
SAR,0.009271821
MIDPRICE,0.008573352
MAVP,0.008410372
LINEARREG_SLOPE,0.008306758
MAMA,0.008261055
MOM,0.0077583194
MIDPOINT,0.0075491606
AD,0.0
DEMA_Trend,0.0
ROCR100,0.0
Wave,0.0
ROCR,0.0
Change,0.0
TSF,0.0
Volume,0.0
SENTIMENT_NEGATIVE,0.0
EFP Volume,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Prev. Day Open Interest,0.0
EFS Volume,0.0
ADOSC,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
MACDEXT,0.0
HT_TRENDMODE,0.0
HT_TRENDLINE,0.0
MFI,0.0
STOCHF_fastd,0.0
WMA,0.0
TEMA,0.0
FAMA,0.0
T3,0.0
SMA,0.0
OBV,0.0
SENTIMENT_CONSTRAINING,0.0
