,importance
DEMA,0.02093794
ULTOSC,0.01858446
MA,0.017812869
MACDFIX,0.017517835
LINEARREG_INTERCEPT,0.01689064
WMA,0.016831504
MIDPOINT,0.015134354
LINEARREG,0.014931566
T3,0.01491699
FAMA,0.014866041
ROCR100,0.014699307
HT_TRENDLINE,0.014537567
MINUS_DI,0.014398271
TRANGE,0.014232015
MAMA,0.014165618
HT_PHASOR_quadrature,0.013671637
STOCHF_fastk,0.013542488
MEDPRICE,0.0134116905
MACDFIX_signal,0.013295881
MIDPRICE,0.01327533
ROCP,0.0132009545
MACD_signal,0.012970932
DX,0.012939289
NATR,0.012694791
EMA,0.012659145
MOM,0.012536634
ROC,0.012482168
TEMA,0.012410965
ATR,0.012324499
WILLR,0.012120494
LINEARREG_ANGLE,0.012094348
MINUS_DM,0.012086465
MAVP,0.011980893
RSI,0.011925162
PPO,0.011899331
VAR,0.01184878
MACD_hist,0.011815541
HT_SINE_sine,0.011775593
STOCHF_fastd,0.0117376
HT_PHASOR_inphase,0.011730768
MACDEXT,0.011698687
TRIX,0.011625809
DEMA_Trend,0.011571937
HT_SINE_leadsine,0.011512007
MACDEXT_hist,0.011406851
ADXR,0.011389734
STOCH_slowd,0.011337504
STOCH_slowk,0.01132522
CMO,0.011289807
ADX,0.011235763
TSF,0.011184386
SAREXT,0.011166762
WCLPRICE,0.011095872
PLUS_DI,0.010868794
BETA,0.010763998
HT_DCPERIOD,0.010739105
MACD,0.010712892
KAMA,0.0106671015
LINEARREG_SLOPE,0.010666273
MACDEXT_signal,0.010552116
CCI,0.010483258
STOCHRSI_fastk,0.010378295
MACDFIX_hist,0.010362844
PLUS_DM,0.010214972
HT_DCPHASE,0.01011902
Close,0.010024795
STDDEV,0.009890258
CORREL,0.009849495
STOCHRSI_fastd,0.009480081
HT_TRENDMODE,0.009367034
TRIMA,0.009169516
AROON_down,0.009102553
Low,0.009072748
BB_UPPER,0.00871328
BB_MIDDLE,0.008698141
SAR,0.008654551
APO,0.008555324
High,0.008404412
SMA,0.0080758
BB_LOWER,0.007948774
Open,0.0078081833
BOP,0.007797728
AROON_up,0.0077519794
AROONOSC,0.007408686
AVGPRICE,0.0069692708
OBV,0.0
Prev. Day Open Interest,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
Volume,0.0
Change,0.0
Wave,0.0
EFS Volume,0.0
EFP Volume,0.0
ADOSC,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
TYPPRICE,0.0
MFI,0.0
ROCR,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
