,importance
RSI,0.026274562
STOCHF_fastd,0.022295434
DX,0.021151353
Close,0.019142427
TYPPRICE,0.018778052
CCI,0.018764164
AROONOSC,0.018011617
MA,0.017963821
TSF,0.017790258
ULTOSC,0.017775733
PLUS_DI,0.017479347
TRANGE,0.017225157
BB_LOWER,0.017087162
FAMA,0.016877454
HT_PHASOR_inphase,0.016764518
WILLR,0.016717674
MINUS_DM,0.016327681
MEDPRICE,0.016266461
MINUS_DI,0.015271737
STOCHF_fastk,0.015015646
HT_DCPHASE,0.014881758
MACD_signal,0.01462871
ROC,0.014170617
Open,0.01410982
APO,0.013894097
ATR,0.013879843
STOCH_slowd,0.01337695
SAR,0.013272453
VAR,0.013157956
BOP,0.01305156
STOCHRSI_fastd,0.013034835
HT_TRENDLINE,0.013031923
ADXR,0.012960303
STOCH_slowk,0.012858792
MACD_hist,0.012787812
BETA,0.012765743
LINEARREG_SLOPE,0.01267695
High,0.012530226
MIDPOINT,0.012495289
HT_SINE_sine,0.012473416
MACDEXT,0.012419758
LINEARREG_ANGLE,0.012319336
MACDEXT_signal,0.012265649
LINEARREG_INTERCEPT,0.012193737
PLUS_DM,0.012095153
T3,0.012017281
MACDEXT_hist,0.011828132
STOCHRSI_fastk,0.011666067
CORREL,0.011553149
AROON_up,0.011341848
ADX,0.011332183
KAMA,0.011286078
MOM,0.0112497285
BB_MIDDLE,0.011162151
HT_PHASOR_quadrature,0.011093708
TRIX,0.010986753
NATR,0.01066592
HT_DCPERIOD,0.010555853
AROON_down,0.010400683
MACDFIX_signal,0.010387589
MAVP,0.010312253
MAMA,0.010304121
Low,0.010236827
CMO,0.010224956
MIDPRICE,0.009602014
HT_SINE_leadsine,0.009548065
MACDFIX,0.009502751
STDDEV,0.009478574
MACD,0.009412004
PPO,0.009262895
MACDFIX_hist,0.00917431
TRIMA,0.009135241
SAREXT,0.00907822
DEMA_Trend,0.00867657
EMA,0.00821114
WCLPRICE,0.0
SENTIMENT_POSITIVE,0.0
LINEARREG,0.0
SMA,0.0
SENTIMENT_NEGATIVE,0.0
Change,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Volume,0.0
AD,0.0
AVGPRICE,0.0
HT_TRENDMODE,0.0
MFI,0.0
DEMA,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
BB_UPPER,0.0
WMA,0.0
Previous Day Open Interest,0.0
Last,0.0
Block Volume,0.0
EFS Volume,0.0
ADOSC,0.0
OBV,0.0
TEMA,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
Wave,0.0
SENTIMENT_CONSTRAINING,0.0
