,importance
PLUS_DM,0.11891749
ROCP,0.11409899
MAVP,0.08294682
MACD,0.061335895
WCLPRICE,0.059149187
MOM,0.046261415
ULTOSC,0.04435641
BB_UPPER,0.035861783
High,0.03097059
Open,0.023479084
Close,0.022033937
TRIMA,0.02090083
STOCHF_fastk,0.020167757
STOCH_slowk,0.017642679
MINUS_DM,0.01741086
Low,0.016802855
NATR,0.016308878
LINEARREG_INTERCEPT,0.016262522
MIDPRICE,0.013951374
MACD_signal,0.011394923
STOCHF_fastd,0.011290401
ADX,0.009473933
ADXR,0.009011135
SAREXT,0.008756568
PLUS_DI,0.008753156
MACD_hist,0.0084684165
CCI,0.007977097
STOCH_slowd,0.007858515
MINUS_DI,0.0072588553
T3,0.0071321395
MIDPOINT,0.0065391352
CMO,0.0062794765
HT_PHASOR_quadrature,0.0061844015
TYPPRICE,0.006061962
HT_PHASOR_inphase,0.0057199984
APO,0.0054353
MACDEXT_signal,0.005419833
DX,0.0052509373
ATR,0.005227061
AVGPRICE,0.005192274
RSI,0.0044501177
AROON_up,0.0044312975
LINEARREG_ANGLE,0.004397643
MEDPRICE,0.0041550356
TRANGE,0.004047569
BETA,0.0039615813
MACDFIX_hist,0.0039196564
LINEARREG_SLOPE,0.0037580028
MACDEXT_hist,0.0036239203
BB_LOWER,0.003616667
MAMA,0.0035983368
STOCHRSI_fastd,0.0034063014
DEMA,0.0033806623
PPO,0.0032608649
ROC,0.003164674
STDDEV,0.0031440689
STOCHRSI_fastk,0.0030819338
TRIX,0.0030567886
SENTIMENT_UNCERTAINTY,0.0
AROONOSC,0.0
SENTIMENT_POSITIVE,0.0
WILLR,0.0
CORREL,0.0
HT_TRENDMODE,0.0
BOP,0.0
BB_MIDDLE,0.0
DEMA_Trend,0.0
SAR,0.0
AROON_down,0.0
VAR,0.0
SMA,0.0
TEMA,0.0
WMA,0.0
MACDEXT,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
FAMA,0.0
MA,0.0
KAMA,0.0
ROCR,0.0
ROCR100,0.0
HT_TRENDLINE,0.0
HT_DCPERIOD,0.0
HT_DCPHASE,0.0
HT_SINE_sine,0.0
HT_SINE_leadsine,0.0
EMA,0.0
LINEARREG,0.0
TSF,0.0
SENTIMENT_WEAK_MODAL,0.0
