,importance
Open,0.082962595
High,0.07418893
ROCP,0.0400761
ROC,0.035368014
Low,0.032761183
Close,0.030916482
AROON_up,0.027140426
ROCR,0.024196273
DEMA_Trend,0.017421646
AROON_down,0.016030394
BB_MIDDLE,0.015645904
WILLR,0.015050664
BB_UPPER,0.0147535335
MACDFIX_hist,0.013905211
LINEARREG_INTERCEPT,0.013686976
HT_TRENDLINE,0.013550807
MACD_hist,0.013524685
VAR,0.013283673
STOCHF_fastk,0.012978969
BOP,0.011890117
RSI,0.011862722
ULTOSC,0.01182377
CMO,0.011023452
CCI,0.010782269
TRIMA,0.010483404
SAREXT,0.010363924
STDDEV,0.010221754
ATR,0.010127731
TRANGE,0.010094853
STOCHRSI_fastk,0.009909141
HT_SINE_sine,0.009895687
LINEARREG,0.00967738
APO,0.0096626375
PLUS_DI,0.009401208
SMA,0.009363786
PLUS_DM,0.009352232
CORREL,0.008902962
ADXR,0.008537811
MAMA,0.008410045
HT_DCPERIOD,0.008406826
MACDFIX_signal,0.008367835
SAR,0.008300927
HT_SINE_leadsine,0.008156243
MACD_signal,0.008102444
KAMA,0.0077852546
DEMA,0.007773082
STOCH_slowk,0.0076563084
NATR,0.007569892
MOM,0.007432719
DX,0.0073653692
MACDEXT,0.007168353
ADX,0.007135634
HT_DCPHASE,0.0071266266
LINEARREG_ANGLE,0.00692506
MINUS_DM,0.006908871
STOCH_slowd,0.006901489
MACDFIX,0.0068911416
MIDPRICE,0.006782511
MINUS_DI,0.0067643323
TRIX,0.006650705
HT_PHASOR_inphase,0.0066354205
AROONOSC,0.006566311
HT_PHASOR_quadrature,0.0064532114
PPO,0.006392669
TEMA,0.0063823927
WMA,0.0063019725
T3,0.006279895
BETA,0.0062567806
STOCHF_fastd,0.006187476
STOCHRSI_fastd,0.0061746286
MACDEXT_hist,0.0061086873
BB_LOWER,0.0060260124
ROCR100,0.005999746
MACD,0.0059082056
MA,0.005838468
MACDEXT_signal,0.0057306276
MEDPRICE,0.0056697284
EMA,0.0054318043
LINEARREG_SLOPE,0.005362925
HT_TRENDMODE,0.00526011
MIDPOINT,0.0048363977
MAVP,0.004466473
AVGPRICE,0.0043290677
TYPPRICE,0.0
WCLPRICE,0.0
FAMA,0.0
TSF,0.0
SENTIMENT_NEGATIVE,0.0
