,importance
ULTOSC,0.06435731
DEMA_Trend,0.036107935
AROON_up,0.02821038
TRANGE,0.027193664
MACDFIX_signal,0.026933955
MACDFIX,0.02278794
TSF,0.022683881
STOCHF_fastk,0.021726921
MAVP,0.021683179
MOM,0.0205875
PLUS_DM,0.020364732
PPO,0.019473953
SAREXT,0.019290997
AROON_down,0.017581867
MIDPRICE,0.015609897
Low,0.01550416
ADX,0.015439043
MIDPOINT,0.015014076
APO,0.01490544
MACDEXT_hist,0.014647779
Open,0.01457682
MINUS_DI,0.014359601
BB_LOWER,0.014180456
HT_PHASOR_inphase,0.01401763
DX,0.013769257
TRIX,0.013687021
STOCHRSI_fastd,0.013602908
HT_PHASOR_quadrature,0.01278021
BOP,0.012749861
STDDEV,0.012462548
HT_DCPERIOD,0.0123615265
EMA,0.01228506
TEMA,0.012012352
ATR,0.011869074
HT_SINE_sine,0.011771183
MAMA,0.011618751
High,0.011558789
MINUS_DM,0.011418487
MACD_signal,0.011402705
FAMA,0.0112674795
MACDEXT_signal,0.011240346
DEMA,0.010822002
STOCH_slowk,0.010777669
LINEARREG,0.010735166
CORREL,0.010681891
HT_DCPHASE,0.010639978
MACD,0.010539536
BETA,0.010491469
CCI,0.010354855
RSI,0.010120938
MACD_hist,0.0100369705
LINEARREG_SLOPE,0.010026205
AROONOSC,0.009963836
NATR,0.0099415425
PLUS_DI,0.009436226
BB_UPPER,0.009320262
SAR,0.009228771
CMO,0.009132309
STOCHRSI_fastk,0.009070004
STOCH_slowd,0.008925742
KAMA,0.008876398
HT_SINE_leadsine,0.008842161
HT_TRENDLINE,0.0087488275
LINEARREG_ANGLE,0.008603425
MACDEXT,0.008280707
BB_MIDDLE,0.007812682
T3,0.007565794
ADXR,0.0068959664
ROC,0.0065175123
MA,0.006365214
LINEARREG_INTERCEPT,0.006149321
SENTIMENT_POSITIVE,0.0
HT_TRENDMODE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_STRONG_MODAL,0.0
Close,0.0
SENTIMENT_NEGATIVE,0.0
WILLR,0.0
WCLPRICE,0.0
STOCHF_fastd,0.0
VAR,0.0
TRIMA,0.0
TYPPRICE,0.0
MEDPRICE,0.0
AVGPRICE,0.0
ROCR100,0.0
ROCR,0.0
ROCP,0.0
MACDFIX_hist,0.0
SMA,0.0
WMA,0.0
SENTIMENT_CONSTRAINING,0.0
