,importance
MIDPRICE,0.026358273
TRANGE,0.02333688
WCLPRICE,0.022620032
DX,0.020347428
LINEARREG_INTERCEPT,0.019115044
MINUS_DM,0.018983312
LINEARREG,0.018382337
CCI,0.01830681
MINUS_DI,0.018028343
MAVP,0.017822776
KAMA,0.017408645
HT_DCPHASE,0.017208077
SAREXT,0.01692634
MAMA,0.016156275
High,0.015782971
ULTOSC,0.015515265
Open,0.015337518
HT_SINE_sine,0.015284498
TEMA,0.015080108
STOCH_slowd,0.014590134
MOM,0.014587818
ROCP,0.014469622
DEMA,0.0144511545
Low,0.014230421
PLUS_DM,0.013926787
ROC,0.013891179
AROONOSC,0.013813841
ATR,0.013711804
MIDPOINT,0.013045556
STOCH_slowk,0.012885189
TRIX,0.012739097
BB_UPPER,0.012303773
T3,0.01175889
AROON_up,0.0116181495
TSF,0.011583068
MACD_signal,0.011556281
LINEARREG_ANGLE,0.011502316
STOCHRSI_fastk,0.01139868
BOP,0.011277379
STOCHF_fastd,0.011138598
ADX,0.010931856
MACDEXT,0.010920091
MACD,0.010714299
STOCHF_fastk,0.010638968
FAMA,0.010502334
MEDPRICE,0.010463831
MACD_hist,0.0102286115
WILLR,0.010139151
SMA,0.010135513
NATR,0.009904207
BETA,0.009808851
VAR,0.0097418735
PLUS_DI,0.009724653
BB_MIDDLE,0.009714588
TRIMA,0.009591639
SAR,0.009544142
HT_DCPERIOD,0.009392229
APO,0.009287739
PPO,0.009267177
CORREL,0.009202458
MACDEXT_hist,0.009186423
HT_PHASOR_quadrature,0.009174682
CMO,0.0090754125
EMA,0.008834197
ADXR,0.008712751
BB_LOWER,0.008639923
MACDFIX,0.00863025
AROON_down,0.008557072
MA,0.0082841655
HT_SINE_leadsine,0.008155473
STOCHRSI_fastd,0.008013967
MACDEXT_signal,0.007943582
HT_PHASOR_inphase,0.007938208
STDDEV,0.007892527
MACDFIX_signal,0.00781847
HT_TRENDLINE,0.007747696
WMA,0.007652909
ROCR100,0.0073507004
RSI,0.007102019
MACDFIX_hist,0.006806137
LINEARREG_SLOPE,0.0067354506
ROCR,0.00639933
Close,0.0050138514
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
DEMA_Trend,0.0
Previous Day Open Interest,0.0
Last,0.0
Block Volume,0.0
Wave,0.0
MFI,0.0
OBV,0.0
EFS Volume,0.0
EFP Volume,0.0
Volume,0.0
TYPPRICE,0.0
AVGPRICE,0.0
HT_TRENDMODE,0.0
Prev. Day Open Interest,0.0
AD,0.0
ADOSC,0.0
Change,0.0
SENTIMENT_CONSTRAINING,0.0
