,importance
ULTOSC,0.06214511
AROON_up,0.04485247
AROON_down,0.043893393
WILLR,0.036585182
STOCHF_fastd,0.031846747
STOCHF_fastk,0.03025899
TRANGE,0.03007634
LINEARREG_SLOPE,0.026480492
PPO,0.022183415
MINUS_DI,0.02075856
MACDFIX_hist,0.019875063
ADX,0.019252144
HT_DCPHASE,0.0185926
BB_LOWER,0.018574845
ATR,0.018041687
PLUS_DI,0.017581014
KAMA,0.017040867
CMO,0.016760638
MINUS_DM,0.016682511
AROONOSC,0.016117997
SAREXT,0.016002135
CCI,0.015911844
STOCHRSI_fastk,0.015894564
MACDEXT_signal,0.015790122
HT_TRENDLINE,0.015530853
TRIMA,0.0152790705
TEMA,0.015098963
MIDPOINT,0.014985708
HT_PHASOR_quadrature,0.014829153
HT_PHASOR_inphase,0.01468829
MEDPRICE,0.014062346
MACD,0.014053973
HT_SINE_leadsine,0.014037122
PLUS_DM,0.013746011
DEMA,0.013714829
MAVP,0.013644725
TRIX,0.013505769
SMA,0.013418097
ROCP,0.013177462
ADXR,0.012914614
STDDEV,0.012746742
MOM,0.012384904
STOCH_slowk,0.012279903
MIDPRICE,0.01216105
High,0.012152436
BOP,0.011762652
MACDFIX_signal,0.011285904
STOCH_slowd,0.011273837
CORREL,0.01051524
Open,0.010273349
MACDEXT_hist,0.0102260895
APO,0.010177523
HT_DCPERIOD,0.009711672
HT_SINE_sine,0.009186192
WMA,0.008917374
LINEARREG_ANGLE,0.008546331
STOCHRSI_fastd,0.0085130185
Low,0.0
FAMA,0.0
T3,0.0
DEMA_Trend,0.0
RSI,0.0
SAR,0.0
MAMA,0.0
HT_TRENDMODE,0.0
MA,0.0
DX,0.0
BB_MIDDLE,0.0
BB_UPPER,0.0
Close,0.0
EMA,0.0
MACD_signal,0.0
MACD_hist,0.0
MACDEXT,0.0
MACDFIX,0.0
VAR,0.0
TSF,0.0
ROC,0.0
ROCR,0.0
LINEARREG_INTERCEPT,0.0
LINEARREG,0.0
BETA,0.0
WCLPRICE,0.0
TYPPRICE,0.0
ROCR100,0.0
AVGPRICE,0.0
NATR,0.0
SENTIMENT_POSITIVE,0.0
