,importance
WCLPRICE,0.4207897
TYPPRICE,0.1965269
AVGPRICE,0.17640738
DEMA,0.02108639
MACD,0.017445194
LINEARREG_ANGLE,0.014789541
ROCP,0.013333758
HT_SINE_sine,0.012779498
STOCH_slowk,0.008605223
MOM,0.0073625017
Open,0.006978613
ULTOSC,0.006661759
STOCHF_fastd,0.006464397
SAREXT,0.0058213957
Low,0.0049441834
STOCHRSI_fastd,0.0048105475
FAMA,0.004495062
HT_PHASOR_inphase,0.0043834476
TRANGE,0.0041673216
KAMA,0.0040870025
BB_UPPER,0.0038969887
AROONOSC,0.0034611241
High,0.0034251367
MACDFIX,0.0032992165
NATR,0.0031541814
AROON_down,0.0028366856
VAR,0.0026244055
STDDEV,0.002489598
HT_DCPHASE,0.00234217
SAR,0.002202704
MINUS_DI,0.0021076624
ROC,0.0019203199
T3,0.0018028936
STOCHF_fastk,0.0017396937
ROCR100,0.0012554086
MA,0.0011980952
APO,0.001142114
DX,0.0010653855
BB_MIDDLE,0.0010511532
MACD_hist,0.0010433071
HT_TRENDLINE,0.0008594881
PLUS_DM,0.00085694576
MINUS_DM,0.00084929354
MACD_signal,0.0008285706
MACDFIX_hist,0.00074187975
ROCR,0.00070385623
MACDEXT,0.00066001253
CCI,0.00056595495
MAMA,0.0005379786
PPO,0.00048063856
MACDEXT_hist,0.00036909975
HT_TRENDMODE,0.00036854646
LINEARREG_SLOPE,0.00036316965
CORREL,0.00031922525
HT_SINE_leadsine,0.00029550455
HT_DCPERIOD,0.00027160186
BOP,0.00024830166
LINEARREG,0.00024588464
TRIMA,0.00023512515
EMA,0.00023119291
BB_LOWER,0.0002287346
LINEARREG_INTERCEPT,0.00022110985
MEDPRICE,0.0002142382
MACDEXT_signal,0.0002077413
ADX,0.0002007839
STOCHRSI_fastk,0.00018571939
AROON_up,0.00017896811
WMA,0.00017426063
PLUS_DI,0.00017261272
ADXR,0.00017234546
MIDPRICE,0.00016653053
SMA,0.00016519667
ATR,0.00016267825
PATTERN_SUM,0.00015021191
MAVP,0.00013979344
TRIX,0.00013354437
HT_PHASOR_quadrature,0.00012886805
BETA,0.00012341213
TEMA,0.0001208396
STOCH_slowd,0.000120394405
CMO,0.00010645729
TSF,0.000105230174
MACDFIX_signal,0.00010010029
RSI,9.020941e-05
WILLR,8.677185e-05
Close,8.276634e-05
MIDPOINT,3.0185733e-05
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Volume,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
EFS Volume,0.0
Change,0.0
Wave,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
MFI,0.0
SENTIMENT_CONSTRAINING,0.0
