,importance
BOP,0.087259345
TRIMA,0.065998055
TRANGE,0.06495034
EMA,0.0336983
AVGPRICE,0.03149164
LINEARREG_ANGLE,0.027239062
STOCHRSI_fastk,0.024620403
SAR,0.021490116
AROON_down,0.021231035
MAMA,0.020490613
T3,0.02017483
STDDEV,0.018966597
CCI,0.017552294
HT_PHASOR_quadrature,0.017081896
LINEARREG_SLOPE,0.016768726
LINEARREG_INTERCEPT,0.01604309
HT_TRENDLINE,0.015772007
HT_SINE_leadsine,0.015467307
MACD,0.015369575
STOCHF_fastk,0.014912234
AROON_up,0.014442795
AROONOSC,0.013660516
APO,0.013433991
MAVP,0.013069361
WCLPRICE,0.01295945
MINUS_DM,0.012714363
PLUS_DM,0.012538851
HT_DCPERIOD,0.012415801
ULTOSC,0.0123985475
Open,0.012249044
SAREXT,0.012163269
MINUS_DI,0.012127564
MACDEXT_signal,0.011969276
STOCH_slowk,0.011857237
STOCH_slowd,0.010772018
HT_PHASOR_inphase,0.010416997
MOM,0.010374026
NATR,0.010280368
KAMA,0.010240897
MIDPRICE,0.010147288
MACDEXT_hist,0.01000007
WILLR,0.009707542
STOCHF_fastd,0.009607408
BB_MIDDLE,0.009045615
CORREL,0.008698631
ATR,0.008470794
PLUS_DI,0.008379772
TRIX,0.008321469
HT_SINE_sine,0.008314214
ADX,0.008068275
PPO,0.008061705
ADXR,0.008046414
CMO,0.007950208
STOCHRSI_fastd,0.0077491263
DX,0.007720242
HT_DCPHASE,0.0076453667
MACD_signal,0.007481436
MACDFIX_hist,0.0073896586
VAR,0.006852597
BETA,0.0065452
High,0.006384125
MACD_hist,0.006343683
BB_UPPER,0.0060535017
HT_TRENDMODE,0.005564006
MACDEXT,0.004789801
Wave,0.0
TYPPRICE,0.0
Prev. Day Open Interest,0.0
MEDPRICE,0.0
Low,0.0
LINEARREG,0.0
Change,0.0
Volume,0.0
Close,0.0
TSF,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
EFP Volume,0.0
WMA,0.0
EFS Volume,0.0
BB_LOWER,0.0
TEMA,0.0
SMA,0.0
MIDPOINT,0.0
FAMA,0.0
MA,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
MFI,0.0
DEMA,0.0
ROC,0.0
Block Volume,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
RSI,0.0
Previous Day Open Interest,0.0
AD,0.0
ADOSC,0.0
OBV,0.0
Last,0.0
SENTIMENT_CONSTRAINING,0.0
