,importance
AROON_down,0.057131726
ULTOSC,0.04712533
TEMA,0.043767918
AROON_up,0.035921283
ATR,0.028284183
BB_MIDDLE,0.024014866
STOCHF_fastk,0.02386854
LINEARREG_SLOPE,0.020482827
WILLR,0.019160528
ADX,0.018909916
SAR,0.018896678
TRANGE,0.018740842
MACD_hist,0.01793276
WCLPRICE,0.017736338
VAR,0.016260045
RSI,0.015508208
HT_DCPHASE,0.014880638
NATR,0.0145577565
HT_SINE_leadsine,0.014436736
Open,0.014199159
High,0.013881297
PLUS_DM,0.0136514045
MOM,0.013411057
PPO,0.013408086
MINUS_DM,0.0130032245
BB_UPPER,0.012734593
SAREXT,0.012634119
LINEARREG_ANGLE,0.012541789
MINUS_DI,0.012388078
ADXR,0.0122926915
MACD,0.011785611
CCI,0.011743637
MACD_signal,0.011596482
BETA,0.011314401
TRIX,0.011204067
STOCH_slowk,0.011164148
STOCHRSI_fastk,0.011058532
STOCHRSI_fastd,0.010831813
MACDEXT_hist,0.010761112
ROC,0.010347393
MACDFIX_signal,0.010310916
AROONOSC,0.0102501605
CMO,0.010195963
SMA,0.009895989
LINEARREG_INTERCEPT,0.009821279
STDDEV,0.009815885
MACDFIX_hist,0.009642031
HT_PHASOR_quadrature,0.009570248
BOP,0.009474868
ROCP,0.009424331
PLUS_DI,0.009298674
MACDEXT_signal,0.009156306
DEMA,0.009013764
MIDPRICE,0.008941256
MAMA,0.008902983
HT_PHASOR_inphase,0.008658414
DX,0.008587055
HT_SINE_sine,0.008424047
EMA,0.008407955
Close,0.0081715165
STOCHF_fastd,0.008050011
STOCH_slowd,0.008005308
CORREL,0.0078356415
LINEARREG,0.0077189184
T3,0.007595904
KAMA,0.0073512723
Low,0.0072694574
BB_LOWER,0.0070151063
HT_DCPERIOD,0.0066890377
MIDPOINT,0.006157702
APO,0.005875582
TRIMA,0.0057829646
MAVP,0.0051196464
HT_TRENDLINE,0.0
MA,0.0
FAMA,0.0
TSF,0.0
TYPPRICE,0.0
MEDPRICE,0.0
AVGPRICE,0.0
WMA,0.0
MACDEXT,0.0
ROCR100,0.0
ROCR,0.0
HT_TRENDMODE,0.0
MACDFIX,0.0
DEMA_Trend,0.0
