,importance
TRANGE,0.053187586
Low,0.03208503
SMA,0.03194992
MINUS_DI,0.029344302
EMA,0.027312284
WILLR,0.024721896
DEMA_Trend,0.02471731
SAREXT,0.021975892
TEMA,0.019400032
MACD,0.017554892
AROON_up,0.017428922
STOCHF_fastk,0.01724247
STOCHRSI_fastd,0.01667188
CCI,0.016553503
CORREL,0.016434183
ADXR,0.016201897
MINUS_DM,0.01538623
STDDEV,0.015329989
MACD_signal,0.015265586
MACDFIX,0.014735825
PLUS_DI,0.014391135
AROONOSC,0.014337133
MACDFIX_hist,0.01422351
HT_PHASOR_quadrature,0.0141854705
HT_SINE_leadsine,0.014017772
High,0.013320814
ATR,0.012773712
STOCH_slowd,0.012684577
HT_DCPERIOD,0.012515197
TRIX,0.012494267
LINEARREG,0.012264493
SAR,0.011782914
MACDEXT,0.01167318
ROC,0.011217144
BETA,0.01119162
BB_LOWER,0.0111889355
HT_PHASOR_inphase,0.011045288
ROCP,0.011016304
Open,0.010986727
ULTOSC,0.010852274
AROON_down,0.010777807
KAMA,0.010763859
ADX,0.010654626
STOCH_slowk,0.010203384
NATR,0.010148613
APO,0.010117577
LINEARREG_INTERCEPT,0.010059174
BB_UPPER,0.009995212
DX,0.009830724
DEMA,0.00966034
MEDPRICE,0.0095616
HT_DCPHASE,0.00954336
T3,0.009409428
MACDEXT_signal,0.009296261
PLUS_DM,0.009277579
BB_MIDDLE,0.009232257
VAR,0.009201685
STOCHRSI_fastk,0.009180129
Close,0.009128316
MACD_hist,0.009118054
MACDEXT_hist,0.008966365
LINEARREG_ANGLE,0.008802891
CMO,0.008563832
HT_SINE_sine,0.008225662
MAMA,0.008142744
TRIMA,0.008132691
MACDFIX_signal,0.0079279635
PPO,0.0077495524
MOM,0.0076367124
RSI,0.0076324954
MA,0.0069541964
BOP,0.0069405334
MIDPRICE,0.006392769
MIDPOINT,0.005979958
LINEARREG_SLOPE,0.0051294705
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
TSF,0.0
Volume,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
TYPPRICE,0.0
SENTIMENT_STRONG_MODAL,0.0
Change,0.0
SENTIMENT_WEAK_MODAL,0.0
Wave,0.0
Prev. Day Open Interest,0.0
WCLPRICE,0.0
AD,0.0
AVGPRICE,0.0
HT_TRENDMODE,0.0
WMA,0.0
MFI,0.0
MAVP,0.0
FAMA,0.0
ROCR,0.0
ROCR100,0.0
STOCHF_fastd,0.0
HT_TRENDLINE,0.0
ADOSC,0.0
OBV,0.0
Previous Day Open Interest,0.0
Last,0.0
Block Volume,0.0
EFS Volume,0.0
EFP Volume,0.0
SENTIMENT_CONSTRAINING,0.0
