,importance
MIDPRICE,0.041957792
DEMA,0.039758153
WCLPRICE,0.028967535
SAR,0.0239157
MA,0.02048723
Low,0.020153398
Close,0.019861834
PPO,0.018945985
ADX,0.017564883
ADXR,0.015959809
HT_TRENDMODE,0.015949493
AROONOSC,0.015887605
MAVP,0.015729828
MINUS_DM,0.015442494
STOCHF_fastk,0.014736264
STOCH_slowd,0.014303405
BB_UPPER,0.014262607
High,0.014013392
Open,0.013922163
DX,0.01390946
BB_MIDDLE,0.013880155
MINUS_DI,0.013721067
TRANGE,0.013627057
SAREXT,0.013442014
MIDPOINT,0.01337008
ROCR,0.012921328
CCI,0.012735411
AVGPRICE,0.012378133
MACD_signal,0.012125043
BOP,0.011973677
AROON_down,0.011745904
WILLR,0.011329291
HT_SINE_leadsine,0.01132913
MAMA,0.011278438
BB_LOWER,0.011252835
TRIMA,0.011235466
MACD_hist,0.011164841
ROCP,0.011085687
KAMA,0.011010647
BETA,0.01099663
MACDFIX_hist,0.0107450355
AROON_up,0.010661023
LINEARREG_SLOPE,0.010514634
HT_TRENDLINE,0.01035392
TSF,0.010002143
ROC,0.009921663
ULTOSC,0.009899285
TRIX,0.009884623
CMO,0.009717366
STDDEV,0.009695573
FAMA,0.009688873
MACDFIX_signal,0.009612657
HT_DCPHASE,0.009563674
T3,0.009367359
MACDEXT_hist,0.009244121
APO,0.0090557765
ATR,0.008909265
EMA,0.008842189
HT_DCPERIOD,0.0088132
SMA,0.008725967
VAR,0.008716248
HT_PHASOR_inphase,0.008645698
HT_PHASOR_quadrature,0.0086105475
MOM,0.008563908
STOCH_slowk,0.008563666
NATR,0.008412904
STOCHF_fastd,0.008181893
MACD,0.007977261
PLUS_DM,0.007804407
CORREL,0.007640313
STOCHRSI_fastd,0.007561827
PLUS_DI,0.00743879
LINEARREG,0.0072695464
MACDFIX,0.007162186
STOCHRSI_fastk,0.0070725284
LINEARREG_ANGLE,0.0069824387
HT_SINE_sine,0.006767187
LINEARREG_INTERCEPT,0.006652246
RSI,0.0065507847
MACDEXT,0.005994303
MACDEXT_signal,0.005769868
TEMA,0.005067357
MEDPRICE,0.0050438675
DEMA_Trend,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
WMA,0.0
Previous Day Open Interest,0.0
Last,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_NEGATIVE,0.0
Prev. Day Open Interest,0.0
Volume,0.0
TYPPRICE,0.0
Wave,0.0
Change,0.0
MFI,0.0
Block Volume,0.0
EFS Volume,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
EFP Volume,0.0
ROCR100,0.0
SENTIMENT_CONSTRAINING,0.0
