,importance
STOCHRSI_fastk,0.13419023
TRANGE,0.062622435
CCI,0.049405996
STDDEV,0.03438229
MAMA,0.030017357
MIDPOINT,0.026767015
TSF,0.023464644
MINUS_DI,0.022318436
AROON_down,0.022231394
ROCP,0.021354962
STOCHRSI_fastd,0.01764602
MINUS_DM,0.016798647
RSI,0.015829101
MA,0.015661355
SAR,0.015318938
LINEARREG_INTERCEPT,0.013523115
KAMA,0.01347564
STOCHF_fastk,0.01340044
ATR,0.013114236
NATR,0.012869655
Close,0.0123784505
STOCH_slowk,0.01229359
CMO,0.012011824
VAR,0.01158285
HT_PHASOR_quadrature,0.011391136
HT_DCPERIOD,0.011061212
HT_DCPHASE,0.011040169
WILLR,0.010988511
STOCH_slowd,0.010798627
BOP,0.0105382735
ULTOSC,0.010343513
PLUS_DI,0.010274077
MACDEXT_hist,0.010245228
LINEARREG_ANGLE,0.010089063
CORREL,0.010088125
HT_SINE_leadsine,0.009933524
SAREXT,0.009760141
Low,0.009347357
Open,0.0092224125
HT_SINE_sine,0.009179069
LINEARREG,0.009021504
HT_PHASOR_inphase,0.008899113
ROC,0.008678363
MOM,0.008670824
BB_LOWER,0.008407925
MACDEXT,0.008348381
AROON_up,0.008281815
STOCHF_fastd,0.007927216
MACDEXT_signal,0.007787363
MACD,0.007639685
MACDFIX_signal,0.007639556
LINEARREG_SLOPE,0.0076166494
BB_MIDDLE,0.0075780386
MACD_hist,0.0074292854
APO,0.0074279862
TRIX,0.0072544515
ADX,0.007144145
AROONOSC,0.00704492
MACDFIX,0.0065920693
MACDFIX_hist,0.0065542166
High,0.0064357705
ADXR,0.0063504004
MACD_signal,0.006181046
T3,0.0060082874
HT_TRENDLINE,0.005955929
BETA,0.00565464
DX,0.0055866404
AVGPRICE,0.0053399177
BB_UPPER,0.0048713563
TRIMA,0.004713419
WCLPRICE,0.0
EFP Volume,0.0
EFS Volume,0.0
TYPPRICE,0.0
SENTIMENT_NEGATIVE,0.0
Prev. Day Open Interest,0.0
Wave,0.0
Change,0.0
Volume,0.0
DEMA_Trend,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
MEDPRICE,0.0
AD,0.0
HT_TRENDMODE,0.0
Block Volume,0.0
MFI,0.0
WMA,0.0
PLUS_DM,0.0
PPO,0.0
ROCR,0.0
ROCR100,0.0
TEMA,0.0
SMA,0.0
MIDPRICE,0.0
MAVP,0.0
FAMA,0.0
EMA,0.0
ADOSC,0.0
OBV,0.0
DEMA,0.0
Previous Day Open Interest,0.0
Last,0.0
SENTIMENT_CONSTRAINING,0.0
