,importance
Low,0.10052789
ATR,0.07192117
MACD_hist,0.05555507
STOCH_slowk,0.047175657
BOP,0.043514848
STOCHF_fastk,0.040418785
High,0.037274003
TRANGE,0.03437374
ROC,0.03421061
Change,0.030915838
Open,0.024215462
EMA,0.019143805
DEMA_Trend,0.01892658
SAR,0.017049182
BB_UPPER,0.016661685
MACDEXT_hist,0.01652796
STOCH_slowd,0.016404757
MACDFIX_hist,0.016402079
STOCHRSI_fastk,0.015969781
MACDEXT_signal,0.0148307625
SAREXT,0.01481431
PLUS_DM,0.013866213
ADOSC,0.013413855
AROON_up,0.013296488
BB_MIDDLE,0.0119590955
ADXR,0.011584351
MOM,0.0115417745
AD,0.011300325
T3,0.01082048
BB_LOWER,0.010317964
MACDFIX_signal,0.010316676
DX,0.0100741675
TRIX,0.009970076
Volume,0.009885726
Close,0.0098496955
PLUS_DI,0.009562633
MACDFIX,0.009450929
APO,0.009443781
MINUS_DM,0.00939376
STOCHRSI_fastd,0.009389032
VAR,0.008189623
BETA,0.008081128
MAMA,0.0072862515
CMO,0.0072569167
AROON_down,0.0069663157
LINEARREG_ANGLE,0.006535937
HT_SINE_leadsine,0.0064131645
Previous Day Open Interest,0.006142901
ULTOSC,0.0059907655
CCI,0.0059604608
MINUS_DI,0.0058886316
MACDEXT,0.0058870832
NATR,0.0058201514
MFI,0.005578384
HT_DCPHASE,0.005363294
OBV,0.0053150705
HT_PHASOR_quadrature,0.0050528483
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
HT_SINE_sine,0.0
Block Volume,0.0
HT_TRENDMODE,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
EFS Volume,0.0
CORREL,0.0
HT_PHASOR_inphase,0.0
EFP Volume,0.0
LINEARREG_INTERCEPT,0.0
LINEARREG_SLOPE,0.0
STDDEV,0.0
TSF,0.0
Prev. Day Open Interest,0.0
Wave,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
LINEARREG,0.0
HT_DCPERIOD,0.0
Last,0.0
RSI,0.0
MACD_signal,0.0
MACD,0.0
AROONOSC,0.0
ADX,0.0
WMA,0.0
PPO,0.0
TRIMA,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
TEMA,0.0
DEMA,0.0
SMA,0.0
MIDPRICE,0.0
STOCHF_fastd,0.0
MIDPOINT,0.0
MAVP,0.0
FAMA,0.0
MA,0.0
WILLR,0.0
KAMA,0.0
HT_TRENDLINE,0.0
SENTIMENT_CONSTRAINING,0.0
