,importance
High,0.039377324
STOCHF_fastd,0.02248007
TRANGE,0.02080937
TSF,0.017691555
WILLR,0.017410854
ULTOSC,0.017277163
STDDEV,0.016664868
MA,0.016572148
Previous Day Open Interest,0.015873916
STOCHF_fastk,0.0153882215
MACD_signal,0.015271798
Change,0.015190616
MINUS_DI,0.014947721
KAMA,0.014739552
PLUS_DM,0.014213024
SAREXT,0.013999407
LINEARREG,0.013842625
FAMA,0.013600145
CORREL,0.013537427
Open,0.0135264
EFP Volume,0.0134610515
MAMA,0.013226458
MAVP,0.013166403
MFI,0.013119988
Close,0.013084131
BB_MIDDLE,0.012921483
Volume,0.012772279
NATR,0.012737634
TRIMA,0.012596973
Low,0.012566763
MINUS_DM,0.01242091
ADOSC,0.012342655
BB_LOWER,0.012284292
ADXR,0.012171785
AD,0.011919043
SAR,0.011665125
HT_TRENDLINE,0.01161434
MACD_hist,0.011339487
MACDEXT_hist,0.011310195
BB_UPPER,0.01104471
HT_PHASOR_quadrature,0.010959202
STOCH_slowd,0.010926861
HT_DCPHASE,0.01077358
MACDEXT_signal,0.010755226
MACDFIX,0.010736387
HT_SINE_sine,0.010720399
STOCH_slowk,0.01070123
ADX,0.010642575
MOM,0.010587829
APO,0.010433283
T3,0.010333436
BOP,0.010129633
MACDEXT,0.010088164
CMO,0.009995354
LINEARREG_ANGLE,0.009819982
MACDFIX_hist,0.009608871
ATR,0.009567811
STOCHRSI_fastk,0.0093767
EFS Volume,0.009201138
WMA,0.0090204775
Block Volume,0.00897751
VAR,0.00893262
BETA,0.0088799065
AROONOSC,0.008784395
RSI,0.008694291
MEDPRICE,0.008623198
OBV,0.008511783
MACD,0.008225108
PPO,0.008223965
PLUS_DI,0.008202816
LINEARREG_INTERCEPT,0.008101218
HT_SINE_leadsine,0.008078003
CCI,0.008065761
TRIX,0.008004273
DEMA,0.007882011
AROON_up,0.007820116
DX,0.0074894587
HT_DCPERIOD,0.007168138
ROC,0.006960957
HT_PHASOR_inphase,0.006917342
Wave,0.0068439995
STOCHRSI_fastd,0.0067281504
WCLPRICE,0.006719147
AROON_down,0.005844847
ROCP,0.005737586
EMA,0.005650826
TEMA,0.0053745224
HT_TRENDMODE,0.0
ROCR100,0.0
LINEARREG_SLOPE,0.0
TYPPRICE,0.0
AVGPRICE,0.0
ROCR,0.0
MACDFIX_signal,0.0
SMA,0.0
MIDPRICE,0.0
MIDPOINT,0.0
DEMA_Trend,0.0
