,importance
WILLR,0.0864868
TRANGE,0.036446765
ULTOSC,0.03470107
AROON_up,0.031051615
STOCHF_fastk,0.030247668
HT_DCPERIOD,0.023477444
MA,0.023355035
AROON_down,0.020953584
PLUS_DM,0.02086514
MIDPOINT,0.020523973
ROC,0.018739091
ATR,0.018237762
MINUS_DI,0.016872808
FAMA,0.016536027
CORREL,0.015956612
SAREXT,0.0156152155
CCI,0.014879063
MACDFIX_hist,0.014705168
MACDEXT,0.014440724
BB_LOWER,0.0143838925
NATR,0.014102069
LINEARREG_ANGLE,0.012984839
TEMA,0.012777357
LINEARREG_INTERCEPT,0.0126394825
DX,0.01251738
STOCHRSI_fastk,0.012383056
High,0.012260137
STDDEV,0.012242755
HT_DCPHASE,0.011350735
MACDEXT_signal,0.011337499
MIDPRICE,0.01117025
Open,0.011083066
PLUS_DI,0.010910048
STOCH_slowd,0.01083937
ADX,0.010645212
SAR,0.010552965
CMO,0.010437903
HT_PHASOR_quadrature,0.010398594
MACD,0.010337135
ADXR,0.010303989
MOM,0.010114892
ROCP,0.01005991
MACD_hist,0.00995798
AROONOSC,0.009874562
APO,0.009714211
MAMA,0.0096645355
EMA,0.009602158
MACDEXT_hist,0.009538916
HT_PHASOR_inphase,0.009398344
MINUS_DM,0.0092427945
DEMA,0.008999
BOP,0.008870322
BB_MIDDLE,0.008817423
BETA,0.008506502
MACDFIX_signal,0.008505833
HT_SINE_sine,0.008407751
TYPPRICE,0.008169933
T3,0.008124144
MACD_signal,0.00754029
VAR,0.0074586724
TSF,0.0072808675
STOCHRSI_fastd,0.006673956
STOCH_slowk,0.0066175945
MACDFIX,0.006600002
HT_SINE_leadsine,0.0065700654
LINEARREG_SLOPE,0.006314866
HT_TRENDLINE,0.0062700044
BB_UPPER,0.0055726455
MAVP,0.005425121
MEDPRICE,0.005181161
TRIX,0.0051339483
TRIMA,0.0049904236
Low,0.004970447
PPO,0.0046155257
KAMA,0.0039964016
LINEARREG,0.003888334
RSI,0.003422
STOCHF_fastd,0.0031344343
DEMA_Trend,0.0030247744
HT_TRENDMODE,0.0
Close,0.0
WMA,0.0
ROCR,0.0
ROCR100,0.0
AVGPRICE,0.0
WCLPRICE,0.0
SMA,0.0
SENTIMENT_POSITIVE,0.0
