,importance
KAMA,0.08636426
MINUS_DM,0.039726336
Open,0.03736927
HT_SINE_sine,0.037070755
AROON_up,0.03323401
WILLR,0.032679632
STOCHF_fastk,0.029734546
ULTOSC,0.02785774
ADXR,0.024855295
AROON_down,0.022532778
SAREXT,0.02016803
BB_LOWER,0.019836005
SMA,0.01873161
ADX,0.01860502
MACDFIX,0.017470587
High,0.016809545
TRANGE,0.016639287
DX,0.01591836
CMO,0.014412195
MINUS_DI,0.013919747
HT_DCPERIOD,0.013913312
BB_UPPER,0.013864528
STOCHRSI_fastd,0.013853671
RSI,0.013851016
MOM,0.013682931
PLUS_DI,0.0135570625
CCI,0.013026839
STOCH_slowk,0.012708119
MIDPRICE,0.012702234
STOCHRSI_fastk,0.012446274
HT_TRENDLINE,0.0118449265
EMA,0.011733105
ATR,0.011694715
MACD,0.011125885
MEDPRICE,0.011019998
LINEARREG_SLOPE,0.01090147
BOP,0.0106888795
NATR,0.0104754865
DEMA,0.010253279
MACD_signal,0.010086979
PLUS_DM,0.009734042
AROONOSC,0.009609006
VAR,0.009565239
MACDEXT_signal,0.0092973905
MACD_hist,0.009125046
APO,0.00889562
Close,0.008312653
HT_SINE_leadsine,0.008125272
MACDEXT_hist,0.008052974
STOCH_slowd,0.007456789
PPO,0.007364798
LINEARREG_ANGLE,0.0073434077
SAR,0.007211302
HT_PHASOR_inphase,0.007113763
MACDFIX_hist,0.006977214
CORREL,0.006939362
HT_DCPHASE,0.0068930136
TRIX,0.006884872
STDDEV,0.0068653775
TRIMA,0.0066615487
FAMA,0.0063938852
MIDPOINT,0.0061308607
Low,0.0060759997
MACDFIX_signal,0.0060642995
ROC,0.0053964606
MACDEXT,0.0053044376
LINEARREG,0.0048879813
HT_PHASOR_quadrature,0.0047262157
TEMA,0.0046605766
BETA,0.0045648767
BB_MIDDLE,0.0
HT_TRENDMODE,0.0
DEMA_Trend,0.0
STOCHF_fastd,0.0
MA,0.0
LINEARREG_INTERCEPT,0.0
MAMA,0.0
MAVP,0.0
T3,0.0
WMA,0.0
TSF,0.0
WCLPRICE,0.0
TYPPRICE,0.0
AVGPRICE,0.0
ROCR100,0.0
ROCR,0.0
ROCP,0.0
SENTIMENT_POSITIVE,0.0
